#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.18267  2.97067  2.97500  3.40400   42004081
               -2               1               1              HB  2.68067  3.14733  3.08300  3.17300   42004101
               -3               1               1              HB  2.58733  3.55800  3.16700  3.19200   42004181
               -4               1               1              HB  2.69733  2.58067  2.56700  2.99100   42004201
               -5               1               1              HB  3.37000  2.93333  2.80600  3.12900   42004281
               -6               1               1              HB  2.65200  3.07000  3.03400  3.64300   42004301
               -7               1               1              HB  3.17933  3.13467  3.18700  2.98300   42004381
               -8               1               1              HB  2.54000  2.84267  2.82300  2.97700   42004401
               -9               1               1              HB  2.67267  3.21333  3.15600  2.80100   42004481
              -10               1               1              HB  2.42067  3.28200  2.72100  3.32500   42004501
              -11               1               1              HB  3.31667  3.03533  3.05600  2.96000   42004581
              -12               1               1              HB  2.20000  2.74267  2.89200  3.03900   42004601
              -13               1               1              HB  3.36000  2.97333  3.06700  3.16300   42004681
              -14               1               1              HB  3.19733  3.22000  3.30100  3.06600   42004701
              -15               1               1              HB  3.16533  2.75800  3.11300  3.05100   42004781
              -15               1               2              HB  3.23467  2.98533  2.76100  2.63300   42008781
              -16               1               1              HB  2.63867  3.62733  2.80200  3.38300   42004801
              -16               1               2              HB  2.45733  2.55867  2.98400  2.72200   42008801
               -1               2               1              HB  2.74933  3.36733  2.79300  3.18600   42004082
               -2               2               1              HB  1.77000  4.46667  1.62500  4.16000   42004102
               -3               2               1              HB  2.92867  2.96533  2.81200  3.61100   42004182
               -4               2               1              HB  3.16533  1.99333  3.22500  2.47200   42004202
               -5               2               1              HB  2.23067  3.69267  2.46300  4.13600   42004282
               -6               2               1              HB  2.42333  3.31667  2.82900  3.27900   42004302
               -7               2               1              HB  3.09067  2.53933  3.14700  2.53500   42004382
               -8               2               1              HB  2.71867  2.84800  3.41900  3.90900   42004402
               -9               2               1              HB  2.97400  2.86000  3.10900  2.98300   42004482
              -10               2               1              HB  3.67267  2.42533  3.72000  2.21900   42004502
              -11               2               1              HB  3.14267  2.26733  3.52900  2.57000   42004582
              -12               2               1              HB  3.09600  2.39000  3.07600  2.37500   42004602
              -13               2               1              HB  3.01600  3.65667  2.53600  3.41400   42004682
              -14               2               1              HB  2.25667  4.26667  1.75400  3.87500   42004702
              -15               2               1              HB  2.49733  3.46933  2.42200  3.71200   42004782
              -15               2               2              HB  3.50467  2.64400  3.68200  2.49200   42008782
              -16               2               1              HB  4.13800  1.95067  3.76200  2.33800   42004802
              -16               2               2              HB  2.63133  3.00933  2.22100  3.36700   42008802
               -1               3               1              HB  2.97100  3.33467  3.11533  3.35200   42004083
               -2               3               1              HB  2.50800  2.72333  2.75867  2.75900   42004103
               -3               3               1              HB  3.08500  3.45933  3.10200  3.29700   42004183
               -4               3               1              HB  3.03333  3.02800  3.19000  3.10900   42004203
               -5               3               1              HB  2.54600  2.71267  2.65467  2.90700   42004283
               -6               3               1              HB  3.16700  3.26933  3.23667  3.17500   42004303
               -7               3               1              HB  2.43300  3.25467  2.99600  3.00300   42004383
               -8               3               1              HB  2.65667  2.74800  2.49200  2.49500   42004403
               -9               3               1              HB  2.85300  2.65467  3.00933  3.02500   42004483
              -10               3               1              HB  2.78600  2.82533  2.23533  3.05400   42004503
              -11               3               1              HB  2.71800  2.72733  2.76533  2.77500   42004583
              -12               3               1              HB  2.75600  2.72800  3.00300  2.53800   42004603
              -13               3               1              HB  2.34200  2.60267  3.09933  2.83300   42004683
              -14               3               1              HB  2.73900  2.91000  3.10333  3.33500   42004703
              -15               3               1              HB  2.90100  3.23733  3.02867  2.92000   42004783
              -15               3               2              HB  2.99300  2.83600  3.05867  3.07500   42008783
              -16               3               1              HB  3.17700  3.21267  3.44600  3.19800   42004803
              -16               3               2              HB  2.54600  2.95800  2.99800  3.08200   42008803
               -1               4               1              HB  2.57700  2.55933  2.81533  2.72500   42004084
               -2               4               1              HB  2.40300  2.62933  2.69067  3.09000   42004104
               -3               4               1              HB  3.01800  3.14867  3.10667  3.20700   42004184
               -4               4               1              HB  3.33400  2.91133  3.55800  3.08900   42004204
               -5               4               1              HB  2.61300  2.97600  3.19200  3.00900   42004284
               -6               4               1              HB  2.65800  2.76933  3.21667  2.94600   42004304
               -7               4               1              HB  2.67400  2.85067  2.90600  2.79200   42004384
               -8               4               1              HB  2.72000  2.33000  2.96867  2.89100   42004404
               -9               4               1              HB  3.17500  3.21133  3.11000  2.97400   42004484
              -10               4               1              HB  3.14100  2.82933  3.27000  2.64600   42004504
              -11               4               1              HB  3.12300  3.11667  3.24333  3.05500   42004584
              -12               4               1              HB  3.03300  2.17000  2.98867  3.04900   42004604
              -13               4               1              HB  3.34100  3.22200  3.27867  3.22100   42004684
              -14               4               1              HB  2.69600  3.01800  2.83200  3.12200   42004704
              -15               4               1              HB  3.19800  3.14933  3.30533  3.18700   42004784
              -15               4               2              HB  2.73800  3.11133  3.02733  3.49800   42008784
              -16               4               1              HB  2.94700  3.03133  3.08133  3.18700   42004804
              -16               4               2              HB  2.90500  2.66067  2.70400  2.92500   42008804
               -1               5               1              HB  2.74800  2.80800  2.96000  2.86300   42004085
               -2               5               1              HB  2.89200  2.85333  2.94067  2.73600   42004105
               -3               5               1              HB  2.96600  3.01933  3.29400  3.14600   42004185
               -4               5               1              HB  2.78700  2.88400  3.21600  3.29700   42004205
               -5               5               1              HB  3.00400  2.66867  2.59533  2.74300   42004285
               -6               5               1              HB  2.01200  3.42800  2.98000  2.82400   42004305
               -7               5               1              HB  2.75500  2.86267  3.10400  2.51800   42004385
               -8               5               1              HB  2.69900  3.17000  2.95000  3.28900   42004405
               -9               5               1              HB  2.58900  3.00733  2.80600  3.01600   42004485
              -10               5               1              HB  2.87600  2.73067  2.95867  2.77700   42004505
              -11               5               1              HB  2.99300  3.03867  2.97933  3.34400   42004585
              -12               5               1              HB  2.91900  2.95400  3.03600  2.98300   42004605
              -13               5               1              HB  2.67800  3.03133  3.10267  2.82100   42004685
              -14               5               1              HB  2.47100  2.53667  3.18600  3.11000   42004705
              -15               5               1              HB  2.42200  2.95067  2.86933  2.89700   42004785
              -15               5               2              HB  2.94300  2.57467  2.90400  2.88800   42008785
              -16               5               1              HB  2.99400  3.31667  2.93067  2.90200   42004805
              -16               5               2              HB  3.11400  3.05267  2.94267  2.82800   42008805
