#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.60263 -3.41388  0.58847 -2.91097 -3.45112  0.59437 -2.80757 -3.18992 -3.03873  0.55078   42004081
               -2               1               1              HB  0.48936  3.04986  0.50029  2.77700  3.35896  0.46811  3.16289  4.01970  3.35712  0.45907   42004101
               -3               1               1              HB  0.55837  1.64027  0.56797  2.72821  0.68961  0.58111  1.94034  0.28072  1.15892  0.61714   42004181
               -4               1               1              HB  0.67906 -1.31647  0.63949 -0.90264 -1.88242  0.56551 -1.87963 -2.45070 -2.50271  0.61492   42004201
               -5               1               1              HB  0.52510  4.40196  0.52222  4.38204  4.84921  0.53236  3.23282  4.12921  3.78357  0.53236   42004281
               -6               1               1              HB  0.56023  0.11984  0.50110  0.49571  0.84092  0.52284 -1.03224 -0.50513 -0.43893  0.56555   42004301
               -7               1               1              HB  0.48184  1.70928  0.44986  2.62346  2.59766  0.50603  2.04836  2.39918  3.01718  0.45671   42004381
               -8               1               1              HB  0.54973  4.63801  0.55525  3.97173  5.79812  0.56767  3.01829  5.06238  3.86428  0.56647   42004401
               -9               1               1              HB  0.58019 -3.95932  0.54382 -3.44660 -2.37732  0.58366 -3.82816 -2.90070 -2.71538  0.56340   42004481
              -10               1               1              HB  0.56904  2.15981  0.56914  3.96834  2.35864  0.55316  2.39736  0.45471  2.41126  0.58938   42004501
              -11               1               1              HB  0.66039 -3.30683  0.67275 -2.89861 -2.60270  0.67886 -3.33529 -2.63673 -2.77605  0.65840   42004581
              -12               1               1              HB  0.53467 -0.24657  0.49778 -0.52634  0.10949  0.52234 -0.85325  0.08057 -0.67377  0.50348   42004601
              -13               1               1              HB  0.68240 -0.92148  0.62596  2.27524  0.81517  0.64051 -0.21809 -0.76964  1.76321  0.63443   42004681
              -14               1               1              HB  0.53039  3.09241  0.49160  4.59711  3.10574  0.47640  3.01457  2.09896  3.09837  0.50164   42004701
              -15               1               1              HB  0.55533  3.93928  0.60077  4.31023  4.23274  0.58423  3.24854  3.66036  3.57226  0.56840   42004781
              -15               1               2              HB  0.62360 -0.04896  0.58778  1.56892  1.12488  0.60588  0.17924  0.36453  1.25265  0.60031   42008781
              -16               1               1              HB  0.53344 -0.76374  0.52845 -1.21199 -0.59717  0.52680 -1.20932  0.12679 -1.08613  0.51031   42004801
              -16               1               2              HB  0.65751  2.50404  0.63456  3.59296  3.45716  0.65974  2.91520  3.02319  3.73827  0.57472   42008801
               -1               2               1              HB  0.61450 -1.72994  0.60440 -0.77504 -1.63495  0.58615 -2.36419 -2.91472 -2.16827  0.57540   42004082
               -2               2               1              HB  1.02243  1.54048  0.98222  1.53738  2.19749  1.02638  1.59947  2.47344  2.38998  0.83240   42004102
               -3               2               1              HB  0.56624  1.70209  0.53080  1.47180  3.67566  0.52466  0.46004  3.35198  2.58754  0.54968   42004182
               -4               2               1              HB  0.68066 -2.86276  0.70262 -2.89843 -2.48757  0.74837 -3.37352 -2.25860 -2.93958  0.69122   42004202
               -5               2               1              HB  0.70946  0.80028  0.68621  1.38904  1.58902  0.64863  1.91396  2.39267  2.66095  0.63150   42004282
               -6               2               1              HB  0.51346 -3.02540  0.52572 -2.50973 -3.52480  0.48376 -3.49656 -4.46297 -4.06730  0.51916   42004302
               -7               2               1              HB  0.61578 -3.13661  0.59512 -2.85423 -2.40318  0.57739 -2.69877 -1.95675 -1.86424  0.54278   42004382
               -8               2               1              HB  0.55552  3.18255  0.54223  3.18213  3.47097  0.53144  2.51624  3.29227  2.74931  0.58472   42004402
               -9               2               1              HB  0.61066  1.23567  0.58707  1.54856  1.64073  0.55512  0.50903  0.97397  0.80524  0.56071   42004482
              -10               2               1              HB  0.60152  6.04512  0.64709  8.16644  6.09231  0.58160  5.31563  4.38351  5.57649  0.61104   42004502
              -11               2               1              HB  0.63298 -1.34720  0.59320 -1.15327 -1.70294  0.59516 -1.98887 -1.69687 -2.42784  0.60110   42004582
              -12               2               1              HB  0.49612 -0.62436  0.52457 -0.84071 -1.44447  0.45422 -3.40481 -2.81302 -3.90181  0.50037   42004602
              -13               2               1              HB  0.71441 -2.04230  0.64412 -0.55625 -0.55093  0.68270 -1.98583 -1.28426 -0.40644  0.70260   42004682
              -14               2               1              HB  0.54679  0.04139  0.47956  2.01563  2.88166  0.49348  0.65868  0.61215  3.44400  0.48937   42004702
              -15               2               1              HB  0.69666  0.95903  0.68373  2.19912  2.38144  0.65792  1.60743  2.32130  3.33397  0.65106   42004782
              -15               2               2              HB  0.84198 -0.82147  0.80526  1.05246 -1.20287  0.86288  0.96312 -0.34604  0.44480  0.83194   42008782
              -16               2               1              HB  0.93762 -0.77953  0.85757  0.64821 -0.45713  0.96136 -1.59653 -0.87610 -1.12078  0.86376   42004802
              -16               2               2              HB  1.38742  1.81490  1.36258  1.87247  1.34609  1.31416  1.09231  2.49708  1.03402  1.26631   42008802
               -1               3               1              HB  0.52216 -4.02661  0.53333 -3.79100 -3.62452  0.51270 -5.07077 -4.88390 -4.74284  0.53410   42004083
               -2               3               1              HB  0.40594  4.03149  0.42412  3.92642  4.44976  0.44176  3.93258  4.77444  4.36809  0.45692   42004103
               -3               3               1              HB  0.41178  3.35682  0.43635  4.69730  3.77889  0.37960  3.63659  3.01586  3.92778  0.41879   42004183
               -4               3               1              HB  0.47222 -1.14103  0.44588 -0.91199 -0.50176  0.47990 -0.95664 -0.25021 -0.23274  0.47912   42004203
               -5               3               1              HB  0.50788  3.77477  0.49277  4.89075  3.46874  0.46341  3.66978  2.61284  3.39199  0.48835   42004283
               -6               3               1              HB  0.48111 -0.98051  0.51279 -0.87899 -0.03241  0.53399 -1.19179  0.09514 -0.38659  0.55238   42004303
               -7               3               1              HB  0.49551  7.45893  0.46981  8.63957  6.27476  0.47865  7.84922  6.00179  6.67791  0.51499   42004383
               -8               3               1              HB  0.48812  4.94277  0.49783  4.70800  4.43491  0.49194  3.87452  4.04075  3.54279  0.50998   42004403
               -9               3               1              HB  0.46539  3.98191  0.46741  5.17052  4.46371  0.44658  3.42390  3.15581  3.94796  0.47238   42004483
              -10               3               1              HB  0.49220  7.98461  0.49082  9.71052  9.66845  0.48795  7.13211  7.28625  9.03721  0.48308   42004503
              -11               3               1              HB  0.51848  5.77166  0.54632  6.14963  6.01842  0.49560  5.57106  5.73660  5.74830  0.49838   42004583
              -12               3               1              HB  0.51513  1.77565  0.49535  3.31355  3.20579  0.50099  2.11443  2.31302  3.51553  0.48256   42004603
              -13               3               1              HB  0.61504 -3.96299  0.62213 -4.52198 -4.91615  0.62147 -4.23805 -4.16171 -5.28528  0.62311   42004683
              -14               3               1              HB  0.55488  3.51394  0.50723  3.80926  3.42930  0.51799  2.33227  2.29610  2.00359  0.49478   42004703
              -15               3               1              HB  0.60120 12.51773  0.61567 10.90610 10.48675  0.61718 11.20284 11.38310  9.29218  0.61760   42004783
              -15               3               2              HB  0.54495 -0.00569  0.56777 -0.32468  0.29580  0.59656 -0.90365  0.04919 -0.55471  0.57938   42008783
              -16               3               1              HB  0.63367 -0.28160  0.61277  0.63968 -0.40129  0.59775  0.58840 -0.00514  0.48637  0.61280   42004803
              -16               3               2              HB  0.54588  9.54667  0.60424 11.18654  9.33057  0.58466  9.24410  7.76528  9.13893  0.54928   42008803
               -1               4               1              HB  0.57607 -0.47178  0.55981 -0.06800  0.43358  0.58790 -0.33458  0.55588  0.56005  0.55537   42004084
               -2               4               1              HB  0.52059  4.37986  0.49461  5.83901  4.72048  0.52965  3.87314  3.11538  4.09703  0.52190   42004104
               -3               4               1              HB  0.43368  3.32309  0.43856  3.74132  4.30982  0.45396  3.14813  3.92148  4.09708  0.43215   42004184
               -4               4               1              HB  0.64844  1.66104  0.63947  2.13824  2.30403  0.63730 -0.34866  0.39497  0.20566  0.66708   42004204
               -5               4               1              HB  0.51323  5.71411  0.51809  5.03905  6.39548  0.51114  5.31698  7.27228  5.81807  0.48092   42004284
               -6               4               1              HB  0.54304  3.72127  0.53479  4.70967  3.45109  0.52972  3.66292  2.99779  3.23231  0.54908   42004304
               -7               4               1              HB  0.48372 -0.17118  0.49770  0.28288 -0.10181  0.52650 -0.33191 -0.39656 -0.20964  0.50674   42004384
               -8               4               1              HB  0.89960  1.33480  0.84110  1.73295  1.33549  0.87168  1.41428  1.60146  1.55651  0.91112   42004404
               -9               4               1              HB  0.46038 -0.48074  0.45334 -0.82745 -1.58540  0.41657 -0.63527 -1.02132 -1.61959  0.40332   42004484
              -10               4               1              HB  0.79712  1.43576  0.71354  2.47533  1.78114  0.71443  1.58885  1.52367  2.09684  0.78268   42004504
