#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  2.74054  2.28619  2.43576  2.99927   42004081
               -2               1               1              HB  3.15332  3.71246  3.54373  3.74778   42004101
               -3               1               1              HB  3.14729  3.52222  3.47336  3.31748   42004181
               -4               1               1              HB  2.67877  2.20388  2.25504  2.40875   42004201
               -5               1               1              HB  3.89781  3.72040  3.56672  3.58000   42004281
               -6               1               1              HB  2.64843  3.18758  3.23780  3.34873   42004301
               -7               1               1              HB  3.42710  3.45997  3.71450  3.41927   42004381
               -8               1               1              HB  3.11243  3.89149  3.60680  3.47327   42004401
               -9               1               1              HB  1.65943  2.78207  2.88324  2.20502   42004481
              -10               1               1              HB  3.12107  3.31963  3.43435  3.40019   42004501
              -11               1               1              HB  2.72623  2.57451  2.66205  2.45325   42004581
              -12               1               1              HB  2.07213  2.88924  2.84681  2.92313   42004601
              -13               1               1              HB  3.38621  2.75849  3.71336  3.15543   42004681
              -14               1               1              HB  3.83596  3.53845  3.94579  3.39556   42004701
              -15               1               1              HB  3.75072  3.43796  3.79245  3.50513   42004781
              -15               1               2              HB  3.28709  3.00060  3.21195  2.73453   42008781
              -16               1               1              HB  2.39298  3.76945  2.60571  3.29661   42004801
              -16               1               2              HB  2.98721  3.03894  3.69982  3.26658   42008801
               -1               2               1              HB  2.56055  3.03931  2.67797  2.60651   42004082
               -2               2               1              HB  1.89872  4.69109  2.11937  4.46403   42004102
               -3               2               1              HB  2.91489  3.64011  3.35048  3.86409   42004182
               -4               2               1              HB  2.54025  1.47570  2.86174  1.85178   42004202
               -5               2               1              HB  2.44047  3.83729  2.84885  4.59802   42004282
               -6               2               1              HB  1.93051  2.70719  2.25506  2.38228   42004302
               -7               2               1              HB  2.42234  2.06090  2.87184  2.21285   42004382
               -8               2               1              HB  3.20888  3.47241  3.89819  4.19160   42004402
               -9               2               1              HB  3.17554  3.14679  3.41392  3.01792   42004482
              -10               2               1              HB  4.62236  3.28434  4.68785  2.99034   42004502
              -11               2               1              HB  3.03623  1.98914  3.28779  2.09679   42004582
              -12               2               1              HB  3.17048  2.19904  2.74872  1.14579   42004602
              -13               2               1              HB  2.69707  3.44033  2.60365  3.25622   42004682
              -14               2               1              HB  2.34656  4.18354  2.52768  4.11742   42004702
              -15               2               1              HB  2.69239  3.66965  3.02861  4.15611   42004782
              -15               2               2              HB  3.74810  2.36260  3.74755  2.64121   42008782
              -16               2               1              HB  4.14259  1.73130  3.95401  2.03596   42004802
              -16               2               2              HB  2.98880  3.50360  2.52257  3.59764   42008802
               -1               3               1              HB  2.19716  2.75279  2.52110  2.31629   42004083
               -2               3               1              HB  3.15008  3.50304  3.46307  3.49902   42004103
               -3               3               1              HB  3.71949  3.83299  3.82223  3.75508   42004183
               -4               3               1              HB  2.76394  2.97374  3.16022  3.11229   42004203
               -5               3               1              HB  3.40571  3.18351  3.41282  3.30729   42004283
               -6               3               1              HB  2.88566  3.32146  3.23326  3.13835   42004303
               -7               3               1              HB  3.90187  4.00050  4.04971  3.93395   42004383
