#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.67898 -0.22463  0.64704 -0.11784 -0.18199  0.65596 -0.19341  0.06533 -0.21734  0.59590   42004081
               -2               1               1              HB  0.57968 -0.21973  0.58345 -0.13301 -0.09375  0.53125 -0.14929  0.09272 -0.14165  0.55109   42004101
               -3               1               1              HB  0.60815 -0.23944  0.62682 -0.00938 -0.27613  0.61482 -0.24198 -0.04705 -0.25483  0.67398   42004181
               -4               1               1              HB  0.84736 -0.25923  0.75324 -0.01932 -0.22768  0.65766 -0.26438 -0.04051 -0.25664  0.71373   42004201
               -5               1               1              HB  0.59745 -0.21414  0.59127 -0.06415 -0.18949  0.59425 -0.17662 -0.01142 -0.20530  0.58752   42004281
               -6               1               1              HB  0.67876 -0.18061  0.59050 -0.03321 -0.16545  0.59883 -0.23988  0.00454 -0.22857  0.65235   42004301
               -7               1               1              HB  0.59752 -0.18222  0.53429  0.02603 -0.26421  0.59091 -0.18586 -0.08067 -0.17688  0.55249   42004381
               -8               1               1              HB  0.69355 -0.25362  0.69581 -0.08377 -0.21285  0.68672 -0.23045  0.00882 -0.25902  0.68557   42004401
               -9               1               1              HB  0.64010  0.01221  0.60474  0.20381 -0.25740  0.64468 -0.00109 -0.03467 -0.23303  0.67346   42004481
              -10               1               1              HB  0.68852 -0.25636  0.68804 -0.16390 -0.11181  0.64804 -0.16617  0.07999 -0.21889  0.68689   42004501
              -11               1               1              HB  0.72197 -0.25835  0.69114 -0.02024 -0.18020  0.67427 -0.20609  0.03193 -0.26097  0.68737   42004581
              -12               1               1              HB  0.68980 -0.19957  0.62772 -0.06289 -0.18383  0.63719 -0.22454 -0.03007 -0.20656  0.60374   42004601
              -13               1               1              HB  0.79686 -0.27190  0.71189  0.00615 -0.30886  0.70510 -0.27535 -0.06920 -0.25309  0.70445   42004681
              -14               1               1              HB  0.62624 -0.18554  0.55933  0.01561 -0.22704  0.52987 -0.20763 -0.04354 -0.17892  0.57210   42004701
              -15               1               1              HB  0.66055 -0.22554  0.69701 -0.06049 -0.21989  0.65713 -0.24078  0.02454 -0.22299  0.66245   42004781
              -15               1               2              HB  0.75008 -0.25563  0.73890 -0.05812 -0.27038  0.67502 -0.29253  0.01968 -0.26081  0.68785   42008781
              -16               1               1              HB  0.62738 -0.21263  0.60448 -0.05385 -0.25546  0.60608 -0.17143 -0.02833 -0.19696  0.58050   42004801
              -16               1               2              HB  0.77633 -0.28643  0.73558 -0.12651 -0.15131  0.75612 -0.15392  0.06093 -0.22504  0.65140   42008801
               -1               2               1              HB  0.73189 -0.25433  0.69224  0.04678 -0.36917  0.67902 -0.27891 -0.10839 -0.24991  0.66801   42004082
               -2               2               1              HB  1.21008  0.53942  1.13054  0.38956 -0.48632  1.13320  0.48674  0.11360 -0.31093  0.95686   42004102
               -3               2               1              HB  0.67708 -0.22397  0.62685 -0.05906 -0.18194  0.61505 -0.22794 -0.00593 -0.20486  0.64160   42004182
               -4               2               1              HB  0.76085 -0.30185  0.63307  0.04025 -0.28215  0.81611 -0.25279 -0.06376 -0.26668  0.70642   42004202
               -5               2               1              HB  0.84554 -0.32739  0.79221 -0.06935 -0.24782  0.73800 -0.08132  0.02160 -0.25117  0.73030   42004282
               -6               2               1              HB  0.58701 -0.21428  0.63639 -0.00756 -0.24685  0.56174 -0.14949 -0.03692 -0.16321  0.60000   42004302
               -7               2               1              HB  0.74656 -0.28056  0.72245 -0.08447 -0.33047  0.70233 -0.22421 -0.08000 -0.24156  0.63053   42004382
               -8               2               1              HB  0.65704 -0.21725  0.62478 -0.03157 -0.32783  0.58307 -0.30684 -0.12986 -0.22546  0.67143   42004402
               -9               2               1              HB  0.73322 -0.25145  0.68391 -0.04631 -0.21040  0.63798 -0.20307  0.00859 -0.22354  0.65349   42004482
              -10               2               1              HB  0.70945 -0.22884  0.77851  0.15983 -0.28195  0.67944 -0.35714 -0.05597 -0.18710  0.73642   42004502
              -11               2               1              HB  0.77387 -0.26123  0.68397 -0.04527 -0.24140  0.72973 -0.27856 -0.04064 -0.25211  0.73053   42004582
              -12               2               1              HB  0.57758 -0.19693  0.62328 -0.03216 -0.13737  0.49835  0.31550  0.34360  0.25425  0.55202   42004602
              -13               2               1              HB  0.88160 -0.29260  0.77256  0.07011 -0.23504  0.80502 -0.47145 -0.00287 -0.22658  0.85107   42004682
              -14               2               1              HB  0.65367 -0.14712  0.55530  0.04246 -0.20926  0.57020 -0.25852 -0.07992 -0.16676  0.56998   42004702
              -15               2               1              HB  0.84405 -0.25702  0.79651  0.09347 -0.32979  0.76694 -0.31232 -0.05200 -0.26280  0.75878   42004782
              -15               2               2              HB  1.04017 -0.41041  0.90936 -0.08955 -0.32164  1.02347 -0.20275  0.00269 -0.27770  0.96292   42008782
              -16               2               1              HB  1.14912  0.12026  1.03969 -0.16448  0.03569  1.15812 -0.35605  0.15970 -0.37545  0.92314   42004802
              -16               2               2              HB  1.65030 -0.73811  1.58975  0.17719 -0.80826  1.50387 -0.80062  0.02482 -0.56317  1.46097   42008802
               -1               3               1              HB  0.58794 -0.16763  0.57379 -0.07459 -0.17598  0.53602 -0.20123 -0.08237 -0.13984  0.55172   42004083
               -2               3               1              HB  0.50171 -0.17326  0.52384 -0.06382 -0.16875  0.53405 -0.17005  0.03091 -0.13812  0.54101   42004103
               -3               3               1              HB  0.48042 -0.22789  0.50614  0.05022 -0.14085  0.42552 -0.15912  0.02811 -0.19770  0.50428   42004183
               -4               3               1              HB  0.53409 -0.17533  0.49208  0.02969 -0.24010  0.51078 -0.12821 -0.09130 -0.15056  0.52281   42004203
               -5               3               1              HB  0.57589 -0.16090  0.57110  0.02646 -0.19481  0.50961 -0.19266 -0.03024 -0.17808  0.53278   42004283
               -6               3               1              HB  0.53040 -0.21112  0.55991  0.04146 -0.18979  0.55760 -0.19278  0.05137 -0.25729  0.58622   42004303
               -7               3               1              HB  0.58645 -0.23189  0.52922  0.12738 -0.17511  0.52427 -0.19424  0.03781 -0.25646  0.56609   42004383
               -8               3               1              HB  0.56595 -0.17204  0.56090  0.01008 -0.17957  0.55040 -0.24529  0.01190 -0.16299  0.55625   42004403
               -9               3               1              HB  0.53820 -0.14585  0.53283 -0.06211 -0.17621  0.49912 -0.17790  0.00707 -0.15013  0.54277   42004483
              -10               3               1              HB  0.57241 -0.08559  0.54500 -0.03541 -0.18127  0.54421 -0.17085 -0.08637 -0.16938  0.53572   42004503
              -11               3               1              HB  0.56505 -0.28893  0.57647 -0.02717 -0.17230  0.51019 -0.17994 -0.02708 -0.12711  0.52180   42004583
              -12               3               1              HB  0.58336 -0.18374  0.56013 -0.02247 -0.12854  0.56446 -0.19410  0.00215 -0.17715  0.53424   42004603
              -13               3               1              HB  0.62070  0.18858  0.63248  0.32632  0.01367  0.61289  0.19106  0.34114 -0.06420  0.61497   42004683
              -14               3               1              HB  0.63812 -0.29862  0.58183 -0.00391 -0.17833  0.56547 -0.19866  0.02742 -0.15904  0.54467   42004703
              -15               3               1              HB  0.65933 -0.24575  0.68811  0.08027 -0.23086  0.64184 -0.21566  0.02339 -0.28791  0.66861   42004783
              -15               3               2              HB  0.63320 -0.21863  0.66472 -0.12361 -0.25088  0.64852 -0.21286  0.00283 -0.17072  0.64278   42008783
              -16               3               1              HB  0.66020 -0.19878  0.61696  0.01769 -0.20044  0.58737 -0.20419 -0.02108 -0.25321  0.60072   42004803
              -16               3               2              HB  0.64677 -0.14797  0.72140  0.00479 -0.25190  0.66140 -0.21029 -0.08450 -0.15260  0.62736   42008803
               -1               4               1              HB  0.72207 -0.23646  0.69560 -0.05481 -0.20072  0.70714 -0.21485  0.05773 -0.27657  0.64839   42004084
               -2               4               1              HB  0.59447 -0.22923  0.55444  0.07336 -0.20723  0.56606 -0.19183 -0.03513 -0.20941  0.57332   42004104
               -3               4               1              HB  0.52857 -0.23354  0.51602 -0.01464 -0.14930  0.54293 -0.15579 -0.05988 -0.09723  0.49591   42004184
               -4               4               1              HB  0.80358 -0.21094  0.77103  0.00660 -0.26684  0.76926 -0.28911 -0.07213 -0.23761  0.78951   42004204
               -5               4               1              HB  0.65439 -0.28337  0.61868  0.00285 -0.20952  0.61548 -0.19304  0.12792 -0.21247  0.58113   42004284
               -6               4               1              HB  0.63825 -0.27810  0.61766  0.04756 -0.19556  0.59734 -0.21814  0.02741 -0.23425  0.61278   42004304
               -7               4               1              HB  0.54443 -0.14654  0.54309 -0.01149 -0.20262  0.57236 -0.18024 -0.04168 -0.16763  0.54506   42004384
               -8               4               1              HB  1.04732 -0.31008  0.98473 -0.06150 -0.37514  0.98799 -0.41310 -0.13425 -0.33519  1.04488   42004404
               -9               4               1              HB  0.57512 -0.19000  0.54612  0.03950 -0.16104  0.48549 -0.20212 -0.03559 -0.15881  0.48769   42004484
              -10               4               1              HB  0.88771 -0.33183  0.83556 -0.10145 -0.32841  0.76166 -0.35150 -0.05534 -0.18236  0.82165   42004504
