#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.35854  2.76056  3.31358  3.15422   42004081
               -2               1               1              HB  3.11748  2.82329  3.41893  2.72093   42004101
               -3               1               1              HB  2.75325  3.41082  3.21193  3.05998   42004181
               -4               1               1              HB  2.94837  2.20869  2.93086  2.73562   42004201
               -5               1               1              HB  3.38293  2.84584  2.93704  3.07834   42004281
               -6               1               1              HB  3.06585  2.86716  3.39547  3.07303   42004301
               -7               1               1              HB  3.26057  3.08118  3.11893  3.04774   42004381
               -8               1               1              HB  2.90325  2.49898  3.14774  2.59527   42004401
               -9               1               1              HB  2.79634  3.16769  3.22922  2.72664   42004481
              -10               1               1              HB  2.41138  3.32472  2.84527  3.12852   42004501
              -11               1               1              HB  3.16911  2.93765  3.05350  3.14647   42004581
              -12               1               1              HB  2.22927  2.81755  2.93539  2.88902   42004601
              -13               1               1              HB  3.08943  2.97950  3.11235  3.43656   42004681
              -14               1               1              HB  2.85650  3.40041  3.15137  3.39065   42004701
              -15               1               1              HB  3.12967  2.63633  3.43416  2.96818   42004781
              -15               1               2              HB  2.84584  3.12716  2.69971  3.03252   42008781
              -16               1               1              HB  3.25488  3.53875  3.03416  2.79274   42004801
              -16               1               2              HB  3.16687  3.35391  3.54508  2.95285   42008801
               -1               2               1              HB  3.16851  2.97778  3.19298  2.63780   42004082
               -2               2               1              HB  4.24512  2.18778  3.75679  1.79559   42004102
               -3               2               1              HB  3.57602  2.54244  3.42346  2.70869   42004182
               -4               2               1              HB  2.33821  2.91472  2.39177  3.21665   42004202
               -5               2               1              HB  3.64043  2.52551  3.82130  2.52683   42004282
               -6               2               1              HB  2.89919  2.87782  2.95226  3.03060   42004302
               -7               2               1              HB  2.75081  2.95531  2.77737  2.70665   42004382
               -8               2               1              HB  2.53984  3.19024  3.20123  4.00653   42004402
               -9               2               1              HB  2.58344  3.18313  2.80906  3.38455   42004482
              -10               2               1              HB  2.50041  3.53055  2.45885  3.66544   42004502
              -11               2               1              HB  2.24797  3.04715  2.70741  3.36597   42004582
              -12               2               1              HB  2.43943  3.08446  2.45844  2.99510   42004602
              -13               2               1              HB  3.42195  3.04879  3.00000  2.97960   42004682
              -14               2               1              HB  3.70366  2.87372  3.18066  2.36434   42004702
              -15               2               1              HB  3.45772  2.56909  3.33786  2.73276   42004782
              -15               2               2              HB  2.24553  3.73924  3.02305  3.29702   42008782
              -16               2               1              HB  2.18130  3.80566  2.41399  3.91106   42004802
              -16               2               2              HB  2.99634  2.10086  3.24280  2.84333   42008802
               -1               3               1              HB  2.77778  3.35597  3.21583  3.34756   42004083
               -2               3               1              HB  3.22878  3.11893  3.58262  3.03455   42004103
               -3               3               1              HB  3.06220  3.34194  3.19671  3.32436   42004183
               -4               3               1              HB  2.89390  3.12710  3.10082  3.22562   42004203
               -5               3               1              HB  3.14555  3.30700  3.27540  3.50163   42004283
               -6               3               1              HB  3.54285  3.06461  3.40514  2.88415   42004303
               -7               3               1              HB  2.44472  3.22837  3.13169  2.98735   42004383
               -8               3               1              HB  3.18089  3.40959  3.08560  3.19951   42004403
               -9               3               1              HB  2.72858  2.78601  2.82823  3.13699   42004483
              -10               3               1              HB  2.74785  2.82510  2.31783  3.12195   42004503
              -11               3               1              HB  2.70081  2.65847  2.88025  2.68829   42004583
              -12               3               1              HB  2.85244  2.88151  2.78272  2.60832   42004603
              -13               3               1              HB  2.36748  2.71054  3.20288  2.72297   42004683
              -14               3               1              HB  2.66626  2.89299  3.18848  3.25867   42004703
              -15               3               1              HB  2.86992  3.12423  3.22428  2.74990   42004783
              -15               3               2              HB  2.89594  2.78639  3.24033  2.93064   42008783
              -16               3               1              HB  3.08496  3.09799  3.60329  3.04488   42004803
              -16               3               2              HB  2.37967  3.22591  2.93909  3.15259   42008803
               -1               4               1              HB  3.48008  2.90693  3.57572  3.00734   42004084
