#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.58600 -3.41471  0.60863 -2.99563 -3.66471  0.59217 -2.77401 -3.09528 -3.05385  0.56028   42004081
               -2               1               1              HB  0.50832  3.17668  0.50657  3.47307  3.25704  0.53477  3.11343  3.19634  3.21321  0.46530   42004101
               -3               1               1              HB  0.57475  1.57456  0.57920  2.78949  0.69866  0.57054  1.85783  0.26733  1.14342  0.56423   42004181
               -4               1               1              HB  0.61201 -1.45777  0.57444 -0.82391 -1.93105  0.59679 -1.99936 -2.31044 -2.67563  0.66202   42004201
               -5               1               1              HB  0.55686  4.32416  0.56980  4.57521  4.86383  0.54227  3.18392  4.03102  3.90303  0.52991   42004281
               -6               1               1              HB  0.55853  0.21797  0.51909  0.82276  0.81598  0.52817 -1.15530 -0.69996 -0.72161  0.54496   42004301
               -7               1               1              HB  0.50737  1.64731  0.51555  2.60184  2.59887  0.48554  2.17752  2.48867  3.02795  0.47446   42004381
               -8               1               1              HB  0.55349  4.79931  0.56700  4.84011  5.75644  0.53414  2.94829  4.11866  3.68246  0.51740   42004401
               -9               1               1              HB  0.60992 -4.04247  0.57195 -3.59690 -2.32162  0.57472 -3.96341 -2.78136 -2.78005  0.57329   42004481
              -10               1               1              HB  0.56348  2.23419  0.58821  4.34155  2.29485  0.56493  2.09313  0.24515  2.20040  0.60347   42004501
              -11               1               1              HB  0.67892 -3.17488  0.68095 -2.84791 -2.64113  0.66749 -3.43114 -2.77843 -2.84874  0.68736   42004581
              -12               1               1              HB  0.53439 -0.23771  0.52351 -0.38952  0.13676  0.51571 -0.83974 -0.00552 -0.75857  0.53687   42004601
              -13               1               1              HB  0.64209 -0.91177  0.63313  1.95122  0.90443  0.61673 -0.22883 -0.79358  1.98206  0.68185   42004681
              -14               1               1              HB  0.49154  3.02779  0.50683  4.14088  3.17323  0.50224  3.09698  2.36795  3.26354  0.52205   42004701
              -15               1               1              HB  0.54913  3.80116  0.57340  4.55068  4.40879  0.54739  3.14161  3.41107  3.69493  0.59948   42004781
              -15               1               2              HB  0.60194 -0.14002  0.62843  1.35844  1.19032  0.63476  0.17106  0.46162  1.45139  0.61718   42008781
