#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  2.98893  1.68289  2.85597  3.41117   42004081
               -2               1               1              HB  2.77529  3.01339  4.78694  3.55823   42004101
               -3               1               1              HB  3.31705  3.79555  4.09281  3.19148   42004181
               -4               1               1              HB  3.68711  2.43740  3.15335  2.41844   42004201
               -5               1               1              HB  3.85870  3.15290  3.50755  4.07480   42004281
               -6               1               1              HB  2.71699  3.27860  4.20473  2.91085   42004301
               -7               1               1              HB  4.06258  4.18505  4.77314  4.53784   42004381
               -8               1               1              HB  5.01153  4.82724  5.05305  4.35421   42004401
               -9               1               1              HB  3.71409  4.62265  4.76174  3.99012   42004481
              -10               1               1              HB  3.09834  3.00957  3.51986  4.12890   42004501
              -11               1               1              HB  3.17932  1.88370  2.97997  3.06177   42004581
              -12               1               1              HB  2.98080  3.40281  4.29147  3.75646   42004601
              -13               1               1              HB  3.44745  2.90542  4.42997  3.55843   42004681
              -14               1               1              HB  3.31108  3.91331  3.76018  4.25950   42004701
              -15               1               1              HB  3.35227  3.42934  4.20288  3.80992   42004781
              -15               1               2              HB  3.02972  3.57764  3.64014  3.34147   42008781
              -16               1               1              HB  2.92040  4.27497  2.90747  2.35484   42004801
              -16               1               2              HB  3.41389  4.26777  4.68044  3.27865   42008801
               -1               2               1              HB  5.01681  3.35966  2.54199  2.94483   42004082
               -2               2               1              HB  5.17089  2.36659  4.05862  2.00522   42004102
               -3               2               1              HB  4.15929  2.74631  4.31193  3.10576   42004182
               -4               2               1              HB  2.89347  1.40624  2.62678  2.90503   42004202
               -5               2               1              HB  4.82693  3.09305  4.08832  3.85433   42004282
               -6               2               1              HB  2.90690  3.09227  1.36175  2.61987   42004302
               -7               2               1              HB  2.59778  3.01302  2.34208  2.93326   42004382
               -8               2               1              HB  2.77073  3.71509  4.11881  4.62751   42004402
               -9               2               1              HB  4.02586  4.70933  4.20417  4.56566   42004482
              -10               2               1              HB  3.02302  4.57278  3.69347  5.16511   42004502
              -11               2               1              HB  1.03564  2.78083  2.70203  4.04072   42004582
              -12               2               1              HB  4.14588  3.95400  1.97081  1.80408   42004602
              -13               2               1              HB  3.92902  2.96454  2.25430  2.98400   42004682
              -14               2               1              HB  3.97934  3.33023  4.14991  2.49860   42004702
              -15               2               1              HB  4.85442  3.76271  5.22720  4.51396   42004782
              -15               2               2              HB  2.07569  3.87549  3.46221  3.48115   42008782
              -16               2               1              HB  2.16854  3.47656  2.89058  3.79428   42004802
              -16               2               2              HB  3.24216  2.52707  3.29647  3.76607   42008802
               -1               3               1              HB  1.64914  2.92428  3.34701  2.36508   42004083
               -2               3               1              HB  4.06763  4.08835  4.57420  4.09607   42004103
               -3               3               1              HB  4.46779  3.60754  4.24362  3.74269   42004183
               -4               3               1              HB  2.55124  2.73422  2.96420  4.25196   42004203
               -5               3               1              HB  4.12578  3.85169  4.21190  4.44892   42004283
               -6               3               1              HB  3.93529  2.51755  3.24688  3.47316   42004303
               -7               3               1              HB  3.06818  2.66886  5.10047  4.28028   42004383
               -8               3               1              HB  4.14020  4.52103  3.76994  3.91853   42004403
               -9               3               1              HB  4.45324  3.63891  2.79469  4.46361   42004483
              -10               3               1              HB  4.52629  4.62874  4.69169  4.66808   42004503
              -11               3               1              HB  5.05585  4.82917  5.23204  4.43006   42004583
              -12               3               1              HB  4.41386  3.35644  3.22407  4.54903   42004603
              -13               3               1              HB -0.15765  3.00233  2.86888  1.63955   42004683
              -14               3               1              HB  2.95317  3.57406  3.52617  4.14070   42004703
              -15               3               1              HB  4.77045  4.93714  4.39404  4.40579   42004783
              -15               3               2              HB  2.19557  2.62995  3.54051  3.55189   42008783
              -16               3               1              HB  3.05093  2.98871  4.27201  3.09745   42004803
              -16               3               2              HB  4.14107  5.24858  5.55488  4.75288   42008803
               -1               4               1              HB  3.50812  2.99129  3.92144  3.73426   42004084
               -2               4               1              HB  3.66070  4.04515  4.22368  4.26601   42004104
               -3               4               1              HB  4.55432  3.24045  3.12074  4.05506   42004184
               -4               4               1              HB  2.87526  3.36807  4.50736  3.17635   42004204
               -5               4               1              HB  3.81944  4.64474  5.93877  3.94361   42004284
               -6               4               1              HB  3.82838  2.99613  4.38749  4.14850   42004304
               -7               4               1              HB  3.04923  2.96657  3.77642  3.26699   42004384
               -8               4               1              HB  2.13703  3.36659  3.93815  2.78828   42004404
               -9               4               1              HB  3.03230  2.83668  2.67170  3.55275   42004484
              -10               4               1              HB  3.07876  3.58716  3.68074  3.31609   42004504
              -11               4               1              HB  2.19556  4.35952  3.73323  2.69502   42004584
              -12               4               1              HB  3.60166  3.90613  4.43623  3.77011   42004604
              -13               4               1              HB  3.52648  3.71392  3.41158  2.72110   42004684
              -14               4               1              HB  4.47827  4.91256  4.78558  5.02583   42004704
              -15               4               1              HB  3.18978  3.89741  3.90184  4.49503   42004784
              -15               4               2              HB  4.39039  4.60109  4.92788  4.52653   42008784
              -16               4               1              HB  4.17667  2.62925  2.43252  3.21649   42004804
              -16               4               2              HB  6.29287  6.46562  6.00252  6.39481   42008804
               -1               5               1              HB  3.39944  3.37479  4.22059  3.34062   42004085
               -2               5               1              HB  4.85020  4.72642  4.92161  4.03820   42004105
               -3               5               1              HB  4.79451  4.46803  4.31429  3.47655   42004185
               -4               5               1              HB  4.08724  2.92287  4.62053  3.90554   42004205
               -5               5               1              HB  5.49675  4.69538  4.80738  4.46099   42004285
               -6               5               1              HB  2.30765  3.04138  3.33331  2.16270   42004305
               -7               5               1              HB  4.31500  4.56914  4.61862  4.40224   42004385
               -8               5               1              HB  4.07765  3.49704  3.72960  4.85918   42004405
               -9               5               1              HB  1.37508  4.41710  3.60732  2.54543   42004485
              -10               5               1              HB  5.17385  5.02567  5.28725  5.22803   42004505
