#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.67841 -0.23242  0.65803 -0.06454 -0.24572  0.65259 -0.24103 -0.02976 -0.20818  0.66321   42004081
               -2               1               1              HB  0.62257 -0.20039  0.53697 -0.07615 -0.20250  0.58356 -0.22212 -0.00571 -0.17917  0.61840   42004101
               -3               1               1              HB  0.61258 -0.21572  0.63497 -0.02021 -0.23555  0.62603 -0.16871 -0.06937 -0.25299  0.63783   42004181
               -4               1               1              HB  0.74784 -0.28458  0.68153 -0.03724 -0.23830  0.68428 -0.28067 -0.00253 -0.27354  0.75118   42004201
               -5               1               1              HB  0.57202 -0.20296  0.59517 -0.00125 -0.16194  0.56961 -0.09253 -0.10578 -0.19396  0.55857   42004281
               -6               1               1              HB  0.65974 -0.20236  0.65026 -0.04873 -0.21362  0.62843 -0.20637  0.03978 -0.20585  0.63567   42004301
               -7               1               1              HB  0.61423 -0.17509  0.58848 -0.05243 -0.16635  0.57092 -0.21062  0.03915 -0.25849  0.60876   42004381
               -8               1               1              HB  0.71528 -0.28683  0.69622 -0.04984 -0.26792  0.66384 -0.23130  0.00488 -0.22421  0.65063   42004401
               -9               1               1              HB  0.64499 -0.16269  0.65146  0.14334 -0.22602  0.65707 -0.09327 -0.03457 -0.27579  0.68927   42004481
              -10               1               1              HB  0.67822 -0.25802  0.68113 -0.01304 -0.23273  0.66255 -0.23887 -0.05154 -0.23449  0.62533   42004501
              -11               1               1              HB  0.76952 -0.28919  0.70623 -0.02436 -0.23022  0.69024 -0.26188  0.04285 -0.28333  0.72978   42004581
              -12               1               1              HB  0.70289 -0.18432  0.64210 -0.03117 -0.17785  0.59942 -0.23893 -0.01497 -0.23593  0.63323   42004601
              -13               1               1              HB  0.75309 -0.27249  0.70721  0.03466 -0.25398  0.69788 -0.22689  0.04089 -0.24447  0.72946   42004681
              -14               1               1              HB  0.60105 -0.26243  0.58116 -0.04056 -0.23324  0.55615 -0.24577 -0.08059 -0.18000  0.59716   42004701
              -15               1               1              HB  0.64445 -0.20724  0.64703 -0.05355 -0.23524  0.59647 -0.24892 -0.05889 -0.23833  0.67933   42004781
              -15               1               2              HB  0.76646 -0.34015  0.77864 -0.01946 -0.26956  0.66677 -0.20770 -0.01851 -0.26009  0.70348   42008781
              -16               1               1              HB  0.61086 -0.18315  0.60644  0.00191 -0.16676  0.56734 -0.22564 -0.08001 -0.19615  0.59665   42004801
              -16               1               2              HB  0.75072 -0.24304  0.70654 -0.03004 -0.24059  0.66028 -0.28672  0.03355 -0.26212  0.70617   42008801
               -1               2               1              HB  0.69776 -0.21512  0.62878 -0.02045 -0.21405  0.66357 -0.23884  0.00395 -0.22157  0.65338   42004082
               -2               2               1              HB  1.15946 -0.00815  1.23156 -0.21298  0.10439  1.02606 -0.25461  0.12667 -0.40801  1.09515   42004102
               -3               2               1              HB  0.62456 -0.20105  0.63953 -0.05054 -0.25851  0.59260 -0.21917 -0.02900 -0.19650  0.61138   42004182
               -4               2               1              HB  0.73624 -0.29218  0.74793 -0.01723 -0.25661  0.66931 -0.26036  0.01120 -0.26546  0.76807   42004202
               -5               2               1              HB  0.76819 -0.31534  0.82686 -0.04033 -0.27575  0.74369 -0.23490 -0.13423 -0.35147  0.79451   42004282
               -6               2               1              HB  0.60739 -0.23465  0.59236 -0.04329 -0.15770  0.55021 -0.16836  0.04403 -0.14343  0.58765   42004302
               -7               2               1              HB  0.69695 -0.30595  0.74185 -0.03023 -0.25482  0.69959 -0.25659 -0.06932 -0.24977  0.69260   42004382
               -8               2               1              HB  0.66165 -0.18254  0.62393 -0.00966 -0.22009  0.57274 -0.26578 -0.07865 -0.27331  0.60010   42004402
               -9               2               1              HB  0.70468 -0.20276  0.67880  0.00832 -0.26354  0.64587 -0.17170 -0.02605 -0.21274  0.71683   42004482
              -10               2               1              HB  0.82721 -0.32381  0.79650  0.04133 -0.22285  0.75016 -0.21991 -0.04611 -0.25784  0.73381   42004502
              -11               2               1              HB  0.78933 -0.28016  0.70646  0.04822 -0.27056  0.72718 -0.24362 -0.08838 -0.31794  0.76148   42004582
