#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.35500  2.76467  3.33267  3.07200   42004081
               -2               1               1              HB  3.11900  2.85267  3.44867  2.68800   42004101
               -3               1               1              HB  2.73200  3.52133  3.24200  3.05100   42004181
               -4               1               1              HB  2.91867  2.24400  2.92000  2.75400   42004201
               -5               1               1              HB  3.48700  2.82067  2.93867  3.02000   42004281
               -6               1               1              HB  3.09800  2.83733  3.40933  3.06100   42004301
               -7               1               1              HB  3.29000  3.05667  3.09333  2.93800   42004381
               -8               1               1              HB  2.96267  2.46800  3.16800  2.58200   42004401
               -9               1               1              HB  2.75500  3.13133  3.18667  2.66600   42004481
              -10               1               1              HB  2.46700  3.29000  2.88867  3.09900   42004501
              -11               1               1              HB  3.16900  2.97733  3.05667  3.16400   42004581
              -12               1               1              HB  2.27933  2.76400  2.95300  2.84100   42004601
              -13               1               1              HB  3.09700  2.90200  3.12667  3.39800   42004681
              -14               1               1              HB  2.86400  3.37600  3.11067  3.42700   42004701
              -15               1               1              HB  3.15900  2.55933  3.47400  2.92200   42004781
              -15               1               2              HB  2.87300  3.08333  2.66933  2.97600   42008781
              -16               1               1              HB  3.14800  3.59333  2.95133  2.69700   42004801
              -16               1               2              HB  2.48000  2.93333  2.93867  2.39400   42008801
               -1               2               1              HB  3.19200  2.99733  3.24867  2.60400   42004082
               -2               2               1              HB  4.40700  2.10000  3.77333  1.79500   42004102
               -3               2               1              HB  3.60700  2.48733  3.45800  2.73200   42004182
               -4               2               1              HB  2.40800  2.84267  2.37533  3.23600   42004202
               -5               2               1              HB  3.65000  2.46867  3.84733  2.55400   42004282
               -6               2               1              HB  2.91900  2.86600  2.97800  3.06100   42004302
               -7               2               1              HB  2.78700  2.96733  2.81133  2.71600   42004382
               -8               2               1              HB  2.52700  3.20067  3.13267  4.03400   42004402
               -9               2               1              HB  2.59200  3.17333  2.80800  3.36400   42004482
              -10               2               1              HB  2.47100  3.45000  2.42533  3.63300   42004502
              -11               2               1              HB  2.25500  3.11600  2.77200  3.45700   42004582
              -12               2               1              HB  2.46800  3.05200  2.43400  2.99300   42004602
              -13               2               1              HB  3.54000  2.94733  3.17000  2.93500   42004682
              -14               2               1              HB  3.77300  2.84667  3.13400  2.43100   42004702
              -15               2               1              HB  3.55133  2.46333  3.48700  2.61300   42004782
              -15               2               2              HB  2.25600  3.72867  3.09533  3.20900   42008782
              -16               2               1              HB  2.14000  3.73000  2.48700  3.78100   42004802
              -16               2               2              HB  3.20600  1.81933  3.52333  2.62400   42008802
               -1               3               1              HB  2.77000  3.32900  3.23933  3.37200   42004083
               -2               3               1              HB  2.68533  2.53200  3.04000  2.48133   42004103
               -3               3               1              HB  3.05733  3.35000  3.27300  3.33000   42004183
               -4               3               1              HB  2.89267  3.06300  3.16900  3.19667   42004203
               -5               3               1              HB  2.53600  2.69200  2.66467  2.85667   42004283
               -6               3               1              HB  3.60000  3.11400  3.35900  2.79467   42004303
               -7               3               1              HB  2.35133  3.17300  3.14500  2.93333   42004383
               -8               3               1              HB  2.58800  2.73200  2.49600  2.56000   42004403
               -9               3               1              HB  2.74000  2.78100  2.89067  3.20400   42004483
              -10               3               1              HB  2.69000  2.78200  2.33000  3.05200   42004503
              -11               3               1              HB  2.69667  2.66300  2.92800  2.63133   42004583
              -12               3               1              HB  2.83400  2.89800  2.74300  2.52867   42004603
              -13               3               1              HB  2.29400  2.66700  3.13200  2.70533   42004683
              -14               3               1              HB  2.70533  2.91300  3.18100  3.27800   42004703
              -15               3               1              HB  2.90733  3.10400  3.33200  2.76200   42004783
              -15               3               2              HB  2.94333  2.76700  3.27400  2.98000   42008783
              -16               3               1              HB  3.18533  3.13000  3.72400  3.08733   42004803
              -16               3               2              HB  2.29067  3.17600  2.94800  3.12867   42008803
               -1               4               1              HB  2.96867  2.28600  3.00600  2.34733   42004084
               -2               4               1              HB  2.20933  2.83400  2.68200  3.03667   42004104
               -3               4               1              HB  3.25533  2.96600  3.32800  2.86733   42004184
               -4               4               1              HB  2.78667  3.34000  3.39200  3.37600   42004204
               -5               4               1              HB  2.71267  2.94400  3.28800  2.79067   42004284
               -6               4               1              HB  2.42067  3.06000  3.09500  2.97867   42004304
               -7               4               1              HB  2.67267  2.86200  2.92600  2.76600   42004384
               -8               4               1              HB  1.91600  2.97500  2.88300  3.15733   42004404
               -9               4               1              HB  3.19600  3.20300  3.11300  2.93933   42004484
              -10               4               1              HB  2.58667  3.31500  2.95900  3.04200   42004504
              -11               4               1              HB  3.09533  3.15600  3.23000  3.06067   42004584
              -12               4               1              HB  2.20400  2.80700  2.92400  3.35267   42004604
              -13               4               1              HB  3.32600  3.32600  3.22800  3.15200   42004684
              -14               4               1              HB  2.74600  3.10300  2.79900  2.94467   42004704
              -15               4               1              HB  2.93667  3.42000  3.09700  3.46600   42004784
              -15               4               2              HB  2.79933  3.13600  3.10900  3.31667   42008784
              -16               4               1              HB  3.01467  3.07500  3.06200  3.14533   42004804
              -16               4               2              HB  2.69533  2.77300  2.47900  3.25133   42008804
               -1               5               1              HB  2.62667  2.70900  3.13300  2.87533   42004085
               -2               5               1              HB  3.20000  2.78900  2.93500  2.49000   42004105
               -3               5               1              HB  2.93933  3.04000  3.29000  3.16267   42004185
               -4               5               1              HB  3.14400  2.78600  3.44100  2.76933   42004205
               -5               5               1              HB  2.86800  2.64600  2.67300  2.75933   42004285
               -6               5               1              HB  2.19667  3.42500  2.93600  2.63333   42004305
               -7               5               1              HB  2.83867  2.78600  3.14800  2.46067   42004385
               -8               5               1              HB  2.92000  3.04400  2.98500  3.24800   42004405
               -9               5               1              HB  2.60067  3.03800  2.93400  2.85133   42004485
              -10               5               1              HB  2.71267  2.71900  2.98600  2.91600   42004505
              -11               5               1              HB  2.96467  2.97700  3.10000  3.30933   42004585
              -12               5               1              HB  2.95133  2.97700  2.95000  2.93400   42004605
              -13               5               1              HB  2.91800  2.93900  3.38900  2.42000   42004685
              -14               5               1              HB  2.49467  2.55500  3.20600  3.04667   42004705
              -15               5               1              HB  2.50733  2.76900  3.15700  2.63133   42004785
              -15               5               2              HB  2.95667  2.63600  2.92400  2.79867   42008785
