#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.64674  3.00507  3.62246  3.33913   42004081
               -2               1               1              HB  3.39022  3.10072  3.74855  2.92174   42004101
               -3               1               1              HB  2.96957  3.82754  3.52391  3.31630   42004181
               -4               1               1              HB  3.17246  2.43913  3.17391  2.99348   42004201
               -5               1               1              HB  3.79022  3.06594  3.19420  3.28261   42004281
               -6               1               1              HB  3.36739  3.08406  3.70580  3.32717   42004301
               -7               1               1              HB  3.57609  3.32246  3.36232  3.19348   42004381
               -8               1               1              HB  3.22029  2.68261  3.44348  2.80652   42004401
               -9               1               1              HB  2.99457  3.40362  3.46377  2.89783   42004481
              -10               1               1              HB  2.68152  3.57609  3.13986  3.36848   42004501
              -11               1               1              HB  3.44457  3.23623  3.32246  3.43913   42004581
              -12               1               1              HB  2.47754  3.00435  3.20978  3.08804   42004601
              -13               1               1              HB  3.36630  3.15435  3.39855  3.69348   42004681
              -14               1               1              HB  3.11304  3.66957  3.38116  3.72500   42004701
              -15               1               1              HB  3.43370  2.78188  3.77609  3.17609   42004781
              -15               1               2              HB  3.12283  3.35145  2.90145  3.23478   42008781
              -16               1               1              HB  3.42174  3.90580  3.20797  2.93152   42004801
              -16               1               2              HB  2.69565  3.18841  3.19420  2.60217   42008801
               -1               2               1              HB  3.46957  3.25797  3.53116  2.83043   42004082
               -2               2               1              HB  4.79022  2.28261  4.10145  1.95109   42004102
               -3               2               1              HB  3.92065  2.70362  3.75870  2.96957   42004182
               -4               2               1              HB  2.61739  3.08986  2.58188  3.51739   42004202
               -5               2               1              HB  3.96739  2.68333  4.18188  2.77609   42004282
               -6               2               1              HB  3.17283  3.11522  3.23696  3.32717   42004302
               -7               2               1              HB  3.02935  3.22536  3.05580  2.95217   42004382
               -8               2               1              HB  2.74674  3.47899  3.40507  4.38478   42004402
               -9               2               1              HB  2.81739  3.44928  3.05217  3.65652   42004482
              -10               2               1              HB  2.68587  3.75000  2.63623  3.94891   42004502
              -11               2               1              HB  2.45109  3.38696  3.01304  3.75761   42004582
              -12               2               1              HB  2.68261  3.31739  2.64565  3.25326   42004602
              -13               2               1              HB  3.84783  3.20362  3.44565  3.19022   42004682
              -14               2               1              HB  4.10109  3.09420  3.40652  2.64239   42004702
              -15               2               1              HB  3.86014  2.67754  3.79022  2.84022   42004782
              -15               2               2              HB  2.45217  4.05290  3.36449  3.48804   42008782
              -16               2               1              HB  2.32609  4.05435  2.70326  4.10978   42004802
              -16               2               2              HB  3.48478  1.97754  3.82971  2.85217   42008802
               -1               3               1              HB  3.01087  3.61848  3.52101  3.66522   42004083
               -2               3               1              HB  2.91884  2.75217  3.30435  2.69710   42004103
               -3               3               1              HB  3.32319  3.64130  3.55761  3.61957   42004183
               -4               3               1              HB  3.14420  3.32935  3.44457  3.47464   42004203
               -5               3               1              HB  2.75652  2.92609  2.89638  3.10507   42004283
               -6               3               1              HB  3.91304  3.38478  3.65109  3.03768   42004303
               -7               3               1              HB  2.55580  3.44891  3.41848  3.18841   42004383
               -8               3               1              HB  2.81304  2.96957  2.71304  2.78261   42004403
               -9               3               1              HB  2.97826  3.02283  3.14203  3.48261   42004483
              -10               3               1              HB  2.92391  3.02391  2.53261  3.31739   42004503
              -11               3               1              HB  2.93116  2.89457  3.18261  2.86014   42004583
              -12               3               1              HB  3.08043  3.15000  2.98152  2.74855   42004603
              -13               3               1              HB  2.49348  2.89891  3.40435  2.94058   42004683
              -14               3               1              HB  2.94058  3.16630  3.45761  3.56304   42004703
              -15               3               1              HB  3.16015  3.37391  3.62174  3.00217   42004783
              -15               3               2              HB  3.19928  3.00761  3.55870  3.23913   42008783
              -16               3               1              HB  3.46232  3.40217  4.04783  3.35580   42004803
              -16               3               2              HB  2.48986  3.45217  3.20435  3.40072   42008803
               -1               4               1              HB  3.22681  2.48478  3.26739  2.55145   42004084
               -2               4               1              HB  2.40145  3.08043  2.91522  3.30072   42004104
               -3               4               1              HB  3.53841  3.22391  3.61739  3.11667   42004184
               -4               4               1              HB  3.02899  3.63043  3.68696  3.66957   42004204
               -5               4               1              HB  2.94855  3.20000  3.57391  3.03333   42004284
               -6               4               1              HB  2.63116  3.32609  3.36413  3.23768   42004304
               -7               4               1              HB  2.90507  3.11087  3.18043  3.00652   42004384
               -8               4               1              HB  2.08261  3.23370  3.13370  3.43188   42004404
               -9               4               1              HB  3.47391  3.48152  3.38370  3.19493   42004484
              -10               4               1              HB  2.81159  3.60326  3.21630  3.30652   42004504
              -11               4               1              HB  3.36449  3.43043  3.51087  3.32681   42004584
              -12               4               1              HB  2.39565  3.05109  3.17826  3.64420   42004604
              -13               4               1              HB  3.61522  3.61522  3.50870  3.42609   42004684
              -14               4               1              HB  2.98478  3.37283  3.04239  3.20072   42004704
              -15               4               1              HB  3.19203  3.71739  3.36630  3.76739   42004784
              -15               4               2              HB  3.04275  3.40870  3.37935  3.60507   42008784
              -16               4               1              HB  3.27681  3.34239  3.32826  3.41884   42004804
              -16               4               2              HB  2.92971  3.01413  2.69457  3.53406   42008804
               -1               5               1              HB  2.85507  2.94457  3.40543  3.12536   42004085
               -2               5               1              HB  3.47826  3.03152  3.19022  2.70652   42004105
               -3               5               1              HB  3.19493  3.30435  3.57609  3.43768   42004185
               -4               5               1              HB  3.41739  3.02826  3.74022  3.01014   42004205
               -5               5               1              HB  3.11739  2.87609  2.90543  2.99928   42004285
               -6               5               1              HB  2.38768  3.72283  3.19130  2.86232   42004305
               -7               5               1              HB  3.08551  3.02826  3.42174  2.67464   42004385
               -8               5               1              HB  3.17391  3.30870  3.24457  3.53043   42004405
               -9               5               1              HB  2.82681  3.30217  3.18913  3.09928   42004485
              -10               5               1              HB  2.94855  2.95543  3.24565  3.16957   42004505
