#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.68877 -0.29000  0.73403 -0.00602 -0.29030  0.69549 -0.22632 -0.02606 -0.14645  0.68386   42004081
               -2               1               1              HB  0.61536 -0.18959  0.57848  0.00426 -0.22908  0.60416 -0.21370  0.02485 -0.13825  0.57970   42004101
               -3               1               1              HB  0.67601 -0.24608  0.64927 -0.07933 -0.22546  0.67041 -0.24968 -0.02196 -0.23788  0.66446   42004181
               -4               1               1              HB  0.76408 -0.25223  0.72991  0.03366 -0.32902  0.74622 -0.31192 -0.07795 -0.29145  0.77680   42004201
               -5               1               1              HB  0.59763 -0.31978  0.63859  0.00221 -0.20439  0.60362 -0.20527 -0.04775 -0.14742  0.60208   42004281
               -6               1               1              HB  0.58884 -0.17847  0.63824 -0.08757 -0.24033  0.62277 -0.21264 -0.04263 -0.19491  0.64896   42004301
               -7               1               1              HB  0.59534 -0.23326  0.55780 -0.02253 -0.17323  0.55051 -0.19969 -0.06792 -0.16802  0.57911   42004381
               -8               1               1              HB  0.65683 -0.19281  0.59977 -0.13555 -0.18032  0.62119 -0.22165 -0.01817 -0.20059  0.61824   42004401
               -9               1               1              HB  0.62261 -0.26326  0.68299 -0.00504 -0.25266  0.68662 -0.22782  0.01874 -0.19217  0.65979   42004481
              -10               1               1              HB  0.63907 -0.22853  0.63709 -0.01931 -0.22808  0.63359 -0.20467  0.03933 -0.24218  0.65595   42004501
              -11               1               1              HB  0.81574 -0.31447  0.79019 -0.08811 -0.27337  0.79410 -0.31039 -0.05232 -0.30989  0.81888   42004581
              -12               1               1              HB  0.64427 -0.24348  0.63678  0.00015 -0.22223  0.55386 -0.21927 -0.06914 -0.18723  0.59277   42004601
              -13               1               1              HB  0.77456 -0.31722  0.76921 -0.01688 -0.25944  0.73876 -0.34216  0.04136 -0.26632  0.78166   42004681
              -14               1               1              HB  0.59488 -0.08727  0.59069 -0.12754 -0.19409  0.57942 -0.22912 -0.14125 -0.09836  0.60807   42004701
              -15               1               1              HB  0.67075 -0.33192  0.69606 -0.00043 -0.23054  0.61593 -0.23700 -0.02171 -0.21270  0.70879   42004781
              -15               1               2              HB  0.75717 -0.33249  0.71565 -0.04253 -0.22185  0.66634 -0.25880  0.01063 -0.27993  0.72002   42008781
              -16               1               1              HB  0.63338 -0.22426  0.58438  0.02269 -0.19667  0.57612 -0.20812 -0.00735 -0.24781  0.62286   42004801
              -16               1               2              HB  0.83129 -0.23590  0.74459 -0.04950 -0.25294  0.76273 -0.32623 -0.01465 -0.33101  0.79013   42008801
               -1               2               1              HB  0.74095 -0.23569  0.72305  0.02748 -0.25757  0.69490 -0.25516 -0.06977 -0.28772  0.69611   42004082
               -2               2               1              HB  1.22324 -0.68018  1.28781  0.10505 -0.45054  1.16488 -0.31021 -0.07857 -0.53537  1.12355   42004102
               -3               2               1              HB  0.61502 -0.18527  0.65120 -0.04963 -0.20699  0.60362 -0.20596  0.01607 -0.25432  0.64057   42004182
               -4               2               1              HB  0.82885 -0.37351  0.84347 -0.05766 -0.31303  0.81418 -0.31698  0.03442 -0.32559  0.90301   42004202
               -5               2               1              HB  0.79809 -0.24413  0.83454  0.04871 -0.29511  0.78611 -0.27540 -0.03660 -0.33210  0.83304   42004282
               -6               2               1              HB  0.59126 -0.31174  0.59236 -0.00565 -0.17519  0.57362 -0.15130  0.05810 -0.21226  0.55444   42004302
               -7               2               1              HB  0.67300 -0.28350  0.65170  0.05885 -0.24436  0.68652 -0.20734  0.03748 -0.27952  0.67030   42004382
               -8               2               1              HB  0.68912 -0.32855  0.65265  0.05287 -0.23624  0.65422 -0.24329  0.10221 -0.35465  0.64136   42004402
               -9               2               1              HB  0.69416 -0.24490  0.68599  0.00905 -0.25369  0.72204 -0.30185 -0.05091 -0.34512  0.76028   42004482
              -10               2               1              HB  0.73861 -0.35793  0.77761 -0.04726 -0.24110  0.71096 -0.23292 -0.01873 -0.23421  0.74942   42004502
              -11               2               1              HB  0.72067 -0.23934  0.76703 -0.05182 -0.26412  0.72308 -0.24047 -0.01301 -0.31522  0.69725   42004582
              -12               2               1              HB  0.62261 -0.26741  0.61432  0.02232 -0.19207  0.58323 -0.17335  0.09849 -0.28351  0.55642   42004602
              -13               2               1              HB  0.77394 -0.30273  0.80879  0.00260 -0.26943  0.80707 -0.41458 -0.00050 -0.32603  0.83504   42004682
              -14               2               1              HB  0.61610 -0.21677  0.56296 -0.06803 -0.17736  0.55613 -0.22704 -0.10308 -0.21946  0.67963   42004702
              -15               2               1              HB  0.86251 -0.35064  0.81520  0.07975 -0.31503  0.80557 -0.39182  0.03227 -0.35034  0.78832   42004782
              -15               2               2              HB  1.09223 -0.51970  1.17247 -0.05798 -0.38217  1.03762 -0.35031 -0.01925 -0.35672  1.00581   42008782
              -16               2               1              HB  1.06380 -0.43817  1.09298 -0.13254 -0.30306  0.95679 -0.33358 -0.06159 -0.42102  1.08110   42004802
              -16               2               2              HB  1.65355 -0.89412  1.58321  0.13019 -0.66255  1.64633 -0.61028  0.04498 -0.86629  1.71151   42008802
               -1               3               1              HB  0.66765 -0.21306  0.62235 -0.07556 -0.22299  0.62782 -0.31243  0.02790 -0.21467  0.62730   42004083
               -2               3               1              HB  0.50841 -0.17990  0.52573 -0.00640 -0.15510  0.50614 -0.18259 -0.07176 -0.19761  0.53755   42004103
               -3               3               1              HB  0.48919 -0.16194  0.46964 -0.05984 -0.14833  0.50386 -0.18697  0.07857 -0.06745  0.52115   42004183
               -4               3               1              HB  0.54483 -0.07590  0.59432  0.12422 -0.18980  0.55109 -0.17749 -0.02409 -0.18932  0.59309   42004203
               -5               3               1              HB  0.57030 -0.18539  0.55191 -0.06332 -0.21300  0.53586 -0.26643 -0.01199 -0.18045  0.54047   42004283
               -6               3               1              HB  0.67423 -0.18124  0.58720 -0.01111 -0.21140  0.60742 -0.23173 -0.04560 -0.22718  0.62126   42004303
               -7               3               1              HB  0.52603 -0.14152  0.55420  0.01306 -0.16078  0.53400 -0.18736 -0.09389 -0.27213  0.58864   42004383
               -8               3               1              HB  0.59183 -0.07965  0.58149  0.01932 -0.16313  0.54346 -0.18661 -0.04362 -0.18993  0.57782   42004403
               -9               3               1              HB  0.50851 -0.15234  0.55416 -0.00405 -0.16534  0.51675 -0.21026 -0.02519 -0.16977  0.55102   42004483
              -10               3               1              HB  0.61976 -0.13301  0.60075 -0.01855 -0.22455  0.65820 -0.21252 -0.01614 -0.20695  0.58597   42004503
              -11               3               1              HB  0.55686 -0.12668  0.60661  0.03918 -0.18344  0.56098 -0.19750 -0.03337 -0.18141  0.61683   42004583
              -12               3               1              HB  0.60938 -0.11570  0.52173 -0.02087 -0.13494  0.58713 -0.19405 -0.01072 -0.15139  0.61733   42004603
              -13               3               1              HB  0.73200 -0.24823  0.68302 -0.02813 -0.23280  0.75919 -0.28044 -0.17737 -0.40419  0.76855   42004683
              -14               3               1              HB  0.64568 -0.18506  0.61606 -0.00079 -0.20233  0.63828 -0.20804 -0.00687 -0.23431  0.67507   42004703
              -15               3               1              HB  0.75466 -0.18474  0.71974 -0.03218 -0.22747  0.68263 -0.26629 -0.05937 -0.22564  0.76405   42004783
              -15               3               2              HB  0.68855 -0.20464  0.65538 -0.00529 -0.19159  0.64381 -0.22897 -0.03268 -0.13885  0.70369   42008783
              -16               3               1              HB  0.73919 -0.23877  0.72909  0.04704 -0.21753  0.71340 -0.25148  0.01967 -0.16450  0.72114   42004803
              -16               3               2              HB  0.70673 -0.19867  0.76444  0.07221 -0.26683  0.71278 -0.22850 -0.11891 -0.32882  0.70744   42008803
               -1               4               1              HB  0.69276 -0.21311  0.66896  0.05811 -0.23123  0.61905 -0.23919 -0.01300 -0.17023  0.66796   42004084
               -2               4               1              HB  0.63978 -0.29921  0.63852 -0.05131 -0.21478  0.61304 -0.24458 -0.02944 -0.28514  0.66398   42004104
