#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.17298  0.17298  0.17298  0.17298   42004081
               -2               1               1              HB  0.16023  0.16023  0.16023  0.16023   42004101
               -3               1               1              HB  0.14482  0.14482  0.14482  0.14482   42004181
               -4               1               1              HB  0.15558  0.15558  0.15558  0.15558   42004201
               -5               1               1              HB  0.14664  0.14664  0.14664  0.14664   42004281
               -6               1               1              HB  0.14967  0.14967  0.14967  0.14967   42004301
               -7               1               1              HB  0.13964  0.13964  0.13964  0.13964   42004381
               -8               1               1              HB  0.15890  0.15890  0.15890  0.15890   42004401
               -9               1               1              HB  0.12754  0.12754  0.12754  0.12754   42004481
              -10               1               1              HB  0.13850  0.13850  0.13850  0.13850   42004501
              -11               1               1              HB  0.12705  0.12705  0.12705  0.12705   42004581
              -12               1               1              HB  0.13324  0.13324  0.13324  0.13324   42004601
              -13               1               1              HB  0.11879  0.11879  0.11879  0.11879   42004681
              -14               1               1              HB  0.10959  0.10959  0.10959  0.10959   42004701
              -15               1               1              HB  0.10107  0.10107  0.10107  0.10107   42004781
              -15               1               2              HB  0.09838  0.09838  0.09838  0.09838   42008781
              -16               1               1              HB  0.11738  0.11738  0.11738  0.11738   42004801
              -16               1               2              HB  0.09513  0.09513  0.09513  0.09513   42008801
               -1               2               1              HB  0.18523  0.18523  0.18523  0.18523   42004082
               -2               2               1              HB  0.16949  0.16949  0.16949  0.16949   42004102
               -3               2               1              HB  0.17889  0.17889  0.17889  0.17889   42004182
               -4               2               1              HB  0.15851  0.15851  0.15851  0.15851   42004202
               -5               2               1              HB  0.16274  0.16274  0.16274  0.16274   42004282
               -6               2               1              HB  0.16331  0.16331  0.16331  0.16331   42004302
               -7               2               1              HB  0.17472  0.17472  0.17472  0.17472   42004382
               -8               2               1              HB  0.14022  0.14022  0.14022  0.14022   42004402
               -9               2               1              HB  0.14895  0.14895  0.14895  0.14895   42004482
              -10               2               1              HB  0.14599  0.14599  0.14599  0.14599   42004502
              -11               2               1              HB  0.17639  0.17639  0.17639  0.17639   42004582
              -12               2               1              HB  0.14384  0.14384  0.14384  0.14384   42004602
              -13               2               1              HB  0.15183  0.15183  0.15183  0.15183   42004682
              -14               2               1              HB  0.13700  0.13700  0.13700  0.13700   42004702
              -15               2               1              HB  0.13100  0.13100  0.13100  0.13100   42004782
              -15               2               2              HB  0.10998  0.10998  0.10998  0.10998   42008782
              -16               2               1              HB  0.12282  0.12282  0.12282  0.12282   42004802
              -16               2               2              HB  0.12254  0.12254  0.12254  0.12254   42008802
               -1               3               1              HB  0.23406  0.23406  0.23406  0.23406   42004083
               -2               3               1              HB  0.21296  0.21296  0.21296  0.21296   42004103
               -3               3               1              HB  0.21554  0.21554  0.21554  0.21554   42004183
               -4               3               1              HB  0.20303  0.20303  0.20303  0.20303   42004203
               -5               3               1              HB  0.19989  0.19989  0.19989  0.19989   42004283
               -6               3               1              HB  0.20327  0.20327  0.20327  0.20327   42004303
               -7               3               1              HB  0.19723  0.19723  0.19723  0.19723   42004383
               -8               3               1              HB  0.17788  0.17788  0.17788  0.17788   42004403
               -9               3               1              HB  0.17990  0.17990  0.17990  0.17990   42004483
              -10               3               1              HB  0.18470  0.18470  0.18470  0.18470   42004503
              -11               3               1              HB  0.18993  0.18993  0.18993  0.18993   42004583
              -12               3               1              HB  0.17181  0.17181  0.17181  0.17181   42004603
              -13               3               1              HB  0.16868  0.16868  0.16868  0.16868   42004683
              -14               3               1              HB  0.15390  0.15390  0.15390  0.15390   42004703
              -15               3               1              HB  0.13902  0.13902  0.13902  0.13902   42004783
              -15               3               2              HB  0.12091  0.12091  0.12091  0.12091   42008783
              -16               3               1              HB  0.15931  0.15931  0.15931  0.15931   42004803
              -16               3               2              HB  0.13216  0.13216  0.13216  0.13216   42008803
               -1               4               1              HB  0.22576  0.22576  0.22576  0.22576   42004084
               -2               4               1              HB  0.20327  0.20327  0.20327  0.20327   42004104
               -3               4               1              HB  0.19118  0.19118  0.19118  0.19118   42004184
               -4               4               1              HB  0.18675  0.18675  0.18675  0.18675   42004204
               -5               4               1              HB  0.18515  0.18515  0.18515  0.18515   42004284
               -6               4               1              HB  0.18155  0.18155  0.18155  0.18155   42004304
               -7               4               1              HB  0.17828  0.17828  0.17828  0.17828   42004384
               -8               4               1              HB  0.17508  0.17508  0.17508  0.17508   42004404
               -9               4               1              HB  0.17081  0.17081  0.17081  0.17081   42004484
              -10               4               1              HB  0.16699  0.16699  0.16699  0.16699   42004504
              -11               4               1              HB  0.16822  0.16822  0.16822  0.16822   42004584
              -12               4               1              HB  0.17217  0.17217  0.17217  0.17217   42004604
              -13               4               1              HB  0.16698  0.16698  0.16698  0.16698   42004684
              -14               4               1              HB  0.14652  0.14652  0.14652  0.14652   42004704
              -15               4               1              HB  0.13120  0.13120  0.13120  0.13120   42004784
              -15               4               2              HB  0.12431  0.12431  0.12431  0.12431   42008784
              -16               4               1              HB  0.13666  0.13666  0.13666  0.13666   42004804
