#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.18125  0.18125  0.18125  0.18125   42004081
               -2               1               1              HB  0.16614  0.16614  0.16614  0.16614   42004101
               -3               1               1              HB  0.14895  0.14895  0.14895  0.14895   42004181
               -4               1               1              HB  0.16009  0.16009  0.16009  0.16009   42004201
               -5               1               1              HB  0.15102  0.15102  0.15102  0.15102   42004281
               -6               1               1              HB  0.15370  0.15370  0.15370  0.15370   42004301
               -7               1               1              HB  0.14315  0.14315  0.14315  0.14315   42004381
               -8               1               1              HB  0.16260  0.16260  0.16260  0.16260   42004401
               -9               1               1              HB  0.13031  0.13031  0.13031  0.13031   42004481
              -10               1               1              HB  0.14105  0.14105  0.14105  0.14105   42004501
              -11               1               1              HB  0.12907  0.12907  0.12907  0.12907   42004581
              -12               1               1              HB  0.13503  0.13503  0.13503  0.13503   42004601
              -13               1               1              HB  0.12085  0.12085  0.12085  0.12085   42004681
              -14               1               1              HB  0.11340  0.11340  0.11340  0.11340   42004701
              -15               1               1              HB  0.10376  0.10376  0.10376  0.10376   42004781
              -15               1               2              HB  0.10071  0.10071  0.10071  0.10071   42008781
              -16               1               1              HB  0.12018  0.12018  0.12018  0.12018   42004801
              -16               1               2              HB  0.09738  0.09738  0.09738  0.09738   42008801
               -1               2               1              HB  0.19069  0.19069  0.19069  0.19069   42004082
               -2               2               1              HB  0.17418  0.17418  0.17418  0.17418   42004102
               -3               2               1              HB  0.18458  0.18458  0.18458  0.18458   42004182
               -4               2               1              HB  0.16234  0.16234  0.16234  0.16234   42004202
               -5               2               1              HB  0.16752  0.16752  0.16752  0.16752   42004282
               -6               2               1              HB  0.16802  0.16802  0.16802  0.16802   42004302
               -7               2               1              HB  0.17755  0.17755  0.17755  0.17755   42004382
               -8               2               1              HB  0.14317  0.14317  0.14317  0.14317   42004402
               -9               2               1              HB  0.15201  0.15201  0.15201  0.15201   42004482
              -10               2               1              HB  0.14917  0.14917  0.14917  0.14917   42004502
              -11               2               1              HB  0.17788  0.17788  0.17788  0.17788   42004582
              -12               2               1              HB  0.14519  0.14519  0.14519  0.14519   42004602
              -13               2               1              HB  0.15147  0.15147  0.15147  0.15147   42004682
              -14               2               1              HB  0.14040  0.14040  0.14040  0.14040   42004702
              -15               2               1              HB  0.13322  0.13322  0.13322  0.13322   42004782
              -15               2               2              HB  0.11259  0.11259  0.11259  0.11259   42008782
              -16               2               1              HB  0.12573  0.12573  0.12573  0.12573   42004802
              -16               2               2              HB  0.12545  0.12545  0.12545  0.12545   42008802
               -1               3               1              HB  0.23820  0.23820  0.23820  0.23820   42004083
               -2               3               1              HB  0.21715  0.21715  0.21715  0.21715   42004103
               -3               3               1              HB  0.21623  0.21623  0.21623  0.21623   42004183
               -4               3               1              HB  0.20007  0.20007  0.20007  0.20007   42004203
               -5               3               1              HB  0.20246  0.20246  0.20246  0.20246   42004283
               -6               3               1              HB  0.20612  0.20612  0.20612  0.20612   42004303
               -7               3               1              HB  0.19889  0.19889  0.19889  0.19889   42004383
               -8               3               1              HB  0.17919  0.17919  0.17919  0.17919   42004403
               -9               3               1              HB  0.17992  0.17992  0.17992  0.17992   42004483
              -10               3               1              HB  0.18449  0.18449  0.18449  0.18449   42004503
              -11               3               1              HB  0.18915  0.18915  0.18915  0.18915   42004583
              -12               3               1              HB  0.17195  0.17195  0.17195  0.17195   42004603
              -13               3               1              HB  0.16766  0.16766  0.16766  0.16766   42004683
              -14               3               1              HB  0.15698  0.15698  0.15698  0.15698   42004703
              -15               3               1              HB  0.14003  0.14003  0.14003  0.14003   42004783
              -15               3               2              HB  0.12378  0.12378  0.12378  0.12378   42008783
              -16               3               1              HB  0.16309  0.16309  0.16309  0.16309   42004803
              -16               3               2              HB  0.13531  0.13531  0.13531  0.13531   42008803
               -1               4               1              HB  0.23355  0.23355  0.23355  0.23355   42004084
               -2               4               1              HB  0.20858  0.20858  0.20858  0.20858   42004104
               -3               4               1              HB  0.19712  0.19712  0.19712  0.19712   42004184
               -4               4               1              HB  0.19195  0.19195  0.19195  0.19195   42004204
               -5               4               1              HB  0.18940  0.18940  0.18940  0.18940   42004284
               -6               4               1              HB  0.18673  0.18673  0.18673  0.18673   42004304
               -7               4               1              HB  0.18283  0.18283  0.18283  0.18283   42004384
               -8               4               1              HB  0.18201  0.18201  0.18201  0.18201   42004404
