#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.23202  0.23202  0.23202  0.23202   42004081
               -2               1               1              HB  0.21268  0.21268  0.21268  0.21268   42004101
               -3               1               1              HB  0.19067  0.19067  0.19067  0.19067   42004181
               -4               1               1              HB  0.20494  0.20494  0.20494  0.20494   42004201
               -5               1               1              HB  0.19332  0.19332  0.19332  0.19332   42004281
               -6               1               1              HB  0.19676  0.19676  0.19676  0.19676   42004301
               -7               1               1              HB  0.18325  0.18325  0.18325  0.18325   42004381
               -8               1               1              HB  0.20815  0.20815  0.20815  0.20815   42004401
               -9               1               1              HB  0.16681  0.16681  0.16681  0.16681   42004481
              -10               1               1              HB  0.18056  0.18056  0.18056  0.18056   42004501
              -11               1               1              HB  0.16523  0.16523  0.16523  0.16523   42004581
              -12               1               1              HB  0.17286  0.17286  0.17286  0.17286   42004601
              -13               1               1              HB  0.15470  0.15470  0.15470  0.15470   42004681
              -14               1               1              HB  0.14517  0.14517  0.14517  0.14517   42004701
              -15               1               1              HB  0.13283  0.13283  0.13283  0.13283   42004781
              -15               1               2              HB  0.12892  0.12892  0.12892  0.12892   42008781
              -16               1               1              HB  0.15385  0.15385  0.15385  0.15385   42004801
              -16               1               2              HB  0.12466  0.12466  0.12466  0.12466   42008801
               -1               2               1              HB  0.24458  0.24458  0.24458  0.24458   42004082
               -2               2               1              HB  0.22340  0.22340  0.22340  0.22340   42004102
               -3               2               1              HB  0.23674  0.23674  0.23674  0.23674   42004182
               -4               2               1              HB  0.20821  0.20821  0.20821  0.20821   42004202
               -5               2               1              HB  0.21486  0.21486  0.21486  0.21486   42004282
               -6               2               1              HB  0.21550  0.21550  0.21550  0.21550   42004302
               -7               2               1              HB  0.22772  0.22772  0.22772  0.22772   42004382
               -8               2               1              HB  0.18363  0.18363  0.18363  0.18363   42004402
               -9               2               1              HB  0.19496  0.19496  0.19496  0.19496   42004482
              -10               2               1              HB  0.19132  0.19132  0.19132  0.19132   42004502
              -11               2               1              HB  0.22815  0.22815  0.22815  0.22815   42004582
              -12               2               1              HB  0.18622  0.18622  0.18622  0.18622   42004602
              -13               2               1              HB  0.19427  0.19427  0.19427  0.19427   42004682
              -14               2               1              HB  0.18007  0.18007  0.18007  0.18007   42004702
              -15               2               1              HB  0.17087  0.17087  0.17087  0.17087   42004782
              -15               2               2              HB  0.14441  0.14441  0.14441  0.14441   42008782
              -16               2               1              HB  0.16126  0.16126  0.16126  0.16126   42004802
              -16               2               2              HB  0.16090  0.16090  0.16090  0.16090   42008802
               -1               3               1              HB  0.30851  0.30851  0.30851  0.30851   42004083
               -2               3               1              HB  0.28125  0.28125  0.28125  0.28125   42004103
               -3               3               1              HB  0.28006  0.28006  0.28006  0.28006   42004183
               -4               3               1              HB  0.25913  0.25913  0.25913  0.25913   42004203
               -5               3               1              HB  0.26222  0.26222  0.26222  0.26222   42004283
               -6               3               1              HB  0.26696  0.26696  0.26696  0.26696   42004303
               -7               3               1              HB  0.25760  0.25760  0.25760  0.25760   42004383
               -8               3               1              HB  0.23208  0.23208  0.23208  0.23208   42004403
               -9               3               1              HB  0.23303  0.23303  0.23303  0.23303   42004483
              -10               3               1              HB  0.23895  0.23895  0.23895  0.23895   42004503
              -11               3               1              HB  0.24498  0.24498  0.24498  0.24498   42004583
              -12               3               1              HB  0.22271  0.22271  0.22271  0.22271   42004603
              -13               3               1              HB  0.21715  0.21715  0.21715  0.21715   42004683
              -14               3               1              HB  0.20332  0.20332  0.20332  0.20332   42004703
              -15               3               1              HB  0.18136  0.18136  0.18136  0.18136   42004783
              -15               3               2              HB  0.16032  0.16032  0.16032  0.16032   42008783
              -16               3               1              HB  0.21123  0.21123  0.21123  0.21123   42004803
              -16               3               2              HB  0.17525  0.17525  0.17525  0.17525   42008803
               -1               4               1              HB  0.32074  0.32074  0.32074  0.32074   42004084
               -2               4               1              HB  0.28645  0.28645  0.28645  0.28645   42004104
               -3               4               1              HB  0.27071  0.27071  0.27071  0.27071   42004184
               -4               4               1              HB  0.26361  0.26361  0.26361  0.26361   42004204
               -5               4               1              HB  0.26011  0.26011  0.26011  0.26011   42004284
               -6               4               1              HB  0.25644  0.25644  0.25644  0.25644   42004304
               -7               4               1              HB  0.25109  0.25109  0.25109  0.25109   42004384
               -8               4               1              HB  0.24996  0.24996  0.24996  0.24996   42004404
               -9               4               1              HB  0.24263  0.24263  0.24263  0.24263   42004484
              -10               4               1              HB  0.23312  0.23312  0.23312  0.23312   42004504
              -11               4               1              HB  0.23592  0.23592  0.23592  0.23592   42004584
              -12               4               1              HB  0.24011  0.24011  0.24011  0.24011   42004604
              -13               4               1              HB  0.23496  0.23496  0.23496  0.23496   42004684
              -14               4               1              HB  0.20608  0.20608  0.20608  0.20608   42004704
              -15               4               1              HB  0.18341  0.18341  0.18341  0.18341   42004784
              -15               4               2              HB  0.17478  0.17478  0.17478  0.17478   42008784
              -16               4               1              HB  0.19214  0.19214  0.19214  0.19214   42004804
              -16               4               2              HB  0.18254  0.18254  0.18254  0.18254   42008804
               -1               5               1              HB  0.28579  0.28579  0.28579  0.28579   42004085
               -2               5               1              HB  0.26286  0.26286  0.26286  0.26286   42004105
               -3               5               1              HB  0.24490  0.24490  0.24490  0.24490   42004185
               -4               5               1              HB  0.26110  0.26110  0.26110  0.26110   42004205
               -5               5               1              HB  0.26662  0.26662  0.26662  0.26662   42004285
               -6               5               1              HB  0.25415  0.25415  0.25415  0.25415   42004305
               -7               5               1              HB  0.23971  0.23971  0.23971  0.23971   42004385
               -8               5               1              HB  0.23146  0.23146  0.23146  0.23146   42004405
               -9               5               1              HB  0.23619  0.23619  0.23619  0.23619   42004485
              -10               5               1              HB  0.22261  0.22261  0.22261  0.22261   42004505
              -11               5               1              HB  0.21892  0.21892  0.21892  0.21892   42004585
              -12               5               1              HB  0.22472  0.22472  0.22472  0.22472   42004605
              -13               5               1              HB  0.22485  0.22485  0.22485  0.22485   42004685
              -14               5               1              HB  0.18935  0.18935  0.18935  0.18935   42004705
              -15               5               1              HB  0.17403  0.17403  0.17403  0.17403   42004785
              -15               5               2              HB  0.15921  0.15921  0.15921  0.15921   42008785
              -16               5               1              HB  0.19256  0.19256  0.19256  0.19256   42004805
              -16               5               2              HB  0.15416  0.15416  0.15416  0.15416   42008805
               -1               6               1              HB  0.28089  0.28089  0.28089  0.28089   42004086
               -2               6               1              HB  0.24667  0.24667  0.24667  0.24667   42004106
               -3               6               1              HB  0.22258  0.22258  0.22258  0.22258   42004186
               -4               6               1              HB  0.25663  0.25663  0.25663  0.25663   42004206
               -5               6               1              HB  0.25581  0.25581  0.25581  0.25581   42004286
               -6               6               1              HB  0.23053  0.23053  0.23053  0.23053   42004306
               -7               6               1              HB  0.21504  0.21504  0.21504  0.21504   42004386
               -8               6               1              HB  0.24004  0.24004  0.24004  0.24004   42004406
               -9               6               1              HB  0.22214  0.22214  0.22214  0.22214   42004486
              -10               6               1              HB  0.20637  0.20637  0.20637  0.20637   42004506
              -11               6               1              HB  0.20156  0.20156  0.20156  0.20156   42004586
              -12               6               1              HB  0.22060  0.22060  0.22060  0.22060   42004606
              -13               6               1              HB  0.21691  0.21691  0.21691  0.21691   42004686
              -14               6               1              HB  0.19229  0.19229  0.19229  0.19229   42004706
              -15               6               1              HB  0.17884  0.17884  0.17884  0.17884   42004786
              -15               6               2              HB  0.13000  0.13000  0.13000  0.13000   42008786
              -16               6               1              HB  0.20233  0.20233  0.20233  0.20233   42004806
              -16               6               2              HB  0.16163  0.16163  0.16163  0.16163   42008806
               -1               7               1              HB  0.30999  0.30999  0.30999  0.30999   42004087
               -2               7               1              HB  0.27101  0.27101  0.27101  0.27101   42004107
               -3               7               1              HB  0.26952  0.26952  0.26952  0.26952   42004187
               -4               7               1              HB  0.29629  0.29629  0.29629  0.29629   42004207
               -5               7               1              HB  0.28148  0.28148  0.28148  0.28148   42004287
               -6               7               1              HB  0.26220  0.26220  0.26220  0.26220   42004307
               -7               7               1              HB  0.24907  0.24907  0.24907  0.24907   42004387
               -8               7               1              HB  0.25666  0.25666  0.25666  0.25666   42004407
               -9               7               1              HB  0.22581  0.22581  0.22581  0.22581   42004487
              -10               7               1              HB  0.23047  0.23047  0.23047  0.23047   42004507
              -11               7               1              HB  0.23235  0.23235  0.23235  0.23235   42004587
              -12               7               1              HB  0.23710  0.23710  0.23710  0.23710   42004607
              -13               7               1              HB  0.22140  0.22140  0.22140  0.22140   42004687
              -14               7               1              HB  0.20237  0.20237  0.20237  0.20237   42004707
              -15               7               1              HB  0.18676  0.18676  0.18676  0.18676   42004787
              -15               7               2              HB  0.14598  0.14598  0.14598  0.14598   42008787
              -16               7               1              HB  0.18479  0.18479  0.18479  0.18479   42004807
              -16               7               2              HB  0.17218  0.17218  0.17218  0.17218   42008807
               -1               8               1              HB  0.36037  0.36037  0.36037  0.36037   42004088
               -2               8               1              HB  0.31608  0.31608  0.31608  0.31608   42004108
               -3               8               1              HB  0.30865  0.30865  0.30865  0.30865   42004188
               -4               8               1              HB  0.31938  0.31938  0.31938  0.31938   42004208
               -5               8               1              HB  0.32339  0.32339  0.32339  0.32339   42004288
               -6               8               1              HB  0.29094  0.29094  0.29094  0.29094   42004308
               -7               8               1              HB  0.29062  0.29062  0.29062  0.29062   42004388
               -8               8               1              HB  0.28156  0.28156  0.28156  0.28156   42004408
               -9               8               1              HB  0.28690  0.28690  0.28690  0.28690   42004488
              -10               8               1              HB  0.27415  0.27415  0.27415  0.27415   42004508
              -11               8               1              HB  0.26751  0.26751  0.26751  0.26751   42004588
              -12               8               1              HB  0.26932  0.26932  0.26932  0.26932   42004608
              -13               8               1              HB  0.27571  0.27571  0.27571  0.27571   42004688
              -14               8               1              HB  0.24343  0.24343  0.24343  0.24343   42004708
              -15               8               1              HB  0.22050  0.22050  0.22050  0.22050   42004788
              -15               8               2              HB  0.17920  0.17920  0.17920  0.17920   42008788
              -16               8               1              HB  0.19534  0.19534  0.19534  0.19534   42004808
              -16               8               2              HB  0.18556  0.18556  0.18556  0.18556   42008808
               -1               9               1              HB  0.29782  0.29782  0.29782  0.29782   42004089
               -2               9               1              HB  0.27941  0.27941  0.27941  0.27941   42004109
               -3               9               1              HB  0.27175  0.27175  0.27175  0.27175   42004189
               -4               9               1              HB  0.26893  0.26893  0.26893  0.26893   42004209
               -5               9               1              HB  0.25284  0.25284  0.25284  0.25284   42004289
               -6               9               1              HB  0.25164  0.25164  0.25164  0.25164   42004309
               -7               9               1              HB  0.24126  0.24126  0.24126  0.24126   42004389
               -8               9               1              HB  0.23814  0.23814  0.23814  0.23814   42004409
               -9               9               1              HB  0.22654  0.22654  0.22654  0.22654   42004489
              -10               9               1              HB  0.21832  0.21832  0.21832  0.21832   42004509
              -11               9               1              HB  0.21405  0.21405  0.21405  0.21405   42004589
              -12               9               1              HB  0.21664  0.21664  0.21664  0.21664   42004609
              -13               9               1              HB  0.22145  0.22145  0.22145  0.22145   42004689
              -14               9               1              HB  0.18609  0.18609  0.18609  0.18609   42004709
              -15               9               1              HB  0.17213  0.17213  0.17213  0.17213   42004789
              -15               9               2              HB  0.15406  0.15406  0.15406  0.15406   42008789
              -16               9               1              HB  0.14849  0.14849  0.14849  0.14849   42004809
              -16               9               2              HB  0.16632  0.16632  0.16632  0.16632   42008809
               -1              10               1              HB  0.32913  0.32913  0.32913  0.32913   4200408A
               -2              10               1              HB  0.28840  0.28840  0.28840  0.28840   4200410A
               -3              10               1              HB  0.29472  0.29472  0.29472  0.29472   4200418A
               -4              10               1              HB  0.27661  0.27661  0.27661  0.27661   4200420A
               -5              10               1              HB  0.27929  0.27929  0.27929  0.27929   4200428A
               -6              10               1              HB  0.26468  0.26468  0.26468  0.26468   4200430A
               -7              10               1              HB  0.27028  0.27028  0.27028  0.27028   4200438A
               -8              10               1              HB  0.26685  0.26685  0.26685  0.26685   4200440A
               -9              10               1              HB  0.24837  0.24837  0.24837  0.24837   4200448A
              -10              10               1              HB  0.25620  0.25620  0.25620  0.25620   4200450A
              -11              10               1              HB  0.26202  0.26202  0.26202  0.26202   4200458A
              -12              10               1              HB  0.24719  0.24719  0.24719  0.24719   4200460A
              -13              10               1              HB  0.24213  0.24213  0.24213  0.24213   4200468A
              -14              10               1              HB  0.22785  0.22785  0.22785  0.22785   4200470A
              -15              10               1              HB  0.20250  0.20250  0.20250  0.20250   4200478A
              -15              10               2              HB  0.16418  0.16418  0.16418  0.16418   4200878A
              -16              10               1              HB  0.25398  0.25398  0.25398  0.25398   4200480A
              -16              10               2              HB  0.18174  0.18174  0.18174  0.18174   4200880A
               -1              11               1              HB  0.33060  0.33060  0.33060  0.33060   4200408B
               -2              11               1              HB  0.30062  0.30062  0.30062  0.30062   4200410B
               -3              11               1              HB  0.32134  0.32134  0.32134  0.32134   4200418B
               -4              11               1              HB  0.29404  0.29404  0.29404  0.29404   4200420B
               -5              11               1              HB  0.28400  0.28400  0.28400  0.28400   4200428B
               -6              11               1              HB  0.30200  0.30200  0.30200  0.30200   4200430B
               -7              11               1              HB  0.29312  0.29312  0.29312  0.29312   4200438B
               -8              11               1              HB  0.28524  0.28524  0.28524  0.28524   4200440B
               -9              11               1              HB  0.26201  0.26201  0.26201  0.26201   4200448B
              -10              11               1              HB  0.26972  0.26972  0.26972  0.26972   4200450B
              -11              11               1              HB  0.26311  0.26311  0.26311  0.26311   4200458B
              -12              11               1              HB  0.26253  0.26253  0.26253  0.26253   4200460B
