#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.24882  0.24882  0.24882  0.24882   42004081
               -2               1               1              HB  0.22808  0.22808  0.22808  0.22808   42004101
               -3               1               1              HB  0.20448  0.20448  0.20448  0.20448   42004181
               -4               1               1              HB  0.21977  0.21977  0.21977  0.21977   42004201
               -5               1               1              HB  0.20732  0.20732  0.20732  0.20732   42004281
               -6               1               1              HB  0.21100  0.21100  0.21100  0.21100   42004301
               -7               1               1              HB  0.19652  0.19652  0.19652  0.19652   42004381
               -8               1               1              HB  0.22322  0.22322  0.22322  0.22322   42004401
               -9               1               1              HB  0.17889  0.17889  0.17889  0.17889   42004481
              -10               1               1              HB  0.19363  0.19363  0.19363  0.19363   42004501
              -11               1               1              HB  0.17719  0.17719  0.17719  0.17719   42004581
              -12               1               1              HB  0.18537  0.18537  0.18537  0.18537   42004601
              -13               1               1              HB  0.16590  0.16590  0.16590  0.16590   42004681
              -14               1               1              HB  0.15568  0.15568  0.15568  0.15568   42004701
              -15               1               1              HB  0.14244  0.14244  0.14244  0.14244   42004781
              -15               1               2              HB  0.13825  0.13825  0.13825  0.13825   42008781
              -16               1               1              HB  0.16498  0.16498  0.16498  0.16498   42004801
              -16               1               2              HB  0.13368  0.13368  0.13368  0.13368   42008801
               -1               2               1              HB  0.22308  0.22308  0.22308  0.22308   42004082
               -2               2               1              HB  0.20377  0.20377  0.20377  0.20377   42004102
               -3               2               1              HB  0.21593  0.21593  0.21593  0.21593   42004182
               -4               2               1              HB  0.18992  0.18992  0.18992  0.18992   42004202
               -5               2               1              HB  0.19598  0.19598  0.19598  0.19598   42004282
               -6               2               1              HB  0.19656  0.19656  0.19656  0.19656   42004302
               -7               2               1              HB  0.20771  0.20771  0.20771  0.20771   42004382
               -8               2               1              HB  0.16749  0.16749  0.16749  0.16749   42004402
               -9               2               1              HB  0.17783  0.17783  0.17783  0.17783   42004482
              -10               2               1              HB  0.17451  0.17451  0.17451  0.17451   42004502
              -11               2               1              HB  0.20810  0.20810  0.20810  0.20810   42004582
              -12               2               1              HB  0.16985  0.16985  0.16985  0.16985   42004602
              -13               2               1              HB  0.17720  0.17720  0.17720  0.17720   42004682
              -14               2               1              HB  0.16425  0.16425  0.16425  0.16425   42004702
              -15               2               1              HB  0.15585  0.15585  0.15585  0.15585   42004782
              -15               2               2              HB  0.13171  0.13171  0.13171  0.13171   42008782
              -16               2               1              HB  0.14709  0.14709  0.14709  0.14709   42004802
              -16               2               2              HB  0.14676  0.14676  0.14676  0.14676   42008802
               -1               3               1              HB  0.24376  0.24376  0.24376  0.24376   42004083
               -2               3               1              HB  0.22222  0.22222  0.22222  0.22222   42004103
               -3               3               1              HB  0.22128  0.22128  0.22128  0.22128   42004183
               -4               3               1              HB  0.20474  0.20474  0.20474  0.20474   42004203
               -5               3               1              HB  0.20718  0.20718  0.20718  0.20718   42004283
               -6               3               1              HB  0.21093  0.21093  0.21093  0.21093   42004303
               -7               3               1              HB  0.20353  0.20353  0.20353  0.20353   42004383
               -8               3               1              HB  0.18337  0.18337  0.18337  0.18337   42004403
               -9               3               1              HB  0.18412  0.18412  0.18412  0.18412   42004483
              -10               3               1              HB  0.18879  0.18879  0.18879  0.18879   42004503
              -11               3               1              HB  0.19356  0.19356  0.19356  0.19356   42004583
              -12               3               1              HB  0.17596  0.17596  0.17596  0.17596   42004603
              -13               3               1              HB  0.17157  0.17157  0.17157  0.17157   42004683
              -14               3               1              HB  0.16064  0.16064  0.16064  0.16064   42004703
              -15               3               1              HB  0.14330  0.14330  0.14330  0.14330   42004783
              -15               3               2              HB  0.12667  0.12667  0.12667  0.12667   42008783
              -16               3               1              HB  0.16690  0.16690  0.16690  0.16690   42004803
              -16               3               2              HB  0.13847  0.13847  0.13847  0.13847   42008803
