#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.22744  0.22744  0.22744  0.22744   42004081
               -2               1               1              HB  0.20848  0.20848  0.20848  0.20848   42004101
               -3               1               1              HB  0.18691  0.18691  0.18691  0.18691   42004181
               -4               1               1              HB  0.20089  0.20089  0.20089  0.20089   42004201
               -5               1               1              HB  0.18951  0.18951  0.18951  0.18951   42004281
               -6               1               1              HB  0.19287  0.19287  0.19287  0.19287   42004301
               -7               1               1              HB  0.17964  0.17964  0.17964  0.17964   42004381
               -8               1               1              HB  0.20404  0.20404  0.20404  0.20404   42004401
               -9               1               1              HB  0.16352  0.16352  0.16352  0.16352   42004481
              -10               1               1              HB  0.17699  0.17699  0.17699  0.17699   42004501
              -11               1               1              HB  0.16197  0.16197  0.16197  0.16197   42004581
              -12               1               1              HB  0.16944  0.16944  0.16944  0.16944   42004601
              -13               1               1              HB  0.15165  0.15165  0.15165  0.15165   42004681
              -14               1               1              HB  0.14230  0.14230  0.14230  0.14230   42004701
              -15               1               1              HB  0.13020  0.13020  0.13020  0.13020   42004781
              -15               1               2              HB  0.12637  0.12637  0.12637  0.12637   42008781
              -16               1               1              HB  0.15080  0.15080  0.15080  0.15080   42004801
              -16               1               2              HB  0.12219  0.12219  0.12219  0.12219   42008801
               -1               2               1              HB  0.20391  0.20391  0.20391  0.20391   42004082
               -2               2               1              HB  0.18626  0.18626  0.18626  0.18626   42004102
               -3               2               1              HB  0.19738  0.19738  0.19738  0.19738   42004182
               -4               2               1              HB  0.17360  0.17360  0.17360  0.17360   42004202
               -5               2               1              HB  0.17914  0.17914  0.17914  0.17914   42004282
               -6               2               1              HB  0.17967  0.17967  0.17967  0.17967   42004302
               -7               2               1              HB  0.18986  0.18986  0.18986  0.18986   42004382
               -8               2               1              HB  0.15310  0.15310  0.15310  0.15310   42004402
               -9               2               1              HB  0.16255  0.16255  0.16255  0.16255   42004482
              -10               2               1              HB  0.15952  0.15952  0.15952  0.15952   42004502
              -11               2               1              HB  0.19022  0.19022  0.19022  0.19022   42004582
              -12               2               1              HB  0.15526  0.15526  0.15526  0.15526   42004602
              -13               2               1              HB  0.16197  0.16197  0.16197  0.16197   42004682
              -14               2               1              HB  0.15014  0.15014  0.15014  0.15014   42004702
              -15               2               1              HB  0.14246  0.14246  0.14246  0.14246   42004782
              -15               2               2              HB  0.12039  0.12039  0.12039  0.12039   42008782
              -16               2               1              HB  0.13445  0.13445  0.13445  0.13445   42004802
              -16               2               2              HB  0.13415  0.13415  0.13415  0.13415   42008802
               -1               3               1              HB  0.22282  0.22282  0.22282  0.22282   42004083
               -2               3               1              HB  0.20313  0.20313  0.20313  0.20313   42004103
               -3               3               1              HB  0.20227  0.20227  0.20227  0.20227   42004183
               -4               3               1              HB  0.18715  0.18715  0.18715  0.18715   42004203
               -5               3               1              HB  0.18938  0.18938  0.18938  0.18938   42004283
               -6               3               1              HB  0.19281  0.19281  0.19281  0.19281   42004303
               -7               3               1              HB  0.18604  0.18604  0.18604  0.18604   42004383
               -8               3               1              HB  0.16761  0.16761  0.16761  0.16761   42004403
               -9               3               1              HB  0.16830  0.16830  0.16830  0.16830   42004483
              -10               3               1              HB  0.17257  0.17257  0.17257  0.17257   42004503
              -11               3               1              HB  0.17693  0.17693  0.17693  0.17693   42004583
              -12               3               1              HB  0.16084  0.16084  0.16084  0.16084   42004603
              -13               3               1              HB  0.15683  0.15683  0.15683  0.15683   42004683
              -14               3               1              HB  0.14684  0.14684  0.14684  0.14684   42004703
              -15               3               1              HB  0.13099  0.13099  0.13099  0.13099   42004783
              -15               3               2              HB  0.11579  0.11579  0.11579  0.11579   42008783
              -16               3               1              HB  0.15256  0.15256  0.15256  0.15256   42004803
              -16               3               2              HB  0.12657  0.12657  0.12657  0.12657   42008803
               -1               4               1              HB  0.22069  0.22069  0.22069  0.22069   42004084
               -2               4               1              HB  0.19709  0.19709  0.19709  0.19709   42004104
               -3               4               1              HB  0.18626  0.18626  0.18626  0.18626   42004184
               -4               4               1              HB  0.18138  0.18138  0.18138  0.18138   42004204
               -5               4               1              HB  0.17897  0.17897  0.17897  0.17897   42004284
               -6               4               1              HB  0.17644  0.17644  0.17644  0.17644   42004304
               -7               4               1              HB  0.17276  0.17276  0.17276  0.17276   42004384
               -8               4               1              HB  0.17198  0.17198  0.17198  0.17198   42004404
               -9               4               1              HB  0.16694  0.16694  0.16694  0.16694   42004484
              -10               4               1              HB  0.16040  0.16040  0.16040  0.16040   42004504
              -11               4               1              HB  0.16233  0.16233  0.16233  0.16233   42004584
              -12               4               1              HB  0.16521  0.16521  0.16521  0.16521   42004604
              -13               4               1              HB  0.16166  0.16166  0.16166  0.16166   42004684
              -14               4               1              HB  0.14179  0.14179  0.14179  0.14179   42004704
              -15               4               1              HB  0.12620  0.12620  0.12620  0.12620   42004784
              -15               4               2              HB  0.12026  0.12026  0.12026  0.12026   42008784
              -16               4               1              HB  0.13220  0.13220  0.13220  0.13220   42004804
              -16               4               2              HB  0.12559  0.12559  0.12559  0.12559   42008804
               -1               5               1              HB  0.20708  0.20708  0.20708  0.20708   42004085
               -2               5               1              HB  0.19048  0.19048  0.19048  0.19048   42004105
               -3               5               1              HB  0.17746  0.17746  0.17746  0.17746   42004185
               -4               5               1              HB  0.18920  0.18920  0.18920  0.18920   42004205
               -5               5               1              HB  0.19319  0.19319  0.19319  0.19319   42004285
