#  eta  phi  dep  det     cap1     cap2     cap3     cap4  HcalDetId
     1    1    1   HB  0.15100  0.15100  0.15100  0.15100   42006081
     1    2    1   HB  0.15100  0.15100  0.15100  0.15100   42006082
     1    3    1   HB  0.15100  0.15100  0.15100  0.15100   42006083
     1    4    1   HB  0.15100  0.15100  0.15100  0.15100   42006084
     1    5    1   HB  0.15100  0.15100  0.15100  0.15100   42006085
     1    6    1   HB  0.15100  0.15100  0.15100  0.15100   42006086
     1    7    1   HB  0.15100  0.15100  0.15100  0.15100   42006087
     1    8    1   HB  0.15100  0.15100  0.15100  0.15100   42006088
     1    9    1   HB  0.15100  0.15100  0.15100  0.15100   42006089
     1   10    1   HB  0.15100  0.15100  0.15100  0.15100   4200608A
     1   11    1   HB  0.18995  0.18995  0.18995  0.18995   4200608B
     1   12    1   HB  0.21437  0.21437  0.21437  0.21437   4200608C
     1   13    1   HB  0.17231  0.17231  0.17231  0.17231   4200608D
     1   14    1   HB  0.25800  0.25800  0.25800  0.25800   4200608E
     1   15    1   HB  0.15100  0.15100  0.15100  0.15100   4200608F
     1   16    1   HB  0.15100  0.15100  0.15100  0.15100   42006090
     1   17    1   HB  0.15100  0.15100  0.15100  0.15100   42006091
     1   18    1   HB  0.15100  0.15100  0.15100  0.15100   42006092
     1   19    1   HB  0.15100  0.15100  0.15100  0.15100   42006093
     1   20    1   HB  0.15100  0.15100  0.15100  0.15100   42006094
     1   21    1   HB  0.15100  0.15100  0.15100  0.15100   42006095
     1   22    1   HB  0.15100  0.15100  0.15100  0.15100   42006096
     1   23    1   HB  0.15100  0.15100  0.15100  0.15100   42006097
     1   24    1   HB  0.15100  0.15100  0.15100  0.15100   42006098
     1   25    1   HB  0.15100  0.15100  0.15100  0.15100   42006099
     1   26    1   HB  0.15100  0.15100  0.15100  0.15100   4200609A
     1   27    1   HB  0.15100  0.15100  0.15100  0.15100   4200609B
     1   28    1   HB  0.15100  0.15100  0.15100  0.15100   4200609C
     1   29    1   HB  0.15100  0.15100  0.15100  0.15100   4200609D
     1   30    1   HB  0.15100  0.15100  0.15100  0.15100   4200609E
     1   31    1   HB  0.15100  0.15100  0.15100  0.15100   4200609F
     1   32    1   HB  0.15100  0.15100  0.15100  0.15100   420060A0
     1   33    1   HB  0.15100  0.15100  0.15100  0.15100   420060A1
     1   34    1   HB  0.15100  0.15100  0.15100  0.15100   420060A2
     1   35    1   HB  0.15100  0.15100  0.15100  0.15100   420060A3
     1   36    1   HB  0.15100  0.15100  0.15100  0.15100   420060A4
     1   37    1   HB  0.15100  0.15100  0.15100  0.15100   420060A5
     1   38    1   HB  0.15100  0.15100  0.15100  0.15100   420060A6
     1   39    1   HB  0.15100  0.15100  0.15100  0.15100   420060A7
     1   40    1   HB  0.15100  0.15100  0.15100  0.15100   420060A8
     1   41    1   HB  0.15100  0.15100  0.15100  0.15100   420060A9
     1   42    1   HB  0.15100  0.15100  0.15100  0.15100   420060AA
     1   43    1   HB  0.15100  0.15100  0.15100  0.15100   420060AB
     1   44    1   HB  0.15100  0.15100  0.15100  0.15100   420060AC
     1   45    1   HB  0.15100  0.15100  0.15100  0.15100   420060AD
     1   46    1   HB  0.15100  0.15100  0.15100  0.15100   420060AE
     1   47    1   HB  0.15100  0.15100  0.15100  0.15100   420060AF
     1   48    1   HB  0.15100  0.15100  0.15100  0.15100   420060B0
     1   49    1   HB  0.15100  0.15100  0.15100  0.15100   420060B1
     1   50    1   HB  0.15100  0.15100  0.15100  0.15100   420060B2
     1   51    1   HB  0.15100  0.15100  0.15100  0.15100   420060B3
     1   52    1   HB  0.15100  0.15100  0.15100  0.15100   420060B4
     1   53    1   HB  0.15100  0.15100  0.15100  0.15100   420060B5
     1   54    1   HB  0.15100  0.15100  0.15100  0.15100   420060B6
     1   55    1   HB  0.15100  0.15100  0.15100  0.15100   420060B7
     1   56    1   HB  0.15100  0.15100  0.15100  0.15100   420060B8
     1   57    1   HB  0.15100  0.15100  0.15100  0.15100   420060B9
     1   58    1   HB  0.15100  0.15100  0.15100  0.15100   420060BA
     1   59    1   HB  0.15100  0.15100  0.15100  0.15100   420060BB
     1   60    1   HB  0.15100  0.15100  0.15100  0.15100   420060BC
     1   61    1   HB  0.15100  0.15100  0.15100  0.15100   420060BD
     1   62    1   HB  0.15100  0.15100  0.15100  0.15100   420060BE
     1   63    1   HB  0.15100  0.15100  0.15100  0.15100   420060BF
     1   64    1   HB  0.15100  0.15100  0.15100  0.15100   420060C0
     1   65    1   HB  0.15100  0.15100  0.15100  0.15100   420060C1
