#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               3               1              HB  3.20803  3.89218  3.73005  3.43707   42004083
               -2               3               1              HB  5.21991  5.25811  5.59634  5.04818   42004103
               -3               3               1              HB  4.91268  4.95712  5.04316  5.07517   42004183
               -4               3               1              HB  3.83959  4.23642  4.24826  4.36562   42004203
               -5               3               1              HB  4.03821  3.85774  4.03702  3.95454   42004283
               -6               3               1              HB  4.47986  4.32111  4.53165  4.02378   42004303
               -7               3               1              HB  3.88544  3.96946  4.23108  3.90877   42004383
               -8               3               1              HB  4.09378  4.24261  3.87019  3.80192   42004403
               -9               3               1              HB  5.25271  5.22705  5.39336  5.37176   42004483
              -10               3               1              HB  4.58166  4.59669  4.70754  4.65836   42004503
              -11               3               1              HB  4.80309  4.74621  4.96717  4.68920   42004583
              -12               3               1              HB  4.36842  4.41545  4.75392  4.18030   42004603
              -13               3               1              HB  1.84962  2.26867  2.63486  2.24977   42004683
              -14               3               1              HB  5.14015  5.22918  5.47434  5.12013   42004703
              -15               3               1              HB  5.74492  5.88779  5.64700  5.34532   42004783
              -15               3               2              HB  4.66080  4.78062  5.01133  4.57492   42008783
              -16               3               1              HB  5.46186  5.20769  5.88567  5.38042   42004803
              -16               3               2              HB  4.68487  5.03350  5.09660  4.76384   42008803
               -1               4               1              HB  4.00507  3.68970  4.39496  3.85504   42004084
               -2               4               1              HB  4.44525  4.67613  4.85520  4.50632   42004104
               -3               4               1              HB  4.92957  4.87726  5.19479  4.67468   42004184
               -4               4               1              HB  4.98518  5.46797  5.61790  4.79593   42004204
               -5               4               1              HB  4.77758  5.24732  5.30455  4.93268   42004284
               -6               4               1              HB  3.84351  4.17626  4.31663  4.01513   42004304
               -7               4               1              HB  3.85317  4.01418  4.15775  3.91314   42004384
               -8               4               1              HB  4.19427  5.10867  5.11816  4.96903   42004404
               -9               4               1              HB  4.56982  4.27016  4.00924  3.96818   42004484
              -10               4               1              HB  4.74105  5.40733  5.09079  4.95982   42004504
              -11               4               1              HB  5.21763  5.25432  5.36852  5.31459   42004584
              -12               4               1              HB  3.57104  3.88516  4.12467  3.87982   42004604
              -13               4               1              HB  4.66811  4.71579  4.63170  4.23459   42004684
              -14               4               1              HB  4.56888  4.81765  4.84010  4.89348   42004704
              -15               4               1              HB  4.53167  5.11585  5.01393  5.35886   42004784
              -15               4               2              HB  4.48019  4.57153  4.86406  4.46066   42008784
              -16               4               1              HB  4.12847  4.06877  4.16150  4.07552   42004804
              -16               4               2              HB  6.11189  6.41571  6.08389  6.46462   42008804
               -1               5               1              HB  3.54841  3.16238  4.10879  3.40451   42004085
               -2               5               1              HB  4.62497  4.67009  4.77028  4.35076   42004105
               -3               5               1              HB  4.91586  4.96211  5.31832  4.80708   42004185
               -4               5               1              HB  4.91993  4.49210  5.31061  4.37172   42004205
               -5               5               1              HB  5.24221  4.70175  4.66378  4.66330   42004285
               -6               5               1              HB  4.34294  4.52255  4.58181  4.39582   42004305
               -7               5               1              HB  4.36564  4.41925  4.71475  4.37757   42004385
               -8               5               1              HB  6.17112  6.61586  6.28880  6.41877   42004405
               -9               5               1              HB  4.78232  5.43644  5.60771  5.17745   42004485
              -10               5               1              HB  5.05226  5.05114  5.29655  5.24751   42004505
              -11               5               1              HB  4.95235  5.02511  5.45183  4.95970   42004585
              -12               5               1              HB  2.77897  2.66250  2.90664  2.28900   42004605
              -13               5               1              HB  5.69851  5.60471  6.19531  5.28325   42004685
              -14               5               1              HB  4.99361  5.10602  5.30179  4.98255   42004705
              -15               5               1              HB  4.22632  4.22485  4.68393  4.47444   42004785
              -15               5               2              HB  4.55538  4.78008  4.96068  4.75986   42008785
              -16               5               1              HB  4.09107  4.06051  3.93810  3.82872   42004805
              -16               5               2              HB  5.10721  5.13748  5.33335  5.20026   42008805
               -1               6               1              HB  4.30300  4.68265  4.15343  4.40502   42004086
               -2               6               1              HB  3.84761  3.98134  4.59410  4.24981   42004106
