#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  1.16995  0.86164  0.94118  1.33331   42004081
               -2               1               1              HB  3.73946  4.20183  4.18722  4.41374   42004101
               -3               1               1              HB  4.24629  4.66015  4.60849  4.41282   42004181
               -4               1               1              HB  2.68303  2.14054  2.33873  2.42452   42004201
               -5               1               1              HB  5.04973  4.94377  4.74555  4.73457   42004281
               -6               1               1              HB  2.05558  2.52145  2.64361  2.77498   42004301
               -7               1               1              HB  0.95539  1.12002  1.31597  1.07338   42004381
               -8               1               1              HB  3.17540  3.74870  3.65357  3.43386   42004401
               -9               1               1              HB  0.60178  1.66107  1.69915  1.09220   42004481
              -10               1               1              HB  3.71408  3.87803  4.08213  3.99841   42004501
              -11               1               1              HB  5.03614  4.81996  4.87968  4.72373   42004581
              -12               1               1              HB  2.07809  2.83218  2.87788  2.90336   42004601
              -13               1               1              HB  2.86943  2.09161  3.19157  2.56506   42004681
              -14               1               1              HB  3.82137  3.48275  4.02717  3.34659   42004701
              -15               1               1              HB  3.81843  3.44097  3.90598  3.46660   42004781
              -15               1               2              HB  2.62182  2.32700  2.67795  2.21825   42008781
              -16               1               1              HB  1.21332  2.63925  1.39230  2.19456   42004801
              -16               1               2              HB  3.54922  3.79042  4.17152  3.94773   42008801
               -1               2               1              HB  1.36376  1.84309  1.48761  1.42874   42004082
               -2               2               1              HB  1.59516  4.24835  1.43610  3.53653   42004102
               -3               2               1              HB  2.31507  3.05771  2.66367  3.27972   42004182
               -4               2               1              HB  3.61900  2.63935  4.01829  3.04100   42004202
               -5               2               1              HB  0.89527  1.94630  1.15097  2.63029   42004282
               -6               2               1              HB  3.87670  4.48066  4.08601  4.05484   42004302
               -7               2               1              HB  1.72843  1.49214  2.13664  1.71123   42004382
               -8               2               1              HB  2.04661  2.32322  2.74393  2.95762   42004402
               -9               2               1              HB  1.35346  1.42610  1.66497  1.33646   42004482
              -10               2               1              HB  2.82098  1.54696  2.89134  1.24341   42004502
              -11               2               1              HB  3.46129  2.66021  3.77052  2.78936   42004582
              -12               2               1              HB  4.34520  3.36553  3.86937  2.30781   42004602
              -13               2               1              HB  2.85736  3.41023  2.63150  2.93261   42004682
              -14               2               1              HB  3.23561  4.58389  3.19510  4.51930   42004702
              -15               2               1              HB  2.79223  3.84130  3.00016  3.87583   42004782
              -15               2               2              HB  3.11326  1.84262  3.21604  1.93504   42008782
              -16               2               1              HB  3.38112  1.27322  3.47143  1.52286   42004802
              -16               2               2              HB  3.85113  4.40770  3.14579  3.63447   42008802
               -1               3               1              HB  2.21660  2.72097  2.49234  2.27630   42004083
               -2               3               1              HB  3.72568  4.13477  4.04472  4.14006   42004103
               -3               3               1              HB  4.94726  5.01373  4.96456  5.04908   42004183
               -4               3               1              HB  3.31524  3.54899  3.69150  3.67940   42004203
               -5               3               1              HB  4.08848  3.86123  4.01512  3.95066   42004283
               -6               3               1              HB  3.47250  3.91804  3.83707  3.77342   42004303
               -7               3               1              HB  2.74573  2.84516  2.88535  2.80126   42004383
               -8               3               1              HB  2.96485  3.01466  2.74150  2.50482   42004403
               -9               3               1              HB  4.13539  3.92179  4.40245  4.02827   42004483
              -10               3               1              HB  3.39988  3.47925  3.48082  3.42372   42004503
              -11               3               1              HB  4.75509  4.81433  4.84548  4.76403   42004583
              -12               3               1              HB  3.65985  3.70973  4.34393  3.62826   42004603
              -13               3               1              HB  1.27113  1.58116  2.03444  1.85292   42004683
              -14               3               1              HB  3.31151  3.46909  3.61814  3.49900   42004703
              -15               3               1              HB  4.02490  4.19786  3.63794  3.73086   42004783
              -15               3               2              HB  4.03992  4.18378  4.21393  4.16016   42008783
              -16               3               1              HB  4.93223  4.76081  5.10057  4.93400   42004803
              -16               3               2              HB  3.00074  2.94619  3.27771  2.97168   42008803
               -1               4               1              HB  1.82292  1.96249  2.38673  2.34562   42004084
               -2               4               1              HB  3.99166  3.89741  4.25094  4.00768   42004104
               -3               4               1              HB  3.42403  3.72725  3.82352  3.76632   42004184
