#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  1.19763  0.81361  0.96602  1.32194   42004081
               -2               1               1              HB  3.70001  4.19877  4.26837  4.38470   42004101
               -3               1               1              HB  4.22260  4.64132  4.58881  4.44649   42004181
               -4               1               1              HB  2.69569  2.15181  2.31088  2.43442   42004201
               -5               1               1              HB  5.05908  4.90158  4.71903  4.76779   42004281
               -6               1               1              HB  2.08854  2.51899  2.61885  2.73322   42004301
               -7               1               1              HB  0.99929  1.04316  1.33078  1.03050   42004381
               -8               1               1              HB  3.14895  3.78448  3.67439  3.47778   42004401
               -9               1               1              HB  0.61810  1.65437  1.70594  1.10169   42004481
              -10               1               1              HB  3.72680  3.91817  4.06131  4.01624   42004501
              -11               1               1              HB  5.03790  4.79259  4.88936  4.73063   42004581
              -12               1               1              HB  2.10929  2.85389  2.87622  2.88222   42004601
              -13               1               1              HB  2.84735  2.13653  3.18492  2.53219   42004681
              -14               1               1              HB  3.78727  3.51536  4.00602  3.41712   42004701
              -15               1               1              HB  3.78123  3.50004  3.92789  3.39767   42004781
              -15               1               2              HB  2.68084  2.34155  2.72339  2.19131   42008781
              -16               1               1              HB  1.23596  2.64429  1.36770  2.15537   42004801
              -16               1               2              HB  3.51218  3.82159  4.13197  3.97058   42008801
               -1               2               1              HB  1.33237  1.90625  1.41460  1.43953   42004082
               -2               2               1              HB  1.43804  4.31133  1.43956  3.63791   42004102
               -3               2               1              HB  2.34483  3.04910  2.67949  3.27776   42004182
               -4               2               1              HB  3.68246  2.56032  4.02113  3.04883   42004202
               -5               2               1              HB  0.86498  1.96388  1.10693  2.72691   42004282
               -6               2               1              HB  3.80723  4.48945  4.00793  4.12024   42004302
               -7               2               1              HB  1.74935  1.49650  2.13508  1.73311   42004382
               -8               2               1              HB  2.06509  2.27005  2.72890  2.93929   42004402
               -9               2               1              HB  1.35065  1.44195  1.64757  1.29584   42004482
              -10               2               1              HB  2.83146  1.50763  2.88596  1.27323   42004502
              -11               2               1              HB  3.51625  2.71239  3.77748  2.72978   42004582
              -12               2               1              HB  4.31509  3.35348  3.91258  2.28199   42004602
              -13               2               1              HB  2.95860  3.42604  2.61408  2.88715   42004682
              -14               2               1              HB  3.16822  4.66889  3.10351  4.59099   42004702
              -15               2               1              HB  2.75009  3.86754  3.01799  3.88433   42004782
              -15               2               2              HB  3.18899  1.82989  3.22647  1.92193   42008782
              -16               2               1              HB  3.50401  1.26725  3.47363  1.45268   42004802
              -16               2               2              HB  3.85080  4.46343  3.14810  3.59174   42008802
               -1               3               1              HB  2.21093  2.74014  2.50717  2.27923   42004083
               -2               3               1              HB  3.77392  4.10088  4.06123  4.10550   42004103
               -3               3               1              HB  4.89999  5.02751  5.00302  5.04947   42004183
               -4               3               1              HB  3.29610  3.58972  3.72306  3.70914   42004203
               -5               3               1              HB  4.07321  3.89542  4.02667  3.91166   42004283
               -6               3               1              HB  3.40085  3.94452  3.81207  3.82658   42004303
               -7               3               1              HB  2.75752  2.83276  2.89918  2.78803   42004383
               -8               3               1              HB  2.93314  2.96636  2.72423  2.56910   42004403
               -9               3               1              HB  4.13709  3.95351  4.41790  4.00824   42004483
              -10               3               1              HB  3.39047  3.49872  3.46247  3.42331   42004503
