#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.49812 -0.21731  0.44069  0.02377 -0.17586  0.42344 -0.20635 -0.02188 -0.19316  0.48869   42004081
               -2               1               1              HB  0.62502 -0.27799  0.60965 -0.09302 -0.20115  0.65725 -0.25243 -0.07663 -0.21432  0.69339   42004101
               -3               1               1              HB  0.62807 -0.25524  0.63793 -0.14230 -0.23379  0.64228 -0.21422  0.05571 -0.24118  0.63856   42004181
               -4               1               1              HB  0.79112 -0.28727  0.69540  0.00398 -0.22979  0.72164 -0.23974  0.01326 -0.30000  0.71774   42004201
               -5               1               1              HB  0.63390 -0.21864  0.61921  0.01665 -0.24522  0.59085 -0.18229 -0.08153 -0.18485  0.57967   42004281
               -6               1               1              HB  0.67158 -0.12746  0.66386  0.05697 -0.18188  0.65986 -0.13765 -0.01519 -0.26620  0.61487   42004301
               -7               1               1              HB  0.58061  0.13668  0.57301  0.47776 -0.17717  0.52555  0.17078 -0.04718 -0.15922  0.50948   42004381
               -8               1               1              HB  0.72555 -0.26454  0.71712 -0.00927 -0.25572  0.66181 -0.31482  0.07182 -0.13025  0.60930   42004401
               -9               1               1              HB  0.51699  0.53872  0.61292  0.85701 -0.17605  0.61747  0.27825 -0.01571 -0.16669  0.55777   42004481
              -10               1               1              HB  0.73138 -0.24493  0.67606  0.03897 -0.28361  0.66329 -0.22695  0.00618 -0.24416  0.65289   42004501
              -11               1               1              HB  0.71330 -0.14323  0.67903  0.02724 -0.17414  0.63976 -0.25047  0.06368 -0.25956  0.64732   42004581
              -12               1               1              HB  0.71509 -0.20497  0.64810  0.02913 -0.24857  0.67826 -0.17984  0.04210 -0.22327  0.61101   42004601
              -13               1               1              HB  0.78462 -0.25294  0.72565 -0.03842 -0.20259  0.68802 -0.24909  0.13149 -0.23536  0.72714   42004681
              -14               1               1              HB  0.63035 -0.21704  0.54881 -0.09560 -0.26926  0.55896 -0.16446  0.05991 -0.26202  0.58367   42004701
              -15               1               1              HB  0.64490 -0.28589  0.67941 -0.09327 -0.24182  0.63249 -0.21583 -0.04872 -0.20432  0.62882   42004781
              -15               1               2              HB  0.78522 -0.27548  0.77730  0.05930 -0.20606  0.71791 -0.18239  0.23813 -0.18902  0.74468   42008781
              -16               1               1              HB  0.56641  0.04217  0.61717  0.20067 -0.02426  0.55050 -0.01275 -0.04377  0.00631  0.52881   42004801
              -16               1               2              HB  0.72549 -0.19511  0.72400  0.00020 -0.26430  0.70617 -0.26656  0.07472 -0.15741  0.64917   42008801
               -1               2               1              HB  0.75239 -0.02987  0.62990  0.34860  0.01434  0.68244 -0.08609  0.01246 -0.06676  0.58626   42004082
               -2               2               1              HB  0.91792  0.70773  1.10395  0.24379 -0.48949  0.84545  0.49108  0.05316 -0.31496  0.93341   42004102
               -3               2               1              HB  0.65124 -0.24203  0.67817 -0.03001 -0.31334  0.69783 -0.26773 -0.03710 -0.23479  0.62881   42004182
               -4               2               1              HB  0.77142 -0.26748  0.71242  0.05612 -0.26627  0.76848 -0.39204 -0.00332 -0.23993  0.75993   42004202
               -5               2               1              HB  0.61582 -0.21041  0.78682 -0.08832 -0.16513  0.56547 -0.22816  0.14565 -0.28612  0.76124   42004282
               -6               2               1              HB  0.57251 -0.13268  0.57083 -0.16047 -0.31099  0.56488 -0.21548 -0.12425 -0.18210  0.58189   42004302
               -7               2               1              HB  0.66986 -0.22712  0.62639  0.02459 -0.25706  0.63785 -0.23471 -0.03626 -0.24065  0.61083   42004382
               -8               2               1              HB  0.65922 -0.25219  0.67031  0.08696 -0.21587  0.61987 -0.24899 -0.00193 -0.23161  0.63023   42004402
               -9               2               1              HB  0.76478  0.02002  0.70619  0.39848 -0.25367  0.67928  0.33850  0.22385  0.05287  0.69733   42004482
              -10               2               1              HB  0.71995 -0.16440  0.60515 -0.05332 -0.23702  0.72118 -0.19269  0.01223 -0.15461  0.49236   42004502
              -11               2               1              HB  0.74565 -0.31541  0.78128  0.06393 -0.36505  0.73982 -0.26424  0.08640 -0.22432  0.80923   42004582
              -12               2               1              HB  0.59369 -0.25253  0.59252  0.03799 -0.13944  0.56869 -0.17598 -0.06026 -0.18425  0.59420   42004602
              -13               2               1              HB  0.89651 -0.38569  0.84695  0.00786 -0.24972  0.78603 -0.36472 -0.07687 -0.27590  0.84268   42004682
              -14               2               1              HB  0.63421 -0.14734  0.55816 -0.07799 -0.24114  0.60468 -0.21724 -0.02947 -0.14033  0.57675   42004702
              -15               2               1              HB  0.77283 -0.23081  0.80909  0.06872 -0.41504  0.82229 -0.29652  0.09309 -0.29893  0.79608   42004782
              -15               2               2              HB  1.14819 -0.35810  0.78028  0.08049 -0.34073  1.04765 -0.10375  0.15232  0.03019  0.93632   42008782
              -16               2               1              HB  1.15123  0.36970  1.00937  0.10108  0.42171  1.10648 -0.38265  0.25081 -0.33462  0.75716   42004802
              -16               2               2              HB  1.48960 -0.63354  1.40019  0.07548 -0.63454  1.43025 -0.67863  0.21241 -0.57484  1.38900   42008802
               -1               3               1              HB  0.60262 -0.19765  0.52279 -0.03542 -0.14459  0.56555 -0.13769  0.01214 -0.20264  0.53496   42004083
               -2               3               1              HB  0.54565 -0.20305  0.53310 -0.09628 -0.15974  0.56651 -0.16006  0.05103 -0.23171  0.52250   42004103
               -3               3               1              HB  0.51223 -0.18361  0.48553  0.08743 -0.14055  0.44913 -0.21705 -0.19159 -0.17385  0.51545   42004183
               -4               3               1              HB  0.59503 -0.22138  0.54152 -0.02847 -0.21241  0.50776 -0.16974 -0.04517 -0.19636  0.56693   42004203
               -5               3               1              HB  0.51805 -0.10686  0.51974  0.00176 -0.18549  0.50570 -0.22961 -0.02383 -0.16060  0.49411   42004283
               -6               3               1              HB  0.55603 -0.09814  0.58742 -0.06808 -0.28992  0.55305 -0.14371 -0.06076 -0.17895  0.52221   42004303
               -7               3               1              HB  0.55217 -0.16928  0.53614 -0.02375 -0.18863  0.47388 -0.17066 -0.01176 -0.13410  0.49130   42004383
               -8               3               1              HB  0.61707 -0.18066  0.51673  0.00101 -0.15619  0.49746 -0.14654 -0.10213 -0.21088  0.53297   42004403
               -9               3               1              HB  0.53371 -0.15319  0.51313  0.04797 -0.10687  0.48391 -0.18281  0.03421 -0.17926  0.51740   42004483
              -10               3               1              HB  0.54468 -0.14779  0.58364 -0.00643 -0.14439  0.55548 -0.16849  0.00157 -0.15307  0.56302   42004503
              -11               3               1              HB  0.58355 -0.18524  0.53896 -0.00705 -0.12687  0.49409 -0.15956  0.05485 -0.10776  0.50147   42004583
              -12               3               1              HB  0.60479 -0.17495  0.63494 -0.08484 -0.19984  0.59789 -0.24867  0.06331 -0.20162  0.56725   42004603
              -13               3               1              HB  0.64858  0.20649  0.60388  0.34296  0.01240  0.61762  0.13240  0.24195 -0.09038  0.60427   42004683
              -14               3               1              HB  0.56088 -0.16360  0.58442  0.00516 -0.16435  0.57020 -0.17159  0.00189 -0.24083  0.53683   42004703
              -15               3               1              HB  0.67737 -0.32472  0.67352 -0.08747 -0.29408  0.68289 -0.26971 -0.14291 -0.30584  0.65593   42004783
              -15               3               2              HB  0.60282 -0.28549  0.60745 -0.12402 -0.21790  0.58095 -0.16769 -0.11584 -0.24423  0.61120   42008783
