# eta phi dep det cap0 cap1 cap2 cap3 DetId
-1 1 1 HB 4.4378 3.9294 4.3548 4.2456 42004081
-1 2 1 HB 4.8004 4.68 4.856 4.5 42004082
-1 3 1 HB 3.9034 4.419 4.2906 4.4252 42004083
-1 4 1 HB 4.0418 3.5654 4.113 3.693 42004084
-1 5 1 HB 3.7916 3.8834 4.3514 4.2302 42004085
-1 6 1 HB 4.1314 4.1934 3.6294 4.4094 42004086
-1 7 1 HB 3.53311 3.6522 3.9608 4.0498 42004087
-1 8 1 HB 3.8998 3.744 3.964 3.86817 42004088
-1 9 1 HB 4.098 4.178 4.3466 4.5634 42004089
-1 10 1 HB 4.786 4.6654 5.1872 5.248 4200408A
-1 11 1 HB 4.321 4.4868 4.7938 4.598 4200408B
-1 12 1 HB 3.2766 3.795 3.7024 4.097 4200408C
-1 13 1 HB 3.4368 3.7052 4.5478 4.6718 4200408D
-1 14 1 HB 3.6072 3.722 4.1068 4.1074 4200408E
-1 15 1 HB 4.168 5.0128 4.5398 4.444 4200408F
-1 16 1 HB 3.623 3.597 3.4524 3.5456 42004090
-1 17 1 HB 3.02781 3.1426 3.2344 3.2742 42004091
-1 18 1 HB 4.1042 3.9056 4.1926 3.6584 42004092
-1 19 1 HB 4.3254 3.7726 4.454 3.828 42004093
-1 20 1 HB 3.4862 3.9902 3.7836 4.1668 42004094
-1 21 1 HB 4.5264 4.0486 4.2792 4.1916 42004095
-1 22 1 HB 3.7502 3.546 3.7162 3.88 42004096
-1 23 1 HB 4.5894 4.6978 4.856 4.8946 42004097
-1 24 1 HB 4.3512 4.8718 4.779 4.6782 42004098
-1 25 1 HB 4.2854 4.4772 4.5188 4.3088 42004099
-1 26 1 HB 4.03081 3.3856 4.502 3.946 4200409A
-1 27 1 HB 4.2164 4.6334 4.466 4.8482 4200409B
-1 28 1 HB 4.3768 4.0564 4.5596 4.6108 4200409C
-1 29 1 HB 3.8144 4.0034 4.3602 4.1568 4200409D
-1 30 1 HB 3.9718 3.9832 4.1516 3.7044 4200409E
-1 31 1 HB 3.4884 3.2982 3.6038 3.0368 4200409F
-1 32 1 HB 4.2678 4.1238 4.2658 3.741 420040A0
-1 33 1 HB 4.2066 3.874 4.7716 4.194 420040A1
-1 34 1 HB 3.2878 2.90778 3.7192 3.4466 420040A2
-1 35 1 HB 3.2296 3.5676 3.4964 3.567 420040A3
-1 36 1 HB 4.4666 3.807 4.5552 4.011 420040A4
-1 37 1 HB 3.0618 3.5476 3.8878 3.8184 420040A5
-1 38 1 HB 4.1198 3.9738 4.1718 3.9534 420040A6
-1 39 1 HB 3.9242 3.9654 3.762 4.3376 420040A7
-1 40 1 HB 4.5856 4.5464 4.78 4.6214 420040A8
-1 41 1 HB 4.6344 4.2172 4.3834 4.2974 420040A9
-1 42 1 HB 4.9146 4.4896 5.3092 5.4316 420040AA
-1 43 1 HB 3.882 4.32 3.9252 4.2076 420040AB
-1 44 1 HB 4.8552 4.5044 4.9242 4.282 420040AC
-1 45 1 HB 4.7208 4.7928 4.884 4.886 420040AD
-1 46 1 HB 4.6614 4.5986 5.105 4.851 420040AE
-1 47 1 HB 5.1906 5.0054 5.4488 5.424 420040AF
-1 48 1 HB 5.239 4.5964 5.3872 4.5694 420040B0
-1 49 1 HB 4.2582 4.0216 4.4614 4.2628 420040B1
-1 50 1 HB 3.4642 3.0066 3.4871 3.0884 420040B2
-1 51 1 HB 3.9096 4.1604 4.411 4.5656 420040B3
-1 52 1 HB 5.0642 5.014 4.9 4.866 420040B4
-1 53 1 HB 4.2284 4.065 3.9878 4.3476 420040B5
-1 54 1 HB 4.7488 4.8992 4.9178 4.7734 420040B6
-1 55 1 HB 4.8966 5.0406 5.0698 4.8864 420040B7
-1 56 1 HB 4.0466 3.8674 4.1582 3.8862 420040B8
-1 57 1 HB 3.6894 3.6062 3.5874 3.7378 420040B9
-1 58 1 HB 3.815 3.8696 4.1802 4.1658 420040BA
-1 59 1 HB 4.7994 4.9882 5.0364 4.9286 420040BB
-1 60 1 HB 4.7726 4.1588 5.0604 5.4072 420040BC
-1 61 1 HB 3.6916 3.7344 4.076 3.6688 420040BD
-1 62 1 HB 4.5194 4.5658 4.5592 4.2464 420040BE
-1 63 1 HB 4.8735 4.6705 4.9795 4.86687 420040BF
-1 64 1 HB 3.9335 3.575 4.343 3.6275 420040C0
-1 65 1 HB 4.7825 4.2185 4.953 4.847 420040C1
-1 66 1 HB 4.022 4.5855 4.4935 5.129 420040C2
-1 67 1 HB 3.9842 4.3036 4.783 4.286 420040C3
-1 68 1 HB 3.018 3.9164 3.4404 3.7796 420040C4
-1 69 1 HB 3.1032 2.94839 3.5546 2.57071 420040C5
-1 70 1 HB 4.1462 4.0908 4.4654 4.2932 420040C6
-1 71 1 HB 5.2098 5.5138 5.5284 5.6368 420040C7
-1 72 1 HB 4.1414 4.597 4.4582 4.0786 420040C8
-2 1 1 HB 4.76215 4.5578 5.1568 4.5064 42004101
-2 2 1 HB 5.1506 4.4422 4.589 4.616 42004102
-2 3 1 HB 4.3116 4.3078 4.6868 4.2324 42004103
-2 4 1 HB 3.5108 4.0074 3.8722 4.1884 42004104
-2 5 1 HB 4.3762 3.9796 4.1394 3.7712 42004105
-2 6 1 HB 3.7506 3.684 4.0504 4.2608 42004106
-2 7 1 HB 4.2614 4.1692 3.877 4.441 42004107
-2 8 1 HB 4.7344 4.8888 5.1788 5.2268 42004108
-2 9 1 HB 3.9832 4.2192 4.147 4.4624 42004109
-2 10 1 HB 4.4124 4.8454 4.3106 3.7584 4200410A
-2 11 1 HB 3.9544 4.2524 3.9858 4.0726 4200410B
-2 12 1 HB 3.9974 4.4664 4.5084 4.449 4200410C
-2 13 1 HB 4.2566 4.1834 4.3172 4.351 4200410D
-2 14 1 HB 5.286 5.1444 4.908 5.318 4200410E
-2 15 1 HB 6.12282 5.3842 6.4168 5.9544 4200410F
-2 16 1 HB 5.2674 5.3914 5.1746 5.3278 42004110
-2 17 1 HB 4.983 5 5.1768 4.966 42004111
-2 18 1 HB 4.8002 4.21 4.9484 4.3468 42004112
-2 19 1 HB 4.4844 4.4134 4.8184 4.5204 42004113
-2 20 1 HB 5.78 5.7466 6.1582 5.8522 42004114
-2 21 1 HB 4.479 4.8196 4.5628 4.5682 42004115
-2 22 1 HB 3.8444 3.7066 4.0564 3.7572 42004116
-2 23 1 HB 4.0328 4.023 4.5442 4.29 42004117
-2 24 1 HB 4.3478 3.9868 4.5552 3.726 42004118
-2 25 1 HB 4.5568 3.9644 4.717 4.2758 42004119
-2 26 1 HB 4.7012 4.6372 4.9816 4.4016 4200411A
-2 27 1 HB 5.7284 5.94 6.205 5.9904 4200411B
-2 28 1 HB 5.6642 5.4022 5.724 5.689 4200411C
-2 29 1 HB 4.7378 4.6912 4.957 4.2124 4200411D
-2 30 1 HB 4.6898 3.8514 4.8716 4.55 4200411E
-2 31 1 HB 4.7642 4.6334 4.8278 4.7458 4200411F
-2 32 1 HB 4.1194 3.707 4.276 3.6248 42004120
-2 33 1 HB 3.15943 3.629 3.7164 3.7414 42004121
-2 34 1 HB 3.4684 2.96819 3.9736 3.645 42004122
-2 35 1 HB 5.148 4.6786 5.0518 4.7214 42004123
-2 36 1 HB 4.6136 4.4298 5.066 4.7008 42004124
-2 37 1 HB 3.5866 4.2414 4.3926 4.6906 42004125
-2 38 1 HB 4.8716 4.6486 4.885 4.645 42004126
-2 39 1 HB 4.228 4.5434 4.6958 4.2818 42004127
-2 40 1 HB 4.3006 4.2446 4.6196 4.8798 42004128
-2 41 1 HB 4.2286 4.4008 3.9862 3.999 42004129
-2 42 1 HB 4.345 4.6302 5.183 5.3796 4200412A
-2 43 1 HB 4.3032 4.2554 4.1554 4.3928 4200412B
-2 44 1 HB 4.1496 4.2206 4.5708 4.2284 4200412C
-2 45 1 HB 4.7148 4.885 4.8964 4.9128 4200412D
-2 46 1 HB 4.337 4.6752 4.5092 4.5676 4200412E
-2 47 1 HB 4.5394 4.564 4.527 4.3216 4200412F
-2 48 1 HB 5.366 4.8854 5.3674 5.1466 42004130
-2 49 1 HB 3.6574 4.226 4 4.158 42004131
-2 50 1 HB 4.65 4.2764 4.6278 4.4798 42004132
-2 51 1 HB 4.3812 4.4678 4.3164 4.8888 42004133
-2 52 1 HB 4.8684 4.3162 4.4734 4.8254 42004134
-2 53 1 HB 4.1178 4.4268 4.0634 4.5068 42004135
-2 54 1 HB 4.9998 4.7034 5.106 5.1842 42004136
-2 55 1 HB 4.635 4.594 5.0524 4.8642 42004137
-2 56 1 HB 4.4044 4.112 5.008 4.4372 42004138
-2 57 1 HB 4.4628 4.3908 4.7724 4.4816 42004139
-2 58 1 HB 4.4412 4.5582 4.6108 4.5996 4200413A
-2 59 1 HB 4.1716 3.3748 4.6016 4.0118 4200413B
-2 60 1 HB 4.8948 4.6514 4.7738 4.7084 4200413C
-2 61 1 HB 3.734 3.4408 3.9368 3.6354 4200413D
-2 62 1 HB 4.3812 4.0306 4.5652 4.336 4200413E
-2 63 1 HB 4.745 4.7055 4.0905 4.5645 4200413F
-2 64 1 HB 4.6495 4.5965 4.587 4.546 42004140
-2 65 1 HB 4.5505 4.732 4.9995 4.792 42004141
-2 66 1 HB 3.86179 4.5005 3.82974 5.51658 42004142
-2 67 1 HB 3.5838 3.0682 3.6754 3.0446 42004143
-2 68 1 HB 4.1528 4.48 4.456 4.298 42004144
-2 69 1 HB 4.2624 4.6832 4.636 4.787 42004145
-2 70 1 HB 4.421 3.9786 4.3958 4.2706 42004146
-2 71 1 HB 4.4218 4.101 4.3974 5.0578 42004147
-2 72 1 HB 3.8338 4.0802 4.0048 3.8288 42004148
-3 1 1 HB 4.3732 5.1714 4.9204 4.6998 42004181
-3 2 1 HB 5.1022 4.239 4.907 4.643 42004182
-3 3 1 HB 4.137 4.4702 4.3052 4.471 42004183
-3 4 1 HB 4.3272 4.175 4.3972 4.111 42004184
-3 5 1 HB 4.1078 4.113 4.4306 4.2292 42004185
-3 6 1 HB 4.3674 4.064 4.62112 5.0672 42004186
-3 7 1 HB 4.4614 4.6602 4.6272 4.7716 42004187
-3 8 1 HB 5.2854 5.7012 5.4016 5.5896 42004188
-3 9 1 HB 3.7392 4.0674 4.1342 4.1384 42004189
-3 10 1 HB 3.734 3.9614 3.7036 3.9068 4200418A
-3 11 1 HB 3.652 3.8816 3.9832 3.933 4200418B
-3 12 1 HB 4.8384 5.0938 4.8974 5.0182 4200418C
-3 13 1 HB 4.269 3.8842 4.404 4.2698 4200418D
-3 14 1 HB 4.2036 4.5648 4.3836 4.536 4200418E
-3 15 1 HB 4.936 4.4366 4.8374 4.1918 4200418F
