#U ADC

#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.64600  2.65900  3.46733  2.78233   42004081
               -2               1               1              HB  3.03800  2.75100  3.45500  2.84800   42004101
               -3               1               1              HB  2.70550  3.45150  3.22167  3.06400   42004181
               -4               1               1              HB  2.79750  2.40850  2.86867  2.73333   42004201
               -5               1               1              HB  3.40250  2.77000  2.99067  3.02100   42004281
               -6               1               1              HB  3.08350  2.81300  3.18067  3.29267   42004301
               -7               1               1              HB  3.16300  3.12200  3.14567  3.06267   42004381
               -8               1               1              HB  2.63900  2.66800  2.94633  2.87500   42004401
               -9               1               1              HB  2.74750  3.14200  3.18900  2.77800   42004481
              -10               1               1              HB  2.48900  3.31700  2.65767  3.29533   42004501
              -11               1               1              HB  3.13150  2.93200  3.05467  3.05933   42004581
              -12               1               1              HB  2.26850  2.78750  2.85600  2.99067   42004601
              -13               1               1              HB  3.31050  2.84450  3.24467  3.22933   42004681
              -14               1               1              HB  2.98400  3.27500  3.27667  3.18700   42004701
              -15               1               1              HB  3.07600  2.82850  3.22533  3.10200   42004781
              -15               1               2              HB  3.00000  3.05250  2.77767  2.81167   42008781
              -16               1               1              HB  2.97600  3.55900  2.72067  3.20233   42004801
              -16               1               2              HB  3.22900  3.19250  3.42133  3.11767   42008801
               -1               2               1              HB  3.49250  2.57650  3.26333  2.51200   42004082
               -2               2               1              HB  3.91750  2.32800  3.75300  1.99100   42004102
               -3               2               1              HB  3.55650  2.51500  3.15867  3.08867   42004182
               -4               2               1              HB  2.95250  2.41950  2.93367  2.66267   42004202
               -5               2               1              HB  3.17350  2.97250  3.11567  3.31867   42004282
               -6               2               1              HB  2.63950  3.01300  2.88933  3.27267   42004302
               -7               2               1              HB  3.10900  2.60250  2.91267  2.51367   42004382
               -8               2               1              HB  2.51350  3.08400  3.08867  4.18967   42004402
               -9               2               1              HB  2.71600  2.99550  3.01900  3.18900   42004482
              -10               2               1              HB  2.94450  3.09650  3.11400  3.02667   42004502
              -11               2               1              HB  2.65900  2.72250  3.06500  2.97600   42004582
              -12               2               1              HB  2.72450  2.59450  2.85833  2.69567   42004602
              -13               2               1              HB  3.54700  2.91850  3.22333  2.73467   42004682
              -14               2               1              HB  3.06650  3.42000  2.50933  3.13767   42004702
              -15               2               1              HB  3.16900  2.89700  3.21433  2.83800   42004782
              -15               2               2              HB  2.93850  3.26850  3.32800  2.88400   42008782
              -16               2               1              HB  3.20550  2.98200  3.19133  2.91033   42004802
              -16               2               2              HB  3.06850  2.34350  3.29267  2.44667   42008802
               -1               3               1              HB  3.30550  2.94150  3.39533  3.10567   42004083
               -2               3               1              HB  2.73050  2.36850  2.87933  2.79933   42004103
               -3               3               1              HB  3.32950  3.15950  3.41167  3.08367   42004183
               -4               3               1              HB  3.11200  2.93800  3.21767  3.03767   42004203
               -5               3               1              HB  2.71600  2.62150  2.79233  2.83600   42004283
               -6               3               1              HB  3.24750  3.12200  3.23667  3.17067   42004303
               -7               3               1              HB  2.58950  3.17800  3.04200  3.01233   42004383
               -8               3               1              HB  2.58100  2.89250  2.48233  2.73267   42004403
               -9               3               1              HB  2.80000  2.70600  2.98200  3.08800   42004483
              -10               3               1              HB  2.84200  2.84100  2.19033  3.09600   42004503
              -11               3               1              HB  2.79950  2.72400  2.89000  2.72500   42004583
              -12               3               1              HB  2.82850  2.77550  2.89967  2.54400   42004603
              -13               3               1              HB  2.31700  2.78050  3.02333  2.80800   42004683
              -14               3               1              HB  2.80850  2.95100  3.08867  3.28567   42004703
              -15               3               1              HB  3.11850  3.16350  3.13833  2.72533   42004783
              -15               3               2              HB  3.11400  2.76950  3.09133  2.98433   42008783
              -16               3               1              HB  3.34100  3.16450  3.48200  3.05300   42004803
              -16               3               2              HB  2.65800  3.09850  2.89600  3.08233   42008803
               -1               4               1              HB  3.12450  2.12900  3.53567  1.95367   42004084
               -2               4               1              HB  2.27700  2.73950  2.58900  3.18000   42004104
               -3               4               1              HB  3.32100  2.94300  3.43133  2.76667   42004184
               -4               4               1              HB  2.97350  3.30500  3.31000  3.28933   42004204
