#U fC

#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  4.28061  3.91554  4.20599  3.91649   42004081
               -2               1               1              HB  3.92222  3.59167  4.21740  3.64201   42004101
               -3               1               1              HB  3.11376  4.61265  3.83700  3.90646   42004181
               -4               1               1              HB  4.29831  3.94155  4.38526  4.54910   42004201
               -5               1               1              HB  4.13015  3.24389  3.30876  3.67125   42004281
               -6               1               1              HB  3.76090  3.37741  3.77572  3.99239   42004301
               -7               1               1              HB  3.29289  2.85649  2.76678  2.70306   42004381
               -8               1               1              HB  3.23060  2.43228  3.29161  2.92944   42004401
               -9               1               1              HB  4.86922  4.62809  4.54234  4.56311   42004481
              -10               1               1              HB  3.09210  4.68946  3.46116  4.36610   42004501
              -11               1               1              HB  5.97468  5.43629  5.29769  5.58112   42004581
              -12               1               1              HB  3.75189  4.10371  4.40827  4.26141   42004601
              -13               1               1              HB  3.68944  3.70285  2.88805  3.91824   42004681
              -14               1               1              HB  2.99281  3.70478  3.07774  3.68734   42004701
              -15               1               1              HB  3.32664  2.54961  3.34593  3.01725   42004781
              -15               1               2              HB  3.51881  3.98087  2.66871  3.44740   42008781
              -16               1               1              HB  3.49354  3.46515  3.10127  2.78378   42004801
              -16               1               2              HB  3.31925  3.58699  3.46792  2.94823   42008801
               -1               2               1              HB  4.59632  4.50086  4.49331  4.57678   42004082
               -2               2               1              HB  4.58410  3.82347  3.40452  3.90939   42004102
               -3               2               1              HB  4.79548  3.17895  3.98905  4.01042   42004182
               -4               2               1              HB  4.31510  4.10895  4.08569  4.46534   42004202
               -5               2               1              HB  3.20022  2.58681  3.08249  2.66496   42004282
               -6               2               1              HB  5.13187  5.34895  5.32833  5.77392   42004302
               -7               2               1              HB  5.50323  5.27084  5.19254  4.76488   42004382
               -8               2               1              HB  2.84591  3.06909  3.30005  4.30280   42004402
               -9               2               1              HB  3.20190  3.46889  3.23003  3.90687   42004482
              -10               2               1              HB  2.13100  2.38586  2.14999  2.48286   42004502
              -11               2               1              HB  5.28923  5.72521  6.01750  6.04673   42004582
              -12               2               1              HB  3.73485  4.29248  3.93441  4.98148   42004602
              -13               2               1              HB  5.20363  4.58851  4.17625  4.64877   42004682
              -14               2               1              HB  4.46661  4.61429  3.11920  4.02775   42004702
              -15               2               1              HB  3.81767  3.11716  3.05363  3.39416   42004782
              -15               2               2              HB  3.48000  4.35446  3.96840  3.33108   42008782
              -16               2               1              HB  3.77157  4.13926  3.63601  3.97135   42004802
              -16               2               2              HB  4.08411  2.63265  3.98892  4.05895   42008802
               -1               3               1              HB  4.01182  4.24563  4.02557  4.56243   42004083
               -2               3               1              HB  3.41197  3.30313  3.71241  3.10477   42004103
