#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
                1               1               1              HB  4.62443  4.06754  4.80031  3.73202   42006081
                2               1               1              HB  4.55067  4.72254  4.72851  4.67127   42006101
                3               1               1              HB  5.03823  5.15838  5.59015  4.89768   42006181
                4               1               1              HB  4.83934  5.30166  4.54796  4.41336   42006201
                5               1               1              HB  4.68281  5.09352  4.95723  4.66386   42006281
                6               1               1              HB  4.46703  4.56968  4.76579  4.58293   42006301
                7               1               1              HB  4.36644  4.54356  4.77227  4.55820   42006381
                8               1               1              HB  4.01457  4.25863  4.42518  4.28170   42006401
                9               1               1              HB  3.99879  4.46258  4.18424  4.92534   42006481
               10               1               1              HB  5.01398  4.98046  5.46092  5.00139   42006501
               11               1               1              HB  4.76231  4.94769  5.04625  4.99704   42006581
               12               1               1              HB  3.90989  4.03368  4.40206  4.24423   42006601
               13               1               1              HB  3.39153  3.63786  4.13103  3.79005   42006681
               14               1               1              HB  5.24663  5.49656  5.74828  4.70016   42006701
               15               1               1              HB  6.20369  5.92884  5.99768  5.07040   42006781
               15               1               2              HB  4.63830  4.83849  5.14233  4.53703   4200A781
               16               1               1              HB  4.65836  4.38500  5.31961  4.21755   42006801
               16               1               2              HB  4.89263  5.33015  5.31860  4.88355   4200A801
                1               2               1              HB  5.13505  5.68640  5.16732  5.51956   42006082
                2               2               1              HB  5.48510  5.07527  5.87775  5.01330   42006102
                3               2               1              HB  4.78484  4.97256  4.94969  4.80893   42006182
                4               2               1              HB  3.11833  4.44485  3.82289  4.31234   42006202
                5               2               1              HB  5.14698  3.77384  4.81166  4.21048   42006282
                6               2               1              HB  4.43029  4.77274  4.58755  4.71151   42006302
                7               2               1              HB  4.18277  4.10561  4.30227  4.16852   42006382
                8               2               1              HB  6.75461  5.85000  6.56280  6.06351   42006402
                9               2               1              HB  3.02769  3.88786  3.98285  3.52110   42006482
               10               2               1              HB  4.84651  5.14916  5.20853  5.23475   42006502
               11               2               1              HB  4.62908  4.61192  4.83809  4.66807   42006582
               12               2               1              HB  3.08337  3.56779  3.82424  3.15746   42006602
               13               2               1              HB  5.36093  5.29534  5.77393  4.98045   42006682
               14               2               1              HB  5.04290  5.12660  5.35809  4.89788   42006702
               15               2               1              HB  5.84464  4.89578  5.96415  5.27792   42006782
               15               2               2              HB  4.54459  4.44818  5.10793  4.42901   4200A782
               16               2               1              HB  3.83668  4.45652  4.55565  4.32563   42006802
               16               2               2              HB  4.96548  4.91919  5.30588  4.99637   4200A802
                1               3               1              HB  5.17049  5.62550  5.39027  5.50071   42006083
                2               3               1              HB  4.40509  4.33688  4.81231  4.45238   42006103
                3               3               1              HB  5.27366  5.19620  5.61204  5.42354   42006183
                4               3               1              HB  3.09728  4.03645  3.53226  3.30962   42006203
                5               3               1              HB  5.13276  4.80608  5.77036  4.88231   42006283
                6               3               1              HB  3.79839  3.42811  3.72219  4.78608   42006303
                7               3               1              HB  4.05633  4.05411  4.41477  3.96863   42006383
                8               3               1              HB  4.09769  4.69294  4.27653  4.96859   42006403
                9               3               1              HB  3.06619  2.94360  3.18171  2.89366   42006483
               10               3               1              HB  5.10552  5.38461  4.70743  5.34519   42006503
               11               3               1              HB  4.89889  4.83347  5.08639  4.72858   42006583
               12               3               1              HB  4.92580  5.05072  4.95186  4.55359   42006603
               13               3               1              HB  2.76613  4.03212  2.52513  2.94699   42006683
               14               3               1              HB  4.22117  4.50125  4.82399  4.30727   42006703
               15               3               1              HB  5.29140  5.35980  5.43742  5.36172   42006783
               15               3               2              HB  4.60484  4.63403  4.93742  4.58989   4200A783
               16               3               1              HB  4.32905  4.13409  4.67211  4.48184   42006803
               16               3               2              HB  4.82734  5.08812  5.08582  5.07322   4200A803
                1               4               1              HB  5.19034  4.62563  5.12754  4.48846   42006084
                2               4               1              HB  5.19091  4.97276  5.56014  4.60061   42006104
                3               4               1              HB  4.78935  4.98835  5.11990  4.84114   42006184
                4               4               1              HB  3.38022  4.24684  4.20635  3.74457   42006204
                5               4               1              HB  4.67568  5.14718  4.73445  4.46702   42006284
                6               4               1              HB  3.59910  3.52506  3.94627  3.49137   42006304
                7               4               1              HB  4.58177  4.63983  4.79438  4.62875   42006384
                8               4               1              HB  5.46472  5.13889  5.92531  5.15509   42006404
                9               4               1              HB  3.33290  3.48546  4.07817  3.87247   42006484
               10               4               1              HB  4.78062  4.70452  5.29001  4.47108   42006504
               11               4               1              HB  4.87626  4.68224  5.16239  4.57876   42006584
               12               4               1              HB  4.40761  3.93414  4.02199  3.82606   42006604
               13               4               1              HB  5.08266  4.97964  4.95707  4.43427   42006684
               14               4               1              HB  5.19852  5.29257  5.34414  5.24333   42006704
               15               4               1              HB  5.05277  4.47298  4.68984  4.14444   42006784
               15               4               2              HB  3.86546  3.81538  3.91297  3.82398   4200A784
               16               4               1              HB  3.65338  4.13209  4.80486  4.17639   42006804
               16               4               2              HB  4.88996  5.61694  5.48142  4.81710   4200A804
                1               5               1              HB  4.56246  4.79194  4.74500  4.21196   42006085
                2               5               1              HB  5.35759  5.25748  5.72443  5.00508   42006105
                3               5               1              HB  5.64860  5.64117  5.92563  5.39512   42006185
                4               5               1              HB  5.42113  5.36601  5.71920  5.06517   42006205
                5               5               1              HB  5.36512  5.52061  5.99284  5.51074   42006285
                6               5               1              HB  4.14124  4.24226  4.62313  4.11033   42006305
                7               5               1              HB  4.37665  4.97340  4.68703  5.04054   42006385
                8               5               1              HB  4.67506  4.43450  5.32556  4.47451   42006405
                9               5               1              HB  3.77901  3.41106  3.70009  3.73183   42006485
               10               5               1              HB  4.89444  5.03332  5.06823  5.00845   42006505
               11               5               1              HB  4.94615  5.10861  5.21988  5.05893   42006585
               12               5               1              HB  3.12227  3.73929  3.21443  3.45461   42006605
               13               5               1              HB  4.91061  5.56265  5.93123  5.51339   42006685
               14               5               1              HB  5.16303  4.91768  5.38905  4.65718   42006705
               15               5               1              HB  4.64275  3.38306  4.84615  3.36569   42006785
               15               5               2              HB  4.28813  4.08497  4.73029  4.08618   4200A785
               16               5               1              HB  4.26130  4.27226  3.99646  3.85623   42006805
               16               5               2              HB  5.15108  4.95951  5.35258  5.01402   4200A805
                1               6               1              HB  4.48745  4.45707  4.78085  4.70471   42006086
                2               6               1              HB  5.11976  4.76051  4.58867  4.89427   42006106
                3               6               1              HB  5.03144  5.45887  5.49269  5.25644   42006186
                4               6               1              HB  4.81066  5.66032  5.38223  5.18806   42006206
                5               6               1              HB  5.65596  5.56571  5.62970  5.26839   42006286
                6               6               1              HB  4.35628  4.49788  4.56064  4.38237   42006306
                7               6               1              HB  4.75686  4.80935  5.08953  4.78767   42006386
                8               6               1              HB  3.97928  4.26987  4.15539  4.14971   42006406
                9               6               1              HB  3.77144  3.92500  4.23176  4.11806   42006486
               10               6               1              HB  5.13398  5.29372  5.45697  5.19605   42006506
               11               6               1              HB  4.59050  4.66966  4.97757  4.68768   42006586
               12               6               1              HB  4.80262  4.05706  4.36301  4.20936   42006606
               13               6               1              HB  5.35575  5.47036  5.11625  5.10628   42006686
               14               6               1              HB  3.52494  4.06370  3.96952  3.70601   42006706
