#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  2.79503  2.34877  2.52458  2.99754   42004081
               -2               1               1              HB  3.16895  3.74602  3.67089  3.68937   42004101
               -3               1               1              HB  3.14277  3.50450  3.56681  3.25092   42004181
               -4               1               1              HB  2.63594  2.22741  2.36117  2.48616   42004201
               -5               1               1              HB  3.87863  3.75567  3.64978  3.59663   42004281
               -6               1               1              HB  2.67485  3.18250  3.33376  3.38629   42004301
               -7               1               1              HB  3.43673  3.58029  3.78303  3.44651   42004381
               -8               1               1              HB  3.12254  3.82318  3.73600  3.53791   42004401
               -9               1               1              HB  1.65323  2.77955  2.94867  2.13526   42004481
              -10               1               1              HB  3.12254  3.25339  3.52714  3.48665   42004501
              -11               1               1              HB  2.72552  2.59035  2.77900  2.52012   42004581
              -12               1               1              HB  2.04601  2.91820  2.94554  3.01889   42004601
              -13               1               1              HB  3.48886  2.67513  3.93114  3.17239   42004681
              -14               1               1              HB  3.73348  3.57967  4.13825  3.50891   42004701
              -15               1               1              HB  3.75798  3.45687  4.01806  3.51212   42004781
              -15               1               2              HB  3.26663  2.90474  3.42440  2.85028   42008781
              -16               1               1              HB  2.40310  3.93071  2.57255  3.41073   42004801
              -16               1               2              HB  3.56168  3.78228  4.27187  4.01033   42008801
               -1               2               1              HB  2.50453  3.07162  2.71592  2.64500   42004082
               -2               2               1              HB  1.77578  4.77737  2.19720  4.61996   42004102
               -3               2               1              HB  2.85404  3.75211  3.37063  3.93212   42004182
               -4               2               1              HB  2.57590  1.37408  2.98847  1.77790   42004202
               -5               2               1              HB  2.41135  3.88273  2.94187  4.66518   42004282
               -6               2               1              HB  1.96974  2.60497  2.30668  2.26550   42004302
               -7               2               1              HB  2.45794  1.99674  2.80382  2.24815   42004382
               -8               2               1              HB  3.29408  3.53072  4.08192  4.17820   42004402
               -9               2               1              HB  3.15253  3.19659  3.54455  3.07375   42004482
              -10               2               1              HB  4.71503  3.19499  4.89630  2.86476   42004502
              -11               2               1              HB  3.03327  1.96703  3.26604  2.07162   42004582
              -12               2               1              HB  3.26545  2.13244  2.94343  1.08019   42004602
              -13               2               1              HB  2.81370  3.41263  2.68295  3.12066   42004682
              -14               2               1              HB  2.35349  4.22503  2.64085  4.18141   42004702
              -15               2               1              HB  2.73496  3.74439  3.17306  4.16978   42004782
              -15               2               2              HB  3.86407  2.43272  3.90726  2.56055   42008782
              -16               2               1              HB  4.27876  1.72472  4.18022  1.91864   42004802
              -16               2               2              HB  3.06043  3.51906  2.71810  3.50524   42008802
               -1               3               1              HB  2.21731  2.80739  2.58779  2.35594   42004083
