#U fC

#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.23236  1.97886  3.00152  2.40467   42004081
               -2               1               1              HB  3.54230  3.32253  4.05571  3.36439   42004101
               -3               1               1              HB  3.27062  3.39924  3.60713  3.19739   42004181
               -4               1               1              HB  2.79070  2.03480  2.68429  2.19770   42004201
               -5               1               1              HB  3.93245  3.57205  3.82081  3.52509   42004281
               -6               1               1              HB  3.12334  2.95086  3.51394  3.03304   42004301
               -7               1               1              HB  3.40891  3.52526  3.79835  3.54515   42004381
               -8               1               1              HB  3.22360  3.70716  3.84176  3.43007   42004401
               -9               1               1              HB  1.73164  2.74183  2.97254  2.11176   42004481
              -10               1               1              HB  3.19623  3.35557  3.44331  3.42659   42004501
              -11               1               1              HB  2.53260  2.52404  2.80350  2.61345   42004581
              -12               1               1              HB  2.14993  2.97364  2.90889  2.97978   42004601
              -13               1               1              HB  3.33266  2.65621  4.02648  3.31010   42004681
              -14               1               1              HB  3.60419  3.67077  4.04826  3.59390   42004701
              -15               1               1              HB  3.65329  3.56225  4.04363  3.59944   42004781
              -15               1               2              HB  3.02976  3.02434  3.37183  3.00030   42008781
              -16               1               1              HB  2.75879  3.75781  2.56019  3.16224   42004801
              -16               1               2              HB  3.82568  3.75817  4.25216  3.76234   42008801
               -1               2               1              HB  3.37156  2.23674  3.25246  1.90491   42004082
               -2               2               1              HB  4.23498  2.43852  4.53551  2.16640   42004102
               -3               2               1              HB  3.60140  3.17315  3.79238  3.34387   42004182
               -4               2               1              HB  2.31193  1.86815  2.61011  2.06071   42004202
               -5               2               1              HB  3.46973  3.11198  3.65573  3.76191   42004282
               -6               2               1              HB  2.15977  2.32377  2.33337  2.37694   42004302
               -7               2               1              HB  2.44251  2.10608  2.62443  2.19482   42004382
               -8               2               1              HB  2.98572  3.78050  3.71204  4.56677   42004402
               -9               2               1              HB  2.89286  3.34131  3.41901  3.29437   42004482
              -10               2               1              HB  3.83151  3.97216  4.08236  3.82083   42004502
              -11               2               1              HB  2.50143  2.47779  2.78785  2.55826   42004582
              -12               2               1              HB  2.76965  2.40257  2.61749  1.51221   42004602
              -13               2               1              HB  3.28687  2.67023  3.43202  2.53703   42004682
              -14               2               1              HB  3.23199  3.32830  3.40134  3.37151   42004702
              -15               2               1              HB  3.43166  3.12206  3.97940  3.28447   42004782
              -15               2               2              HB  3.11881  3.10606  3.44264  3.16261   42008782
              -16               2               1              HB  3.11028  2.89522  3.37315  2.68358   42004802
              -16               2               2              HB  3.46563  2.81637  3.75536  2.64720   42008802
               -1               3               1              HB  2.55212  2.40358  2.92115  2.16102   42004083
               -2               3               1              HB  3.39748  3.10872  3.66298  3.60248   42004103
               -3               3               1              HB  3.98355  3.53859  4.25883  3.46840   42004183
               -4               3               1              HB  2.84762  2.92029  3.29449  3.08190   42004203
               -5               3               1              HB  3.58672  3.05447  3.62645  3.29685   42004283
               -6               3               1              HB  2.97017  3.19248  3.34006  3.19176   42004303
               -7               3               1              HB  4.07207  4.01893  4.27863  4.07705   42004383
               -8               3               1              HB  3.41989  3.75346  3.30379  3.42380   42004403
               -9               3               1              HB  3.52126  3.36049  3.92547  3.50598   42004483
              -10               3               1              HB  4.02931  4.12395  4.07211  4.10530   42004503
              -11               3               1              HB  3.75029  3.72420  3.99778  3.64356   42004583
              -12               3               1              HB  3.16717  3.12539  3.68789  3.04811   42004603
              -13               3               1              HB  1.18705  1.78747  1.94673  1.82847   42004683
              -14               3               1              HB  3.46274  3.52878  3.73717  3.46545   42004703
              -15               3               1              HB  4.82914  4.69568  4.52018  4.14289   42004783
              -15               3               2              HB  3.03709  2.91655  3.23520  2.90041   42008783
              -16               3               1              HB  3.45004  3.09348  3.69016  3.29040   42004803
              -16               3               2              HB  4.31310  4.26171  4.52097  4.21296   42008803
               -1               4               1              HB  3.03684  2.15842  3.88872  2.08695   42004084
               -2               4               1              HB  3.20241  3.43816  3.70262  3.61448   42004104
               -3               4               1              HB  3.80465  3.60030  4.20824  3.36610   42004184
               -4               4               1              HB  3.13867  3.76663  3.75901  3.20234   42004204
               -5               4               1              HB  3.34517  4.20393  4.17546  4.04234   42004284
               -6               4               1              HB  3.07220  3.74176  3.49151  3.91078   42004304
               -7               4               1              HB  2.68429  2.87440  3.03219  2.80931   42004384
               -8               4               1              HB  2.53139  3.35797  2.92605  3.44401   42004404
               -9               4               1              HB  3.16470  3.12893  2.90191  2.88188   42004484
              -10               4               1              HB  2.87380  3.47748  3.43249  3.45370   42004504
              -11               4               1              HB  3.50317  3.37518  3.78617  3.38462   42004584
              -12               4               1              HB  2.73695  2.57236  2.79563  2.82973   42004604
              -13               4               1              HB  3.31722  3.33910  3.44869  3.32715   42004684
              -14               4               1              HB  3.35024  3.59782  3.78588  3.49876   42004704
              -15               4               1              HB  3.66994  3.57531  4.22130  3.71352   42004784
              -15               4               2              HB  3.29476  3.17300  3.60325  3.32681   42008784
              -16               4               1              HB  2.87874  2.79285  3.11010  2.89814   42004804
              -16               4               2              HB  4.43501  4.40334  4.75750  4.31579   42008804
               -1               5               1              HB  2.45920  1.73757  3.12880  1.99460   42004085
               -2               5               1              HB  3.14850  3.60320  3.43336  3.57947   42004105
               -3               5               1              HB  3.67794  3.77660  4.19401  3.66956   42004185
               -4               5               1              HB  3.31308  3.63272  3.80560  3.58176   42004205
               -5               5               1              HB  4.06333  3.31241  3.64744  3.53708   42004285
               -6               5               1              HB  2.41593  2.72974  2.69731  2.77563   42004305
               -7               5               1              HB  2.57850  2.59658  3.13003  2.51386   42004385
               -8               5               1              HB  3.34706  4.08608  3.73870  4.27842   42004405
               -9               5               1              HB  2.35553  3.03983  3.14714  2.81176   42004485
              -10               5               1              HB  3.31486  3.10919  3.51558  3.35611   42004505
              -11               5               1              HB  3.81706  3.80120  4.27260  3.67641   42004585
              -12               5               1              HB  2.04106  2.06384  2.32926  1.85152   42004605
              -13               5               1              HB  2.80244  2.68784  3.03384  2.47171   42004685
              -14               5               1              HB  3.16994  3.36224  3.52362  3.32452   42004705
              -15               5               1              HB  2.31710  2.60905  2.68777  2.89820   42004785
              -15               5               2              HB  1.66272  1.78033  2.00101  1.80663   42008785
              -16               5               1              HB  2.79502  2.89636  2.74086  2.62283   42004805
              -16               5               2              HB  2.75174  2.75961  2.94627  2.76936   42008805
               -1               6               1              HB  3.16679  3.42172  3.11837  2.98990   42004086
               -2               6               1              HB  2.47852  2.98301  3.17271  2.86787   42004106
               -3               6               1              HB  2.87987  2.78384  3.45272  3.21380   42004186
               -4               6               1              HB  3.07468  3.22975  4.12258  2.90305   42004206
               -5               6               1              HB  3.12826  2.69975  3.51989  2.54721   42004286
               -6               6               1              HB  2.47294  3.42227  3.23611  2.66156   42004306
               -7               6               1              HB  2.65324  3.10361  3.43763  2.71653   42004386
               -8               6               1              HB  2.87428  3.44772  3.76745  3.26290   42004406
               -9               6               1              HB  2.79446  3.33043  4.01653  3.35891   42004486
              -10               6               1              HB  3.12325  3.49806  3.55876  2.70809   42004506
              -11               6               1              HB  3.29908  3.68560  3.65575  2.95582   42004586
              -12               6               1              HB  3.42301  2.93875  4.43545  2.69527   42004606
              -13               6               1              HB  3.26782  3.19379  4.13768  2.52375   42004686
              -14               6               1              HB  2.87316  3.39184  3.68896  2.57396   42004706
              -15               6               1              HB  2.64654  3.56500  3.37234  2.96828   42004786
              -15               6               2              HB  3.40124  2.82810  3.79123  3.44137   42008786
              -16               6               1              HB  3.36663  3.31882  3.90558  3.04413   42004806
              -16               6               2              HB  3.52907  3.57109  3.29461  3.16726   42008806
               -1               7               1              HB  1.93706  1.89207  2.28051  1.83010   42004087
               -2               7               1              HB  3.72681  3.53163  3.83448  3.63276   42004107
               -3               7               1              HB  3.16132  3.37932  3.53624  3.21388   42004187
               -4               7               1              HB  2.92572  3.31605  3.73723  2.97171   42004207
               -5               7               1              HB  4.09457  4.25555  4.44378  3.79143   42004287
               -6               7               1              HB  2.05436  2.09161  2.27618  2.37099   42004307
               -7               7               1              HB  2.83970  3.04647  3.18368  2.98553   42004387
               -8               7               1              HB  3.17353  3.80953  3.38635  3.66788   42004407
               -9               7               1              HB  2.62827  2.46704  3.00838  3.23047   42004487
              -10               7               1              HB  3.33657  3.42124  3.62987  3.38529   42004507
              -11               7               1              HB  3.69088  3.69118  4.22399  3.67079   42004587
              -12               7               1              HB  2.72159  1.88901  2.64986  2.18664   42004607
              -13               7               1              HB  3.47392  3.12342  3.58915  2.88843   42004687
