#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.60967 -3.44649  0.60269 -2.95085 -3.60264  0.59221 -2.88036 -3.10828 -3.04964  0.62263   42004081
               -2               1               1              HB  0.51240  3.17549  0.48206  3.50811  3.25919  0.49520  3.14126  3.16404  3.18136  0.48282   42004101
               -3               1               1              HB  0.56678  1.60112  0.58240  2.72829  0.64924  0.58090  1.92178  0.30348  1.13662  0.55148   42004181
               -4               1               1              HB  0.62186 -1.40989  0.60627 -0.85044 -2.00301  0.60770 -2.04126 -2.24561 -2.63932  0.63030   42004201
               -5               1               1              HB  0.54566  4.35640  0.52872  4.52551  4.90011  0.54722  3.17665  3.99649  3.84926  0.54157   42004281
               -6               1               1              HB  0.55365  0.19019  0.56403  0.81116  0.78807  0.51173 -1.16421 -0.72735 -0.72249  0.54752   42004301
               -7               1               1              HB  0.51432  1.75052  0.47744  2.69761  2.56021  0.52452  2.13626  2.51473  3.03144  0.48149   42004381
               -8               1               1              HB  0.58369  4.82766  0.55778  4.87581  5.71317  0.54333  2.87031  4.19860  3.70907  0.55388   42004401
               -9               1               1              HB  0.56763 -4.03539  0.56132 -3.60303 -2.37797  0.58198 -3.96713 -2.90002 -2.76562  0.58996   42004481
              -10               1               1              HB  0.57195  2.19344  0.58909  4.38107  2.31791  0.57905  2.10285  0.27216  2.19720  0.57721   42004501
              -11               1               1              HB  0.70105 -3.16079  0.66999 -2.83237 -2.59734  0.68393 -3.47219 -2.76321 -2.82754  0.65791   42004581
              -12               1               1              HB  0.53594 -0.19993  0.52429 -0.47333  0.14591  0.50059 -0.84141  0.00638 -0.71699  0.52098   42004601
              -13               1               1              HB  0.62847 -0.91015  0.64080  1.91077  0.86002  0.62576 -0.16150 -0.69670  2.06037  0.62420   42004681
              -14               1               1              HB  0.49810  3.03794  0.47582  4.08619  3.18141  0.49617  3.07231  2.37424  3.33028  0.51847   42004701
              -15               1               1              HB  0.55509  3.85004  0.53803  4.55196  4.45841  0.50408  3.10857  3.43842  3.67836  0.60549   42004781
              -15               1               2              HB  0.62204 -0.11852  0.61189  1.35093  1.19358  0.64552  0.18649  0.45357  1.50054  0.59427   42008781
              -16               1               1              HB  0.53151 -0.52589  0.48827 -1.13984 -0.41467  0.50325 -1.11229 -0.11842 -1.01598  0.53129   42004801
              -16               1               2              HB  0.64585  3.82110  0.59916  4.90120  4.63640  0.57696  3.53991  3.69071  4.37508  0.66206   42008801
               -1               2               1              HB  0.60323 -1.74048  0.58843 -0.71440 -1.57895  0.58056 -2.50401 -2.54717 -2.37509  0.58113   42004082
               -2               2               1              HB  0.96641  1.02368  1.02433  4.19898  1.70530  0.90755  0.87661  0.47103  1.18473  0.92131   42004102
               -3               2               1              HB  0.53050  2.19082  0.54877  2.29369  3.87439  0.52421  0.58242  2.26237  2.12073  0.52519   42004182
               -4               2               1              HB  0.68841 -3.11111  0.70873 -2.22484 -2.44795  0.67073 -3.46485 -3.23978 -2.71845  0.69785   42004202
               -5               2               1              HB  0.64596  0.82401  0.68785  3.27709  1.19829  0.63364  1.90175  0.98795  2.38841  0.70801   42004282
               -6               2               1              HB  0.51677 -3.12871  0.49497 -2.78017 -3.34534  0.49574 -3.80616 -3.98186 -4.04849  0.48221   42004302
               -7               2               1              HB  0.57489 -3.21230  0.59546 -2.62381 -2.24062  0.59974 -2.76370 -1.94584 -1.87731  0.58819   42004382
               -8               2               1              HB  0.56506  3.21253  0.53468  2.89611  3.72447  0.51686  2.59062  3.69473  2.71677  0.53238   42004402
               -9               2               1              HB  0.59525  1.14512  0.56816  1.25798  1.58807  0.57360  0.47155  1.28672  0.95393  0.59849   42004482
              -10               2               1              HB  0.66065  5.87976  0.64257  4.91991  5.98207  0.66036  5.96431  7.69408  5.95416  0.63838   42004502
