#U ADC

#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.63068 -0.24671  0.63072 -0.06390 -0.26364  0.64360 -0.31239  0.00178 -0.29478  0.63962   42004081
               -2               1               1              HB  0.54456 -0.19454  0.51500  0.00621 -0.22071  0.56331 -0.20272 -0.05185 -0.19984  0.51223   42004101
               -3               1               1              HB  0.58477 -0.23653  0.59865  0.01878 -0.17658  0.61586 -0.23365 -0.20840 -0.21619  0.60590   42004181
               -4               1               1              HB  0.58649 -0.18678  0.54263 -0.02809 -0.22768  0.54608 -0.18750  0.03077 -0.16252  0.52622   42004201
               -5               1               1              HB  0.51049 -0.15792  0.53510  0.04126 -0.17215  0.52191 -0.18695 -0.01117 -0.23780  0.52256   42004281
               -6               1               1              HB  0.54053 -0.16989  0.54903 -0.04959 -0.21222  0.53536 -0.24244 -0.04327 -0.16738  0.53101   42004301
               -7               1               1              HB  0.49843 -0.15739  0.48012 -0.03074 -0.16827  0.49111 -0.16821  0.03135 -0.20313  0.51941   42004381
               -8               1               1              HB  0.54168 -0.17485  0.51578 -0.03837 -0.17132  0.51345 -0.18812  0.00150 -0.13371  0.50804   42004401
               -9               1               1              HB  0.54874 -0.19215  0.56384 -0.03328 -0.23234  0.57461 -0.17006 -0.04048 -0.19604  0.55605   42004481
              -10               1               1              HB  0.56688 -0.20701  0.53751 -0.04043 -0.23098  0.54047 -0.23758 -0.04662 -0.19690  0.55878   42004501
              -11               1               1              HB  0.64721 -0.21606  0.64838 -0.00569 -0.21778  0.67701 -0.29180 -0.09397 -0.33274  0.66315   42004581
              -12               1               1              HB  0.50941 -0.16444  0.48634  0.01416 -0.15560  0.49060 -0.18583  0.04752 -0.19984  0.50725   42004601
              -13               1               1              HB  0.62909 -0.21122  0.58832 -0.03547 -0.20595  0.58880 -0.21421  0.05616 -0.12311  0.62207   42004681
              -14               1               1              HB  0.51874 -0.17710  0.51538 -0.00957 -0.15658  0.53012 -0.16151 -0.01343 -0.16124  0.50336   42004701
              -15               1               1              HB  0.52422 -0.19897  0.57809  0.05187 -0.15186  0.51056 -0.18125 -0.09701 -0.15948  0.55026   42004781
              -15               1               2              HB  0.60300 -0.25100  0.62374  0.01900 -0.20383  0.58557 -0.19600  0.09039 -0.15487  0.61486   42008781
              -16               1               1              HB  0.54242 -0.17408  0.51352 -0.02920 -0.17535  0.52797 -0.19314 -0.00510 -0.16848  0.56806   42004801
              -16               1               2              HB  0.69756 -0.23508  0.67444  0.00651 -0.22461  0.63114 -0.20745  0.02085 -0.15908  0.66915   42008801
               -1               2               1              HB  0.68494 -0.27043  0.68315  0.04381 -0.21248  0.62332 -0.23366  0.00483 -0.24149  0.65986   42004082
