#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.67932  0.75966  0.75398  0.75750  0.75184  0.74970  0.75002  0.74441  0.74230  0.73496   42004081
               -2               1               1              HB  0.61282  0.72028  0.71468  0.71054  0.70501  0.69547  0.73078  0.72510  0.71529  0.73566   42004101
               -3               1               1              HB  0.64730  0.70968  0.71437  0.69486  0.69946  0.68485  0.70597  0.71064  0.69580  0.70693   42004181
               -4               1               1              HB  0.69943  0.85887  0.84518  0.84256  0.82913  0.81340  0.84175  0.82833  0.81261  0.81182   42004201
               -5               1               1              HB  0.61225  0.69490  0.69320  0.68998  0.68829  0.68342  0.68607  0.68439  0.67954  0.67569   42004281
               -6               1               1              HB  0.63766  0.76193  0.75142  0.75116  0.74081  0.73034  0.75382  0.74343  0.73293  0.73553   42004301
               -7               1               1              HB  0.63669  0.77268  0.75617  0.76617  0.74980  0.74348  0.77982  0.76316  0.75673  0.77021   42004381
               -8               1               1              HB  0.68226  0.85786  0.85497  0.84285  0.84002  0.82533  0.84304  0.84021  0.82551  0.82570   42004401
               -9               1               1              HB  0.61211  0.68852  0.68068  0.68620  0.67839  0.67610  0.71852  0.71034  0.70795  0.74129   42004481
              -10               1               1              HB  0.63929  0.77319  0.77285  0.76114  0.76080  0.74894  0.75916  0.75883  0.74700  0.74507   42004501
              -11               1               1              HB  0.70849  0.75730  0.74042  0.73828  0.72183  0.70370  0.75691  0.74005  0.72146  0.73967   42004581
              -12               1               1              HB  0.65612  0.83689  0.82740  0.82312  0.81378  0.80039  0.81609  0.80683  0.79355  0.78677   42004601
              -13               1               1              HB  0.75503  0.87010  0.85869  0.85604  0.84481  0.83116  0.85974  0.84846  0.83475  0.83836   42004681
              -14               1               1              HB  0.62432  0.72361  0.71034  0.71545  0.70232  0.69440  0.72446  0.71117  0.70315  0.71201   42004701
              -15               1               1              HB  0.63638  0.74759  0.73833  0.73609  0.72697  0.71579  0.74928  0.74000  0.72862  0.74168   42004781
              -15               1               2              HB  0.69796  0.85825  0.87740  0.80798  0.82600  0.77761  0.81939  0.83767  0.78860  0.79974   42008781
              -16               1               1              HB  0.56328  0.65333  0.64432  0.65523  0.64619  0.64806  0.65152  0.64253  0.64439  0.64075   42004801
              -16               1               2              HB  0.74229  0.86840  0.86045  0.86347  0.85557  0.85071  0.85869  0.85083  0.84601  0.84132   42008801
               -1               2               1              HB  0.67289  0.78591  0.77068  0.79039  0.77508  0.77950  0.79124  0.77592  0.78034  0.78118   42004082
               -2               2               1              HB  0.59356  0.69278  0.68319  0.67851  0.66912  0.65534  0.69233  0.68275  0.66869  0.68231   42004102
               -3               2               1              HB  0.57604  0.68452  0.68028  0.68200  0.67778  0.67528  0.68053  0.67631  0.67382  0.67237   42004182
               -4               2               1              HB  0.74997  0.83402  0.82214  0.83184  0.81999  0.81785  0.83227  0.82042  0.81828  0.81871   42004202
               -5               2               1              HB  0.73049  0.85686  0.84332  0.85064  0.83721  0.83113  0.85759  0.84405  0.83793  0.84477   42004282
               -6               2               1              HB  0.54365  0.64406  0.65809  0.63081  0.64455  0.63128  0.62932  0.64302  0.62979  0.62830   42004302
               -7               2               1              HB  0.66958  0.82046  0.82922  0.81313  0.82182  0.81447  0.80796  0.81659  0.80930  0.80415   42004382
               -8               2               1              HB  0.61979  0.72354  0.71414  0.70603  0.69686  0.68000  0.72230  0.71292  0.69567  0.71170   42004402
               -9               2               1              HB  0.74651  0.88289  0.86965  0.87693  0.86377  0.85794  0.88308  0.86983  0.86396  0.87002   42004482
              -10               2               1              HB  0.64302  0.76596  0.77361  0.75479  0.76232  0.75120  0.76664  0.77429  0.76299  0.77497   42004502
              -11               2               1              HB  0.71603  0.87551  0.87560  0.87667  0.87677  0.87793  0.87280  0.87290  0.87406  0.87020   42004582
              -12               2               1              HB  0.59499  0.69978  0.70695  0.67244  0.67933  0.65279  0.68136  0.68835  0.66145  0.67023   42004602
              -13               2               1              HB  0.63377  0.77103  0.76014  0.76450  0.75370  0.74732  0.77485  0.76390  0.75743  0.76769   42004682
              -14               2               1              HB  0.48485  0.57045  0.56142  0.56984  0.56082  0.56022  0.57211  0.56306  0.56246  0.56470   42004702
              -15               2               1              HB  0.65500  0.77817  0.76305  0.77842  0.76329  0.76354  0.77833  0.76321  0.76346  0.76338   42004782
              -15               2               2              HB  0.78933  0.95486  0.93501  0.95548  0.93562  0.93623  0.94387  0.92425  0.92485  0.91361   42008782
              -16               2               1              HB  0.74367  0.90650  0.90161  0.90362  0.89874  0.89588  0.89139  0.88658  0.88375  0.87179   42004802
              -16               2               2              HB  0.86364  1.01741  1.00763  1.00761  0.99793  0.98832  1.01173  1.00200  0.99235  0.99640   42008802
               -1               3               1              HB  0.56307  0.61973  0.60578  0.61092  0.59717  0.58868  0.60726  0.59359  0.58515  0.58165   42004083
               -2               3               1              HB  0.55779  0.68917  0.68894  0.68182  0.68159  0.67432  0.67477  0.67455  0.66735  0.66045   42004103
               -3               3               1              HB  0.48842  0.56819  0.56654  0.55857  0.55694  0.54751  0.57892  0.57724  0.56746  0.58813   42004183
               -4               3               1              HB  0.59293  0.66244  0.65437  0.65055  0.64262  0.63109  0.65871  0.65068  0.63900  0.64701   42004203
               -5               3               1              HB  0.54057  0.61968  0.62649  0.60363  0.61026  0.59445  0.60123  0.60784  0.59209  0.58974   42004283
               -6               3               1              HB  0.54210  0.59477  0.59191  0.58164  0.57884  0.56607  0.58637  0.58356  0.57067  0.57532   42004303
               -7               3               1              HB  0.55007  0.63513  0.61963  0.62629  0.61100  0.60250  0.62741  0.61209  0.60357  0.60465   42004383
               -8               3               1              HB  0.58027  0.66322  0.65378  0.66090  0.65150  0.64923  0.65255  0.64327  0.64102  0.63292   42004403
               -9               3               1              HB  0.50665  0.58173  0.57757  0.57601  0.57189  0.56627  0.58404  0.57986  0.57416  0.58216   42004483
              -10               3               1              HB  0.59306  0.67392  0.65851  0.67542  0.65997  0.66144  0.67350  0.65810  0.65955  0.65768   42004503
              -11               3               1              HB  0.54274  0.58201  0.57269  0.57487  0.56566  0.55871  0.57975  0.57046  0.56346  0.56824   42004583
              -12               3               1              HB  0.57137  0.64657  0.64609  0.64540  0.64492  0.64376  0.63977  0.63929  0.63814  0.63256   42004603
              -13               3               1              HB  0.65360  0.67511  0.66890  0.66595  0.65982  0.65086  0.66297  0.65687  0.64795  0.64506   42004683
              -14               3               1              HB  0.54388  0.62466  0.62386  0.60939  0.60860  0.59372  0.61194  0.61116  0.59622  0.59872   42004703
              -15               3               1              HB  0.62657  0.69369  0.70029  0.66915  0.67551  0.65161  0.68272  0.68922  0.66483  0.67832   42004783
              -15               3               2              HB  0.63302  0.73831  0.74111  0.71145  0.71414  0.68815  0.71872  0.72144  0.69519  0.70229   42008783
              -16               3               1              HB  0.62707  0.64225  0.63136  0.63448  0.62372  0.61618  0.63373  0.62298  0.61545  0.61471   42004803
              -16               3               2              HB  0.65312  0.77679  0.77976  0.75614  0.75903  0.73884  0.75977  0.76268  0.74240  0.74597   42008803
               -1               4               1              HB  0.69647  0.86919  0.86541  0.85518  0.85146  0.83773  0.84252  0.83885  0.82533  0.81311   42004084
               -2               4               1              HB  0.59549  0.67373  0.66753  0.65785  0.65179  0.63643  0.66695  0.66081  0.64523  0.65416   42004104
               -3               4               1              HB  0.54132  0.64824  0.63692  0.65356  0.64215  0.64742  0.64019  0.62901  0.63417  0.62119   42004184
               -4               4               1              HB  0.74083  0.90557  0.89324  0.90607  0.89373  0.89422  0.89720  0.88498  0.88547  0.87680   42004204
               -5               4               1              HB  0.63863  0.78803  0.76263  0.79132  0.76581  0.76900  0.79271  0.76715  0.77035  0.77171   42004284
               -6               4               1              HB  0.64303  0.74919  0.74267  0.74028  0.73384  0.72511  0.73645  0.73004  0.72136  0.71762   42004304
               -7               4               1              HB  0.56143  0.62219  0.61263  0.62102  0.61148  0.61034  0.61774  0.60825  0.60711  0.60390   42004384
               -8               4               1              HB  0.81161  0.94754  0.95020  0.93230  0.93493  0.91990  0.93780  0.94043  0.92532  0.93077   42004404
               -9               4               1              HB  0.57670  0.70747  0.69473  0.69586  0.68333  0.67212  0.70879  0.69603  0.68461  0.69733   42004484
              -10               4               1              HB  0.77773  0.88815  0.91073  0.84743  0.86898  0.82914  0.84092  0.86230  0.82277  0.81645   42004504
              -11               4               1              HB  0.68661  0.82255  0.81547  0.80005  0.79316  0.77147  0.83170  0.82454  0.80199  0.83372   42004584
              -12               4               1              HB  0.60926  0.70979  0.68703  0.70263  0.68010  0.67323  0.70470  0.68210  0.67522  0.67721   42004604
              -13               4               1              HB  0.74683  0.93050  0.92120  0.91856  0.90938  0.89772  0.91505  0.90591  0.89429  0.89087   42004684
              -14               4               1              HB  0.62429  0.78839  0.76698  0.78883  0.76741  0.76783  0.78508  0.76376  0.76419  0.76056   42004704
              -15               4               1              HB  0.59578  0.74610  0.74244  0.74295  0.73930  0.73618  0.73535  0.73174  0.72865  0.72119   42004784
              -15               4               2              HB  0.58362  0.72357  0.71924  0.72381  0.71948  0.71972  0.71799  0.71369  0.71393  0.70819   42008784
              -16               4               1              HB  0.55471  0.66336  0.66126  0.65337  0.65130  0.64150  0.65148  0.64942  0.63964  0.63779   42004804
              -16               4               2              HB  0.61047  0.76588  0.76160  0.74338  0.73923  0.71751  0.74931  0.74512  0.72323  0.72900   42008804
               -1               5               1              HB  0.72859  0.89959  0.89849  0.88621  0.88513  0.87196  0.88476  0.88368  0.87053  0.86910   42004085
               -2               5               1              HB  0.61510  0.71922  0.71349  0.71498  0.70928  0.70511  0.71193  0.70626  0.70210  0.69911   42004105
               -3               5               1              HB  0.50036  0.60472  0.59621  0.61350  0.60486  0.61363  0.59594  0.58755  0.59607  0.57902   42004185
               -4               5               1              HB  0.70974  0.88888  0.87409  0.88330  0.86859  0.86313  0.87980  0.86516  0.85972  0.85632   42004205
               -5               5               1              HB  0.67202  0.80763  0.80128  0.79172  0.78549  0.77002  0.79316  0.78693  0.77143  0.77283   42004285
               -6               5               1              HB  0.62769  0.73230  0.72139  0.72918  0.71831  0.71524  0.74427  0.73318  0.73005  0.74516   42004305
               -7               5               1              HB  0.53256  0.64661  0.64044  0.63484  0.62879  0.61734  0.64392  0.63778  0.62618  0.63513   42004385
               -8               5               1              HB  0.67715  0.87204  0.87482  0.86692  0.86968  0.86457  0.84338  0.84607  0.84109  0.81826   42004405
               -9               5               1              HB  0.57873  0.70609  0.69872  0.70671  0.69933  0.69995  0.70999  0.70258  0.70319  0.70646   42004485
              -10               5               1              HB  0.79698  0.99088  0.98022  0.98553  0.97492  0.96965  1.00177  0.99099  0.98564  1.00188   42004505
              -11               5               1              HB  0.62589  0.78681  0.80511  0.76588  0.78369  0.76284  0.75463  0.77218  0.75163  0.74060   42004585
              -12               5               1              HB  0.62352  0.76595  0.76046  0.76075  0.75528  0.75015  0.74981  0.74442  0.73936  0.72873   42004605
              -13               5               1              HB  0.68184  0.81053  0.80261  0.80234  0.79451  0.78649  0.80097  0.79315  0.78514  0.78379   42004685
              -14               5               1              HB  0.70819  0.83680  0.83489  0.82392  0.82204  0.80939  0.82542  0.82354  0.81086  0.81234   42004705
              -15               5               1              HB  0.61693  0.73530  0.72684  0.71595  0.70771  0.68909  0.73987  0.73136  0.71212  0.73592   42004785
              -15               5               2              HB  0.72990  0.83260  0.82570  0.83358  0.82666  0.82763  0.83804  0.83109  0.83206  0.83652   42008785
              -16               5               1              HB  0.59592  0.71015  0.70652  0.69598  0.69242  0.67860  0.71498  0.71132  0.69712  0.71615   42004805
              -16               5               2              HB  0.64988  0.71820  0.71346  0.71260  0.70790  0.70238  0.70833  0.70366  0.69817  0.69398   42008805
               -1               6               1              HB  0.71213  0.87968  0.87180  0.90010  0.89203  0.91274  0.87417  0.86634  0.88644  0.86091   42004086
               -2               6               1              HB  0.63719  0.78710  0.78005  0.80537  0.79815  0.81668  0.78217  0.77516  0.79315  0.77030   42004106
               -3               6               1              HB  0.59383  0.73355  0.72698  0.75057  0.74385  0.76111  0.72895  0.72242  0.73919  0.71789   42004186
               -4               6               1              HB  0.71073  0.87794  0.87008  0.89832  0.89027  0.91093  0.87244  0.86462  0.88469  0.85920   42004206
               -5               6               1              HB  0.58542  0.72316  0.71668  0.73994  0.73331  0.75033  0.71863  0.71218  0.72871  0.70772   42004286
               -6               6               1              HB  0.65997  0.81525  0.80794  0.83417  0.82669  0.84588  0.81014  0.80288  0.82151  0.79785   42004306
               -7               6               1              HB  0.69354  0.85671  0.84903  0.87660  0.86874  0.88890  0.85134  0.84371  0.86329  0.83843   42004386
               -8               6               1              HB  0.64463  0.79629  0.78916  0.81477  0.80747  0.82621  0.79130  0.78421  0.80241  0.77930   42004406
               -9               6               1              HB  0.61831  0.76379  0.75695  0.78152  0.77451  0.79249  0.75900  0.75220  0.76966  0.74749   42004486
              -10               6               1              HB  0.72725  0.89836  0.89031  0.91921  0.91097  0.93211  0.89273  0.88473  0.90526  0.87919   42004506
              -11               6               1              HB  0.65597  0.81031  0.80304  0.82911  0.82168  0.84075  0.80523  0.79801  0.81653  0.79301   42004586
              -12               6               1              HB  0.64711  0.79936  0.79219  0.81791  0.81058  0.82939  0.79435  0.78723  0.80550  0.78230   42004606
              -13               6               1              HB  0.68203  0.84250  0.83495  0.86205  0.85433  0.87416  0.83722  0.82972  0.84897  0.82452   42004686
              -14               6               1              HB  0.61778  0.76313  0.75629  0.78084  0.77384  0.79180  0.75835  0.75155  0.76899  0.74684   42004706
              -15               6               1              HB  0.66259  0.81848  0.81115  0.83748  0.82997  0.84923  0.81335  0.80606  0.82477  0.80101   42004786
              -15               6               2              HB  0.63050  0.77885  0.77187  0.79692  0.78978  0.80811  0.77397  0.76703  0.78483  0.76222   42008786
              -16               6               1              HB  0.59756  0.73815  0.73154  0.75529  0.74852  0.76589  0.73353  0.72695  0.74383  0.72240   42004806
              -16               6               2              HB  0.77730  0.96018  0.95158  0.98247  0.97366  0.99626  0.95416  0.94561  0.96756  0.93969   42008806
               -1               7               1              HB  0.63445  0.73950  0.73942  0.73341  0.73333  0.72728  0.73601  0.73593  0.72986  0.73245   42004087
               -2               7               1              HB  0.51253  0.61588  0.61608  0.63416  0.63437  0.65321  0.61635  0.61655  0.63486  0.61703   42004107
               -3               7               1              HB  0.54634  0.64929  0.64703  0.63621  0.63399  0.62122  0.64501  0.64277  0.62981  0.63853   42004187
