#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
                1               1               1              HB  0.64018 -0.22748  0.68840  0.01360 -0.24268  0.63795 -0.17317 -0.00974 -0.26937  0.61575   42006081
                2               1               1              HB  0.71464 -0.22824  0.64389 -0.03316 -0.24626  0.62387 -0.23301  0.00990 -0.21675  0.66289   42006101
                3               1               1              HB  0.58290 -0.18132  0.57322  0.09040 -0.19644  0.60301 -0.18331 -0.09487 -0.26818  0.60580   42006181
                4               1               1              HB  0.61663 -0.20087  0.63073 -0.06727 -0.18230  0.59853 -0.15242  0.04232 -0.22420  0.56814   42006201
                5               1               1              HB  0.60145 -0.20143  0.60350  0.06217 -0.21008  0.57753 -0.22794 -0.03093 -0.16317  0.59126   42006281
                6               1               1              HB  0.71306 -0.28409  0.69378 -0.06122 -0.20707  0.65682 -0.31042 -0.01358 -0.22665  0.70061   42006301
                7               1               1              HB  0.63192 -0.23971  0.59981 -0.08208 -0.15420  0.60239 -0.22887 -0.02556 -0.13524  0.63164   42006381
                8               1               1              HB  0.65192 -0.22434  0.64363  0.03887 -0.21062  0.61457 -0.17729 -0.03660 -0.25257  0.62674   42006401
                9               1               1              HB  0.58475 -0.20240  0.62901 -0.03250 -0.24868  0.55845 -0.14746 -0.01892 -0.25046  0.59335   42006481
               10               1               1              HB  0.73394 -0.22824  0.68020 -0.04796 -0.18793  0.72686 -0.21254 -0.01518 -0.26054  0.75882   42006501
               11               1               1              HB  0.81756 -0.28505  0.82553 -0.01663 -0.29599  0.76754 -0.39234 -0.05851 -0.31200  0.88875   42006581
               12               1               1              HB  0.61246 -0.19676  0.59072 -0.00483 -0.14788  0.55253 -0.20207 -0.01438 -0.14867  0.55982   42006601
               13               1               1              HB  0.66482 -0.24963  0.65699 -0.03312 -0.17974  0.64752 -0.19479  0.10055 -0.18018  0.65126   42006681
               14               1               1              HB  0.67827 -0.28640  0.65758  0.02622 -0.26349  0.59751 -0.18352 -0.03827 -0.18612  0.56508   42006701
               15               1               1              HB  0.66792 -0.03320  0.65338  0.00422 -0.09657  0.64284 -0.08087  0.05706 -0.14136  0.59702   42006781
               15               1               2              HB  0.64609 -0.20269  0.56664 -0.04005 -0.21076  0.59477 -0.20856 -0.11276 -0.20110  0.61277   4200A781
               16               1               1              HB  0.62486 -0.16471  0.59923  0.01384 -0.18143  0.56628 -0.17988 -0.00738 -0.21045  0.55815   42006801
               16               1               2              HB  0.78324 -0.25790  0.74467 -0.02849 -0.19261  0.65372 -0.31869 -0.01079 -0.26198  0.80511   4200A801
                1               2               1              HB  0.58353 -0.15860  0.62430 -0.04349 -0.22480  0.61218 -0.14809 -0.16587 -0.25820  0.66125   42006082
                2               2               1              HB  0.70209 -0.17501  0.73596 -0.05922 -0.25738  0.74518 -0.19189 -0.05285 -0.39302  0.77270   42006102
                3               2               1              HB  0.52107 -0.14831  0.50831  0.01981 -0.21360  0.49966 -0.14359 -0.08342 -0.12223  0.47875   42006182
                4               2               1              HB  0.67898 -0.25236  0.65660 -0.06123 -0.18935  0.59975 -0.17644 -0.03573 -0.17906  0.67026   42006202
                5               2               1              HB  0.55587 -0.19952  0.54189  0.05502 -0.19861  0.53434 -0.19838 -0.03239 -0.12550  0.52028   42006282
                6               2               1              HB  0.66154 -0.21382  0.63406 -0.05432 -0.18572  0.60838 -0.26348 -0.00248 -0.17767  0.61939   42006302
                7               2               1              HB  0.52222 -0.15045  0.53624 -0.04580 -0.21943  0.58149 -0.13768  0.00343 -0.18133  0.53786   42006382
                8               2               1              HB  0.66849 -0.24783  0.58268 -0.05546 -0.13893  0.62811 -0.24456 -0.04875 -0.27425  0.60553   42006402
                9               2               1              HB  0.57209 -0.13264  0.54163 -0.01681 -0.14614  0.54890 -0.19291 -0.04671 -0.14872  0.56431   42006482
               10               2               1              HB  0.66342 -0.24752  0.63157 -0.00553 -0.30001  0.62366 -0.18395 -0.17900 -0.24374  0.59684   42006502
               11               2               1              HB  0.64166 -0.19908  0.58572 -0.03010 -0.15850  0.59695 -0.18791  0.04933 -0.21961  0.61201   42006582
               12               2               1              HB  0.60756 -0.19366  0.56824 -0.01534 -0.23493  0.67986 -0.19106 -0.05414 -0.23366  0.59581   42006602
               13               2               1              HB  0.65684 -0.12644  0.64482 -0.02184 -0.26600  0.69950 -0.24394  0.05172 -0.23504  0.65936   42006682
               14               2               1              HB  0.55351 -0.19547  0.54434 -0.07867 -0.13227  0.49083 -0.15920 -0.12775 -0.15021  0.54879   42006702
               15               2               1              HB  0.85812 -0.01940  0.84236  0.05228  0.03275  0.92429  0.05562  0.17810 -0.13826  0.86984   42006782
               15               2               2              HB  0.72135 -0.16090  0.70438 -0.07866 -0.24306  0.65342 -0.24994  0.03775 -0.20364  0.70638   4200A782
               16               2               1              HB  0.77291 -0.09411  0.78909  0.19191 -0.07153  0.78610 -0.09388 -0.03185  0.01220  0.81148   42006802
               16               2               2              HB  0.76335 -0.35439  0.77352 -0.05236 -0.24966  0.73201 -0.27667 -0.01392 -0.29939  0.77138   4200A802
                1               3               1              HB  0.62280 -0.24082  0.61240  0.00236 -0.21976  0.58687 -0.17443 -0.02000 -0.23481  0.61155   42006083
                2               3               1              HB  0.59171 -0.18029  0.56868 -0.05145 -0.14833  0.52513 -0.16074 -0.02051 -0.22173  0.55008   42006103
                3               3               1              HB  0.55940 -0.15262  0.53523  0.12137 -0.25849  0.54665 -0.24076 -0.08238 -0.18487  0.54956   42006183
                4               3               1              HB  0.70890 -0.25680  0.64299 -0.05178 -0.26810  0.66119 -0.29308 -0.07824 -0.24660  0.67485   42006203
                5               3               1              HB  0.76677 -0.27268  0.72430 -0.06706 -0.29190  0.71854 -0.33363  0.01451 -0.18051  0.76434   42006283
                6               3               1              HB  0.59043 -0.20215  0.57853 -0.03956 -0.23864  0.59844 -0.16255  0.04374 -0.16579  0.59368   42006303
                7               3               1              HB  0.60065 -0.16240  0.57257 -0.03056 -0.22216  0.55997 -0.24644 -0.04734 -0.19954  0.57889   42006383
                8               3               1              HB  0.73080 -0.23710  0.74003 -0.04571 -0.30650  0.72996 -0.30095  0.00728 -0.23853  0.66274   42006403
                9               3               1              HB  0.66747 -0.22375  0.65661 -0.01717 -0.23315  0.62814 -0.25028 -0.04305 -0.21001  0.65433   42006483
               10               3               1              HB  0.66281 -0.22692  0.62930  0.04533 -0.19245  0.63194 -0.24076 -0.15870 -0.22002  0.64824   42006503
               11               3               1              HB  0.74783 -0.23650  0.75749  0.00420 -0.22415  0.73429 -0.30843 -0.02813 -0.24643  0.72792   42006583
               12               3               1              HB  0.69535 -0.17916  0.65822 -0.06123 -0.22912  0.66857 -0.29762  0.02646 -0.20726  0.67692   42006603
               13               3               1              HB  0.67067 -0.23982  0.68976 -0.02858 -0.18127  0.65687 -0.21834 -0.01194 -0.24983  0.67503   42006683
