#U fC

#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.65711 -0.23708  0.70836  0.12795 -0.26704  0.67685 -0.10683 -0.05524 -0.20925  0.69002   42004081
               -2               1               1              HB  0.66548 -0.28407  0.58589 -0.19438 -0.03421  0.60760 -0.29009  0.14333 -0.24578  0.67724   42004101
               -3               1               1              HB  0.64379 -0.29034  0.62359  0.05101 -0.09739  0.65632 -0.29229 -0.00172 -0.10853  0.62123   42004181
               -4               1               1              HB  0.80705 -0.20664  0.72107 -0.31664 -0.26485  0.80491 -0.13518  0.00331 -0.31317  0.77634   42004201
               -5               1               1              HB  0.61213 -0.21308  0.59649 -0.26830 -0.28581  0.63289 -0.23297 -0.06077 -0.28377  0.65080   42004281
               -6               1               1              HB  0.64341 -0.23040  0.65377  0.05524 -0.24642  0.63214  0.04954 -0.08114 -0.18587  0.60155   42004301
               -7               1               1              HB  0.59855 -0.19545  0.59089 -0.16119 -0.22499  0.65207 -0.03969  0.00384 -0.18702  0.59748   42004381
               -8               1               1              HB  0.75391 -0.22405  0.69140  0.17546 -0.17644  0.69895 -0.08873 -0.06644 -0.19728  0.72601   42004401
               -9               1               1              HB  0.62999 -0.19616  0.63815 -0.20746 -0.18900  0.65906 -0.02759  0.03013 -0.23419  0.61793   42004481
              -10               1               1              HB  0.71376 -0.26500  0.68117  0.00278 -0.24659  0.69080 -0.01285  0.00578 -0.30215  0.68697   42004501
              -11               1               1              HB  0.71962 -0.22378  0.71840 -0.14799 -0.27365  0.77003 -0.20091  0.01358 -0.33304  0.75513   42004581
              -12               1               1              HB  0.69880 -0.22742  0.68947 -0.07366 -0.15550  0.71701  0.03294 -0.00825 -0.23066  0.59492   42004601
              -13               1               1              HB  0.72642 -0.29987  0.78058 -0.10091 -0.29600  0.74676  0.26425  0.06413 -0.27935  0.64502   42004681
              -14               1               1              HB  0.62366 -0.14540  0.60507 -0.33085 -0.24735  0.62403 -0.02417  0.01394 -0.27700  0.64182   42004701
              -15               1               1              HB  0.66676 -0.22868  0.69161  0.12977 -0.19449  0.63144  0.03323 -0.09541 -0.14381  0.59035   42004781
              -15               1               2              HB  0.74012 -0.33133  0.76259 -0.21345 -0.31998  0.75010  0.00194 -0.01886 -0.24914  0.68361   42008781
              -16               1               1              HB  0.62817 -0.25976  0.60514  0.05095 -0.20404  0.63598  0.18280  0.01714 -0.21973  0.54707   42004801
              -16               1               2              HB  0.69861 -0.29320  0.73680 -0.15692 -0.26374  0.75013  0.08652  0.05305 -0.31703  0.69148   42008801
               -1               2               1              HB  0.73220 -0.24176  0.69234 -0.10159 -0.30799  0.65234  0.16640 -0.02840 -0.30814  0.68624   42004082
               -2               2               1              HB  1.13778 -0.28297  1.16444 -0.25391 -0.55340  1.25374 -0.18015  0.05203 -0.44582  1.10839   42004102
               -3               2               1              HB  0.67299 -0.19487  0.65725  0.21052 -0.37289  0.61417  0.41670 -0.08502 -0.27406  0.59723   42004182
               -4               2               1              HB  0.85810 -0.38271  0.83330  0.19492 -0.29547  0.75257 -0.08530  0.00569 -0.28362  0.83146   42004202
               -5               2               1              HB  0.83949 -0.14021  0.71412 -0.13823 -0.28528  0.81249 -0.10214  0.00400 -0.27791  0.73217   42004282
               -6               2               1              HB  0.58045 -0.16438  0.53251 -0.00123 -0.21129  0.58216  0.02450 -0.02067 -0.21667  0.59989   42004302
               -7               2               1              HB  0.66904 -0.24751  0.73193  0.02433 -0.26362  0.70941  0.09087  0.00537 -0.24486  0.68108   42004382
               -8               2               1              HB  0.61477 -0.23989  0.66176  0.09786 -0.20188  0.62565 -0.27645 -0.03525 -0.21488  0.61856   42004402
               -9               2               1              HB  0.77176 -0.22328  0.67572 -0.04999 -0.24885  0.72799  0.02026  0.01494 -0.29048  0.72276   42004482
              -10               2               1              HB  0.78021 -0.29254  0.78362  0.19103 -0.20065  0.71084  0.21532 -0.04287 -0.16944  0.70997   42004502
              -11               2               1              HB  0.77570 -0.23849  0.75037 -0.12747 -0.37929  0.76023  0.15082 -0.08770 -0.26307  0.82135   42004582
              -12               2               1              HB  0.60086 -0.25019  0.63356  0.34848 -0.23736  0.59120 -0.04888 -0.04527 -0.15642  0.60217   42004602
              -13               2               1              HB  0.86435 -0.27416  0.82777 -0.08916 -0.27860  0.80792 -0.19867 -0.00392 -0.30661  0.86968   42004682
              -14               2               1              HB  0.66690 -0.16961  0.62554 -0.16832 -0.24602  0.66842 -0.20292 -0.05868 -0.19790  0.62609   42004702
              -15               2               1              HB  0.84898 -0.32748  0.81793 -0.12514 -0.33896  0.80796 -0.29433 -0.03948 -0.33019  0.76780   42004782
              -15               2               2              HB  1.10710 -0.35045  1.01554 -0.02842 -0.48603  1.14193 -0.16299 -0.13139 -0.40690  1.10944   42008782
              -16               2               1              HB  1.09186 -0.45308  1.15616 -0.10042 -0.45379  1.12272 -0.18695 -0.09064 -0.34554  1.04088   42004802
              -16               2               2              HB  1.53578 -0.58548  1.56407 -0.02103 -0.68965  1.47629  0.28301  0.21601 -0.62482  1.41705   42008802
               -1               3               1              HB  0.60120 -0.22974  0.59916 -0.00169 -0.16804  0.63027 -0.04266  0.02307 -0.17090  0.54876   42004083
               -2               3               1              HB  0.54866 -0.12453  0.53278 -0.20796 -0.15809  0.56150 -0.10872 -0.01725 -0.13725  0.55230   42004103
               -3               3               1              HB  0.47082 -0.18402  0.47983 -0.12061 -0.09685  0.48597 -0.09670  0.04796 -0.14573  0.52734   42004183
               -4               3               1              HB  0.56932 -0.27936  0.55893  0.08104 -0.18824  0.55397  0.06117 -0.00457 -0.17819  0.53315   42004203
               -5               3               1              HB  0.54267 -0.09603  0.50595 -0.06955 -0.17776  0.53088  0.43262 -0.00106 -0.21440  0.56788   42004283
               -6               3               1              HB  0.51938 -0.26710  0.59542  0.12883 -0.20886  0.60830  0.05065  0.02779 -0.20129  0.53224   42004303
               -7               3               1              HB  0.55602 -0.28030  0.54324 -0.27701 -0.15325  0.54481 -0.07968  0.09053 -0.25459  0.57922   42004383
               -8               3               1              HB  0.54767 -0.15883  0.57419 -0.08302 -0.32573  0.54728  0.14117 -0.00844 -0.26590  0.56475   42004403
               -9               3               1              HB  0.51989 -0.11441  0.54504  0.05458 -0.23338  0.53721 -0.01901 -0.05879 -0.18001  0.50138   42004483
              -10               3               1              HB  0.61173 -0.15952  0.61587 -0.03653 -0.26564  0.59282  0.04171 -0.00022 -0.22513  0.58193   42004503
              -11               3               1              HB  0.58347 -0.25599  0.56354  0.01181 -0.14921  0.56448  0.01427  0.03382 -0.18146  0.51826   42004583
              -12               3               1              HB  0.53710 -0.24562  0.55543  0.08184 -0.14215  0.61318 -0.05593 -0.04561 -0.11341  0.57036   42004603
              -13               3               1              HB  0.60658 -0.22571  0.61469 -0.03780 -0.21003  0.62768  0.09169 -0.02238 -0.25510  0.67524   42004683
              -14               3               1              HB  0.58957 -0.26344  0.58036  0.04906 -0.02901  0.55689  0.02643  0.08053 -0.16755  0.58220   42004703
              -15               3               1              HB  0.67633 -0.37795  0.70046 -0.02909 -0.10063  0.67998  0.33869  0.01447 -0.08365  0.64729   42004783
              -15               3               2              HB  0.70372 -0.22963  0.70099 -0.28430 -0.28619  0.65981 -0.11202 -0.05964 -0.30567  0.66645   42008783
              -16               3               1              HB  0.62372 -0.20508  0.65291 -0.08642 -0.27056  0.60505 -0.08961  0.02766 -0.28051  0.58781   42004803
              -16               3               2              HB  0.64999 -0.28172  0.67717  0.17378 -0.07113  0.65443  0.01722  0.13994 -0.22102  0.63672   42008803
               -1               4               1              HB  0.76596 -0.23839  0.71734 -0.18465 -0.27997  0.71678 -0.14232 -0.00551 -0.29607  0.72478   42004084
               -2               4               1              HB  0.55053 -0.12467  0.58783  0.19806 -0.25588  0.56737  0.10256 -0.09735 -0.09514  0.53740   42004104
               -3               4               1              HB  0.54468 -0.20211  0.54310  0.21638 -0.19637  0.55275  0.45886  0.01005 -0.16771  0.51893   42004184
               -4               4               1              HB  0.80923 -0.12598  0.81576  0.16538 -0.31741  0.83776  0.17522 -0.00530 -0.27375  0.87067   42004204
               -5               4               1              HB  0.65700 -0.29770  0.62431 -0.13207 -0.11976  0.64114 -0.34699  0.10846 -0.28141  0.62180   42004284
               -6               4               1              HB  0.65295 -0.19634  0.61044 -0.08385 -0.11527  0.59667 -0.05910  0.08006 -0.27204  0.66673   42004304
               -7               4               1              HB  0.62448 -0.22055  0.60917 -0.06336 -0.16103  0.59305  0.00286 -0.03608 -0.17431  0.53790   42004384
               -8               4               1              HB  1.09453 -0.20691  1.01853 -0.21871 -0.34352  1.06446 -0.15468 -0.00690 -0.42967  1.10034   42004404
               -9               4               1              HB  0.58911 -0.19764  0.58215  0.09772 -0.22541  0.57189  0.11758 -0.05277 -0.15046  0.52483   42004484
              -10               4               1              HB  0.81188 -0.33629  0.83270  0.08765 -0.31245  0.82891 -0.06497  0.05104 -0.34005  0.88119   42004504
              -11               4               1              HB  0.68998 -0.24385  0.61578 -0.01647 -0.13567  0.57131 -0.19702 -0.06792 -0.11096  0.66767   42004584
              -12               4               1              HB  0.88512 -0.23502  0.74494 -0.13694 -0.20591  0.75832 -0.04083 -0.02856 -0.27387  0.92395   42004604
              -13               4               1              HB  0.77456 -0.27823  0.76418  0.05446 -0.29702  0.81133 -0.19670 -0.07612 -0.24491  0.82755   42004684
              -14               4               1              HB  0.80966 -0.56584  0.85287  0.45345 -0.31129  0.78039  0.52444 -0.01686 -0.30111  0.79894   42004704
              -15               4               1              HB  0.79367 -0.43331  0.79724  0.25464 -0.30340  0.75919  0.14205 -0.00637 -0.29084  0.74803   42004784
              -15               4               2              HB  0.62262 -0.20835  0.58633  0.17590 -0.23893  0.58814  0.10805 -0.04083 -0.21602  0.61051   42008784
              -16               4               1              HB  0.55278 -0.22043  0.51898  0.02583 -0.19130  0.56436  0.03324  0.04712 -0.24273  0.57764   42004804
              -16               4               2              HB  0.73417 -0.22147  0.70485  0.13475 -0.49750  0.69420  0.48512 -0.15861 -0.37555  0.73205   42008804
               -1               5               1              HB  0.82326 -0.33536  0.76123  0.10650 -0.33088  0.78068  0.04169 -0.05955 -0.31803  0.80361   42004085
               -2               5               1              HB  0.65885 -0.27709  0.69579 -0.01220 -0.12927  0.61389 -0.14492 -0.05333 -0.13367  0.60709   42004105
               -3               5               1              HB  0.46630 -0.12679  0.45373 -0.05713 -0.19368  0.50230 -0.12988 -0.07936 -0.12390  0.45902   42004185
               -4               5               1              HB  0.70945 -0.27366  0.73707  0.08240 -0.30063  0.71297  0.12307 -0.09699 -0.24682  0.69424   42004205
               -5               5               1              HB  0.69103 -0.38895  0.72916 -0.20509 -0.22526  0.66813  0.22714  0.07400 -0.30194  0.72654   42004285
               -6               5               1              HB  0.61674 -0.25303  0.63658 -0.10155 -0.16681  0.62354  0.02956  0.05859 -0.22353  0.59598   42004305
               -7               5               1              HB  0.52961 -0.22378  0.50755 -0.07950 -0.19901  0.51252 -0.02464  0.00735 -0.24054  0.56330   42004385
               -8               5               1              HB  0.68600 -0.25289  0.62698  0.05966 -0.23877  0.68588 -0.03310  0.05295 -0.32619  0.67816   42004405
               -9               5               1              HB  0.62988 -0.17366  0.60948  0.05104 -0.28372  0.62190  0.24289 -0.01675 -0.23034  0.62991   42004485
              -10               5               1              HB  0.67643 -0.27970  0.78721  0.07194 -0.35216  0.76315  0.18401 -0.01390 -0.32728  0.73679   42004505
              -11               5               1              HB  0.64128 -0.23382  0.65157  0.10082 -0.21324  0.63917 -0.00463 -0.09643 -0.16427  0.59793   42004585
              -12               5               1              HB  0.60895 -0.16633  0.60981 -0.15117 -0.23951  0.64241 -0.06763 -0.05702 -0.15922  0.62520   42004605
              -13               5               1              HB  0.69655 -0.19134  0.68981 -0.21598 -0.21614  0.67601 -0.14821 -0.05213 -0.23402  0.70085   42004685
              -14               5               1              HB  0.73058 -0.26743  0.70278 -0.17257 -0.33219  0.73358  0.25718 -0.03938 -0.31650  0.70908   42004705
