#U fC

#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.71052 -0.27912  0.71681 -0.06571 -0.29097  0.73387 -0.33732  0.00138 -0.32126  0.72299   42004081
               -2               1               1              HB  0.64444 -0.23164  0.61406  0.00723 -0.26444  0.67852 -0.24007 -0.06938 -0.23760  0.60541   42004101
               -3               1               1              HB  0.63710 -0.25846  0.65658  0.02582 -0.19674  0.68033 -0.25589 -0.22275 -0.23852  0.66780   42004181
               -4               1               1              HB  0.73174 -0.23266  0.67377 -0.03407 -0.28245  0.68711 -0.23444  0.03168 -0.20637  0.64931   42004201
               -5               1               1              HB  0.58083 -0.18037  0.61478  0.05150 -0.18917  0.60088 -0.21336 -0.02065 -0.27825  0.59601   42004281
               -6               1               1              HB  0.65505 -0.20564  0.66608 -0.05786 -0.25749  0.65741 -0.28676 -0.05052 -0.21641  0.63797   42004301
               -7               1               1              HB  0.61800 -0.19518  0.59723 -0.03809 -0.20988  0.61401 -0.20877  0.04204 -0.25373  0.64151   42004381
               -8               1               1              HB  0.68354 -0.22035  0.65026 -0.04964 -0.22031  0.65435 -0.23672  0.00527 -0.16647  0.64080   42004401
               -9               1               1              HB  0.62433 -0.21897  0.64329 -0.02771 -0.26022  0.65882 -0.20201 -0.03680 -0.22377  0.63398   42004481
              -10               1               1              HB  0.68586 -0.25025  0.64855 -0.05632 -0.27662  0.66277 -0.28837 -0.05221 -0.24221  0.67403   42004501
              -11               1               1              HB  0.70766 -0.23638  0.71081 -0.01578 -0.24636  0.74645 -0.30723 -0.09116 -0.35113  0.72482   42004581
              -12               1               1              HB  0.65726 -0.21214  0.62766  0.01404 -0.20429  0.64240 -0.23725  0.04966 -0.25541  0.65607   42004601
              -13               1               1              HB  0.73506 -0.24652  0.68723 -0.04078 -0.24025  0.69124 -0.25237  0.05079 -0.14315  0.72741   42004681
              -14               1               1              HB  0.61208 -0.20976  0.61050 -0.00892 -0.18499  0.62824 -0.19029 -0.01521 -0.18947  0.59656   42004701
              -15               1               1              HB  0.62359 -0.23701  0.68907  0.06738 -0.17319  0.61400 -0.21491 -0.12677 -0.18909  0.65540   42004781
              -15               1               2              HB  0.72516 -0.30352  0.75817  0.02157 -0.24931  0.71162 -0.24102  0.09849 -0.18147  0.74088   42008781
              -16               1               1              HB  0.63801 -0.20501  0.60724 -0.03564 -0.20803  0.62781 -0.22757 -0.00676 -0.20243  0.67097   42004801
              -16               1               2              HB  0.82396 -0.27753  0.79726  0.01182 -0.26309  0.75312 -0.23686  0.03065 -0.18143  0.78945   42008801
               -1               2               1              HB  0.81601 -0.32203  0.81416  0.04629 -0.26325  0.75330 -0.28042  0.01105 -0.28509  0.78633   42004082
               -2               2               1              HB  0.68485 -0.23692  0.65563 -0.02413 -0.22344  0.66064 -0.26305  0.04957 -0.31367  0.69384   42004102
               -3               2               1              HB  0.60976 -0.22615  0.60811 -0.02328 -0.23990  0.60946 -0.21325  0.06153 -0.18074  0.60010   42004182
               -4               2               1              HB  0.80814 -0.35076  0.78580 -0.01568 -0.27890  0.78744 -0.28081  0.02673 -0.25251  0.79828   42004202
               -5               2               1              HB  0.67162 -0.25521  0.70025 -0.07794 -0.31296  0.69592 -0.24076  0.13917 -0.25468  0.67831   42004282
               -6               2               1              HB  0.56770 -0.19291  0.51970 -0.03168 -0.16624  0.54404 -0.21648 -0.05102 -0.17997  0.55007   42004302
               -7               2               1              HB  0.66569 -0.22481  0.67657 -0.01588 -0.25233  0.67722 -0.20655  0.01228 -0.22363  0.63125   42004382
               -8               2               1              HB  0.58782 -0.21841  0.61255  0.02796 -0.18359  0.62189 -0.21393  0.07489 -0.15741  0.60087   42004402
               -9               2               1              HB  0.67256 -0.25110  0.67970  0.00616 -0.22564  0.68656 -0.15345  0.13827 -0.24133  0.69543   42004482
              -10               2               1              HB  0.66272 -0.22293  0.62048  0.00378 -0.18782  0.60907 -0.18407  0.11268 -0.20508  0.62701   42004502
