# HF gains obtained from A. Krohotin (krohotin@mail.cern.ch) on June 30, 2006
# 66 channels are missed due to missed QIE calibrations
# 9 channels are set to 0 due to missed source measurements
# cap0=cap1=cap2=cap3
#
#  eta  phi  dep  det     cap0     cap1     cap2     cap3  
-29   1   1   HF   0.0545595   0.0545595   0.0545595   0.0545595
-29   1   2   HF   0.107564   0.107564   0.107564   0.107564
-30   1   1   HF   0.064718   0.064718   0.064718   0.064718
-30   1   2   HF   0.122882   0.122882   0.122882   0.122882
-31   1   1   HF   0.0555966   0.0555966   0.0555966   0.0555966
-31   1   2   HF   0.081732   0.081732   0.081732   0.081732
-32   1   1   HF   0.0600589   0.0600589   0.0600589   0.0600589
-32   1   2   HF   0.138227   0.138227   0.138227   0.138227
-33   1   1   HF   0.0610814   0.0610814   0.0610814   0.0610814
-33   1   2   HF   0.0853161   0.0853161   0.0853161   0.0853161
-34   1   1   HF   0.0641248   0.0641248   0.0641248   0.0641248
-34   1   2   HF   0.109155   0.109155   0.109155   0.109155
-35   1   1   HF   0.0789464   0.0789464   0.0789464   0.0789464
-35   1   2   HF   0.099511   0.099511   0.099511   0.099511
-36   1   1   HF   0   0   0   0
-36   1   2   HF   0   0   0   0
-37   1   1   HF   0   0   0   0
-37   1   2   HF   0   0   0   0
-38   1   1   HF   0.0866523   0.0866523   0.0866523   0.0866523
-38   1   2   HF   0.127185   0.127185   0.127185   0.127185
-39   1   1   HF   0.0702036   0.0702036   0.0702036   0.0702036
-39   1   2   HF   0.117548   0.117548   0.117548   0.117548
-40   1   1   HF   0.0679324   0.0679324   0.0679324   0.0679324
-40   1   2   HF   0.109014   0.109014   0.109014   0.109014
-41   1   1   HF   0.0819532   0.0819532   0.0819532   0.0819532
-41   1   2   HF   0.147345   0.147345   0.147345   0.147345
-29   3   1   HF   0.0712225   0.0712225   0.0712225   0.0712225
-29   3   2   HF   0.116167   0.116167   0.116167   0.116167
-30   3   1   HF   0.104979   0.104979   0.104979   0.104979
-30   3   2   HF   0.105022   0.105022   0.105022   0.105022
-31   3   1   HF   0.0655108   0.0655108   0.0655108   0.0655108
-31   3   2   HF   0.0773792   0.0773792   0.0773792   0.0773792
-32   3   1   HF   0.0652953   0.0652953   0.0652953   0.0652953
-32   3   2   HF   0.104417   0.104417   0.104417   0.104417
-33   3   1   HF   0.0694031   0.0694031   0.0694031   0.0694031
-33   3   2   HF   0.12957   0.12957   0.12957   0.12957
-34   3   1   HF   0.0904057   0.0904057   0.0904057   0.0904057
-34   3   2   HF   0.124612   0.124612   0.124612   0.124612
-35   3   1   HF   0.0636729   0.0636729   0.0636729   0.0636729
-35   3   2   HF   0.124084   0.124084   0.124084   0.124084
-36   3   1   HF   0.105981   0.105981   0.105981   0.105981
-36   3   2   HF   0.118318   0.118318   0.118318   0.118318
-37   3   1   HF   0.0694264   0.0694264   0.0694264   0.0694264
-37   3   2   HF   0.120755   0.120755   0.120755   0.120755
-38   3   1   HF   0.0998557   0.0998557   0.0998557   0.0998557
-38   3   2   HF   0.132063   0.132063   0.132063   0.132063
-39   3   1   HF   0.0793834   0.0793834   0.0793834   0.0793834
-39   3   2   HF   0.140239   0.140239   0.140239   0.140239
-29   5   1   HF   0.0722445   0.0722445   0.0722445   0.0722445
-29   5   2   HF   0.114605   0.114605   0.114605   0.114605
-30   5   1   HF   0.0612937   0.0612937   0.0612937   0.0612937
-30   5   2   HF   0.115942   0.115942   0.115942   0.115942
-31   5   1   HF   0.0642562   0.0642562   0.0642562   0.0642562
-31   5   2   HF   0.10187   0.10187   0.10187   0.10187
-32   5   1   HF   0.0518306   0.0518306   0.0518306   0.0518306
-32   5   2   HF   0.0843958   0.0843958   0.0843958   0.0843958
-33   5   1   HF   0.070331   0.070331   0.070331   0.070331
-33   5   2   HF   0.121418   0.121418   0.121418   0.121418
-34   5   1   HF   0.0752904   0.0752904   0.0752904   0.0752904
-34   5   2   HF   0.115053   0.115053   0.115053   0.115053
-35   5   1   HF   0.082637   0.082637   0.082637   0.082637
-35   5   2   HF   0.137835   0.137835   0.137835   0.137835
-36   5   1   HF   0.0980947   0.0980947   0.0980947   0.0980947
-36   5   2   HF   0.170318   0.170318   0.170318   0.170318
-37   5   1   HF   0.0785855   0.0785855   0.0785855   0.0785855
-37   5   2   HF   0.140023   0.140023   0.140023   0.140023
-38   5   1   HF   0.0662212   0.0662212   0.0662212   0.0662212
-38   5   2   HF   0.153698   0.153698   0.153698   0.153698
-39   5   1   HF   0.091351   0.091351   0.091351   0.091351
-39   5   2   HF   0.123312   0.123312   0.123312   0.123312
-40   5   1   HF   0.0903568   0.0903568   0.0903568   0.0903568
-40   5   2   HF   0.149018   0.149018   0.149018   0.149018
-41   5   1   HF   0.126837   0.126837   0.126837   0.126837
-41   5   2   HF   0.152712   0.152712   0.152712   0.152712
-29   7   2   HF   0.111818   0.111818   0.111818   0.111818
-30   7   2   HF   0.111129   0.111129   0.111129   0.111129
-31   7   2   HF   0.0948884   0.0948884   0.0948884   0.0948884
-32   7   2   HF   0.0939025   0.0939025   0.0939025   0.0939025
-33   7   2   HF   0.129811   0.129811   0.129811   0.129811
-34   7   2   HF   0.0999293   0.0999293   0.0999293   0.0999293
-35   7   1   HF   0.0605133   0.0605133   0.0605133   0.0605133
-35   7   2   HF   0.102349   0.102349   0.102349   0.102349
-36   7   1   HF   0.0679417   0.0679417   0.0679417   0.0679417
-36   7   2   HF   0.0945095   0.0945095   0.0945095   0.0945095
-37   7   1   HF   0.0920133   0.0920133   0.0920133   0.0920133
-37   7   2   HF   0.145365   0.145365   0.145365   0.145365
-38   7   1   HF   0.0741327   0.0741327   0.0741327   0.0741327
-38   7   2   HF   0.154854   0.154854   0.154854   0.154854
-39   7   1   HF   0.0554038   0.0554038   0.0554038   0.0554038
-39   7   2   HF   0.124688   0.124688   0.124688   0.124688
-29   9   1   HF   0.0697789   0.0697789   0.0697789   0.0697789
-29   9   2   HF   0.0976605   0.0976605   0.0976605   0.0976605
-30   9   1   HF   0.0607783   0.0607783   0.0607783   0.0607783
-30   9   2   HF   0.102165   0.102165   0.102165   0.102165
-31   9   1   HF   0.0651084   0.0651084   0.0651084   0.0651084
-31   9   2   HF   0.116284   0.116284   0.116284   0.116284
-32   9   1   HF   0.0619099   0.0619099   0.0619099   0.0619099
-32   9   2   HF   0.0956816   0.0956816   0.0956816   0.0956816
-33   9   1   HF   0.0654696   0.0654696   0.0654696   0.0654696
-33   9   2   HF   0.112426   0.112426   0.112426   0.112426
-34   9   1   HF   0.0789701   0.0789701   0.0789701   0.0789701
-34   9   2   HF   0.0981366   0.0981366   0.0981366   0.0981366
-35   9   1   HF   0.0711365   0.0711365   0.0711365   0.0711365
-35   9   2   HF   0.125766   0.125766   0.125766   0.125766
-36   9   1   HF   0.0835412   0.0835412   0.0835412   0.0835412
-36   9   2   HF   0.0928829   0.0928829   0.0928829   0.0928829
-37   9   1   HF   0.0746432   0.0746432   0.0746432   0.0746432
-37   9   2   HF   0.144884   0.144884   0.144884   0.144884
-38   9   1   HF   0.087353   0.087353   0.087353   0.087353
-38   9   2   HF   0.131032   0.131032   0.131032   0.131032
-39   9   1   HF   0.0687164   0.0687164   0.0687164   0.0687164
-39   9   2   HF   0.122249   0.122249   0.122249   0.122249
-40   9   1   HF   0.0837813   0.0837813   0.0837813   0.0837813
-40   9   2   HF   0.123206   0.123206   0.123206   0.123206
-41   9   1   HF   0.113405   0.113405   0.113405   0.113405
-41   9   2   HF   0.144838   0.144838   0.144838   0.144838
-29   11   1   HF   0.0576975   0.0576975   0.0576975   0.0576975
-29   11   2   HF   0.11885   0.11885   0.11885   0.11885
-30   11   1   HF   0.0634704   0.0634704   0.0634704   0.0634704
-30   11   2   HF   0.124903   0.124903   0.124903   0.124903
-31   11   1   HF   0.0690921   0.0690921   0.0690921   0.0690921
-31   11   2   HF   0.104432   0.104432   0.104432   0.104432
-32   11   1   HF   0.0846363   0.0846363   0.0846363   0.0846363
