#  eta   phi   dep   det    value 
   -1   1    1    HB    1.0455899855
   -2   1    1    HB    1.00819547309
   -3   1    1    HB    1.0040758624
   -4   1    1    HB    1.10222124018
   -5   1    1    HB    1.01222075641
   -6   1    1    HB    1.02897598594
   -7   1    1    HB    1.00383222663
   -8   1    1    HB    0.954714728373
   -9   1    1    HB    0.977256399478
   -10   1    1    HB    1.01386660394
   -11   1    1    HB    1.04939677859
   -12   1    1    HB    0.952307778546
   -13   1    1    HB    1.03829290323
   -14   1    1    HB    0.968687010276
   -15   1    1    HB    0.9453182414
   -15   1    2    HB    0.947244664276
   -16   1    1    HB    0.991734221081
   -16   1    2    HB    1.03686353397
   -1   2    1    HB    1.05294491355
   -2   2    1    HB    1.06247121633
   -3   2    1    HB    0.950246357519
   -4   2    1    HB    1.08992299173
   -5   2    1    HB    0.989773368202
   -6   2    1    HB    0.950366330138
   -7   2    1    HB    1.06713455717
   -8   2    1    HB    1.03048668767
   -9   2    1    HB    0.961628406153
   -10   2    1    HB    0.997335460472
   -11   2    1    HB    0.98504941822
   -12   2    1    HB    0.944936893669
   -13   2    1    HB    0.97788604225
   -14   2    1    HB    0.955140644982
   -15   2    1    HB    0.926187982788
   -15   2    2    HB    0.97445879875
   -16   2    1    HB    1.0060809952
   -16   2    2    HB    0.98127631767
   -1   3    1    HB    0.993392480612
   -2   3    1    HB    0.979734824084
   -3   3    1    HB    1.02038018809
   -4   3    1    HB    0.993230041157
   -5   3    1    HB    1.02032068931
   -6   3    1    HB    0.953767400111
   -7   3    1    HB    0.996228415084
   -8   3    1    HB    1.01121203184
   -9   3    1    HB    1.00471110199
   -10   3    1    HB    1.01893568205
   -11   3    1    HB    0.9557897905
   -12   3    1    HB    0.95706598592
   -13   3    1    HB    1.00724599945
   -14   3    1    HB    0.996666922094
   -15   3    1    HB    0.961659097044
   -15   3    2    HB    0.992141893438
   -16   3    1    HB    0.942148378834
   -16   3    2    HB    0.983712407138
   -1   4    1    HB    1.01717485071
   -2   4    1    HB    1.01404819936
   -3   4    1    HB    0.982711824339
   -4   4    1    HB    1.01744574636
   -5   4    1    HB    1.01791353205
   -6   4    1    HB    0.995519261083
   -7   4    1    HB    1.06705356168
   -8   4    1    HB    0.955495803531
   -9   4    1    HB    0.977020164104
   -10   4    1    HB    0.998031462364
   -11   4    1    HB    0.954614969174
   -12   4    1    HB    0.985929636588
   -13   4    1    HB    0.960384614328
   -14   4    1    HB    1.03727035802
   -15   4    1    HB    1.00717668345
   -15   4    2    HB    1.03981495025
   -16   4    1    HB    1.03964941535
   -16   4    2    HB    0.951645580535
   -1   5    1    HB    1.05582801178
   -2   5    1    HB    1.09962676094
   -3   5    1    HB    1.01929666685
   -4   5    1    HB    1.06072941445
   -5   5    1    HB    1.01627447
   -6   5    1    HB    0.997761492935
   -7   5    1    HB    1.0541677647
   -8   5    1    HB    0.994262742068
   -9   5    1    HB    1.06927877336
   -10   5    1    HB    1.05814371731
   -11   5    1    HB    0.966161139833
   -12   5    1    HB    0.989546056662
   -13   5    1    HB    1.02850348603
   -14   5    1    HB    0.945227578646
   -15   5    1    HB    0.956602515261
   -15   5    2    HB    1.00627924746
   -16   5    1    HB    0.98246369975
   -16   5    2    HB    1.01387587747
   -1   6    1    HB    1.00052153185
   -2   6    1    HB    1.02556689993
   -3   6    1    HB    0.929876475715
   -4   6    1    HB    1.04917062655
   -5   6    1    HB    1.04751107065
   -6   6    1    HB    1.03061967007
   -7   6    1    HB    0.976856840081
   -8   6    1    HB    0.922636247034
   -9   6    1    HB    0.999249072482
   -10   6    1    HB    0.947243093027
   -11   6    1    HB    0.987591113204
   -12   6    1    HB    1.01318565667
   -13   6    1    HB    1.01114775035
   -14   6    1    HB    0.96353806957
   -15   6    1    HB    0.977990608222
   -15   6    2    HB    1.00215106067
   -16   6    1    HB    0.999880596444
   -16   6    2    HB    1.03620901814
   -1   7    1    HB    1.04590432007
   -2   7    1    HB    0.9829742131
   -3   7    1    HB    1.03230081982
   -4   7    1    HB    0.962911619289
   -5   7    1    HB    1.05382918262
   -6   7    1    HB    0.987546643647
   -7   7    1    HB    1.09450604777
   -8   7    1    HB    0.993974884979
   -9   7    1    HB    1.02571427418
   -10   7    1    HB    1.01306425028
   -11   7    1    HB    0.991271123988
   -12   7    1    HB    1.01736575197
   -13   7    1    HB    1.02091429404
   -14   7    1    HB    0.978790607625
   -15   7    1    HB    0.992450467483
   -15   7    2    HB    1.0316380547
   -16   7    1    HB    1.0293517803
   -16   7    2    HB    1.04976151676
   -1   8    1    HB    0.946273543672
   -2   8    1    HB    0.995410756966
   -3   8    1    HB    1.08447356217
   -4   8    1    HB    0.917010756721
   -5   8    1    HB    1.0691565365
   -6   8    1    HB    0.963049626265
   -7   8    1    HB    1.0112811959
   -8   8    1    HB    0.9857719279
   -9   8    1    HB    0.984027740968
   -10   8    1    HB    1.05901603947
   -11   8    1    HB    0.966762671481
   -12   8    1    HB    0.970093767252
   -13   8    1    HB    0.997584023292
   -14   8    1    HB    1.00920895746
   -15   8    1    HB    1.00554240735
   -15   8    2    HB    1.04540538019
   -16   8    1    HB    0.97191576322
   -16   8    2    HB    0.984457551914
   -1   9    1    HB    1.04017552407
   -2   9    1    HB    0.979460752568
   -3   9    1    HB    0.962760116834
   -4   9    1    HB    1.0636556573
   -5   9    1    HB    0.996867098722
   -6   9    1    HB    1.00133587449
   -7   9    1    HB    1.04348284533
   -8   9    1    HB    0.939044441717
   -9   9    1    HB    0.958831180204
   -10   9    1    HB    0.984368697381
   -11   9    1    HB    1.0118744755
   -12   9    1    HB    1.01827187121
   -13   9    1    HB    1.0432655149
   -14   9    1    HB    1.05827667902
   -15   9    1    HB    1.00185191244
   -15   9    2    HB    0.974843923759
   -16   9    1    HB    0.988167876871
   -16   9    2    HB    1.00736423798
   -1   10    1    HB    1.00293700361
   -2   10    1    HB    1.02065584868
   -3   10    1    HB    1.02645114633
   -4   10    1    HB    0.996846166433
   -5   10    1    HB    0.97629665931
   -6   10    1    HB    1.02644473959
   -7   10    1    HB    1.04206194083
   -8   10    1    HB    0.968801574851
   -9   10    1    HB    0.996015987654
   -10   10    1    HB    0.941543397509
   -11   10    1    HB    0.956200493337
   -12   10    1    HB    1.01506299618
   -13   10    1    HB    1.00968597542
   -14   10    1    HB    1.06897993614
   -15   10    1    HB    1.02324258703
   -15   10    2    HB    1.03362463903
   -16   10    1    HB    0.954982591089
   -16   10    2    HB    0.985033843
   -1   11    1    HB    0.946039792749
   -2   11    1    HB    0.969186503912
   -3   11    1    HB    1.05707920666
   -4   11    1    HB    0.931229503131
   -5   11    1    HB    0.983940105217
   -6   11    1    HB    0.93185323686
   -7   11    1    HB    1.01756344009
   -8   11    1    HB    1.00178584858
   -9   11    1    HB    0.984044539903
   -10   11    1    HB    0.954186937828
   -11   11    1    HB    1.03315711262
   -12   11    1    HB    1.02633256733
   -13   11    1    HB    1.01046787327
   -14   11    1    HB    1.00548556079
   -15   11    1    HB    1.05178631522
   -15   11    2    HB    1.01565175053
   -16   11    1    HB    0.928374733253
   -16   11    2    HB    0.977529727361
   -1   12    1    HB    1.02213439367
   -2   12    1    HB    0.9825990654
   -3   12    1    HB    0.94864380153
   -4   12    1    HB    1.00408273621
   -5   12    1    HB    0.913360455113
