#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.18268  0.18268  0.18268  0.18268   42004081
               -2               1               1              HB  0.16267  0.16267  0.16267  0.16267   42004101
               -3               1               1              HB  0.14604  0.14604  0.14604  0.14604   42004181
               -4               1               1              HB  0.17250  0.17250  0.17250  0.17250   42004201
               -5               1               1              HB  0.14901  0.14901  0.14901  0.14901   42004281
               -6               1               1              HB  0.15469  0.15469  0.15469  0.15469   42004301
               -7               1               1              HB  0.14134  0.14134  0.14134  0.14134   42004381
               -8               1               1              HB  0.15313  0.15313  0.15313  0.15313   42004401
               -9               1               1              HB  0.12639  0.12639  0.12639  0.12639   42004481
              -10               1               1              HB  0.14129  0.14129  0.14129  0.14129   42004501
              -11               1               1              HB  0.13467  0.13467  0.13467  0.13467   42004581
              -12               1               1              HB  0.12867  0.12867  0.12867  0.12867   42004601
              -13               1               1              HB  0.12414  0.12414  0.12414  0.12414   42004681
              -14               1               1              HB  0.10619  0.10619  0.10619  0.10619   42004701
              -15               1               1              HB  0.09549  0.09549  0.09549  0.09549   42004781
              -15               1               2              HB  0.09319  0.09319  0.09319  0.09319   42008781
              -16               1               1              HB  0.11641  0.11641  0.11641  0.11641   42004801
              -16               1               2              HB  0.09864  0.09864  0.09864  0.09864   42008801
               -1               2               1              HB  0.19646  0.19646  0.19646  0.19646   42004082
               -2               2               1              HB  0.18200  0.18200  0.18200  0.18200   42004102
               -3               2               1              HB  0.17006  0.17006  0.17006  0.17006   42004182
               -4               2               1              HB  0.17458  0.17458  0.17458  0.17458   42004202
               -5               2               1              HB  0.16222  0.16222  0.16222  0.16222   42004282
               -6               2               1              HB  0.15635  0.15635  0.15635  0.15635   42004302
               -7               2               1              HB  0.18847  0.18847  0.18847  0.18847   42004382
               -8               2               1              HB  0.14654  0.14654  0.14654  0.14654   42004402
               -9               2               1              HB  0.14505  0.14505  0.14505  0.14505   42004482
              -10               2               1              HB  0.14731  0.14731  0.14731  0.14731   42004502
              -11               2               1              HB  0.17441  0.17441  0.17441  0.17441   42004582
              -12               2               1              HB  0.13775  0.13775  0.13775  0.13775   42004602
              -13               2               1              HB  0.15019  0.15019  0.15019  0.15019   42004682
              -14               2               1              HB  0.13102  0.13102  0.13102  0.13102   42004702
              -15               2               1              HB  0.12117  0.12117  0.12117  0.12117   42004782
              -15               2               2              HB  0.10717  0.10717  0.10717  0.10717   42008782
              -16               2               1              HB  0.12357  0.12357  0.12357  0.12357   42004802
              -16               2               2              HB  0.12025  0.12025  0.12025  0.12025   42008802
               -1               3               1              HB  0.23681  0.23681  0.23681  0.23681   42004083
               -2               3               1              HB  0.21300  0.21300  0.21300  0.21300   42004103
               -3               3               1              HB  0.22283  0.22283  0.22283  0.22283   42004183
               -4               3               1              HB  0.20575  0.20575  0.20575  0.20575   42004203
               -5               3               1              HB  0.20685  0.20685  0.20685  0.20685   42004283
               -6               3               1              HB  0.19569  0.19569  0.19569  0.19569   42004303
               -7               3               1              HB  0.19907  0.19907  0.19907  0.19907   42004383
               -8               3               1              HB  0.18302  0.18302  0.18302  0.18302   42004403
