#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.21496  0.21496  0.21496  0.21496   42004081
               -2               1               1              HB  0.18992  0.18992  0.18992  0.18992   42004101
               -3               1               1              HB  0.16687  0.16687  0.16687  0.16687   42004181
               -4               1               1              HB  0.17810  0.17810  0.17810  0.17810   42004201
               -5               1               1              HB  0.16459  0.16459  0.16459  0.16459   42004281
               -6               1               1              HB  0.16455  0.16455  0.16455  0.16455   42004301
               -7               1               1              HB  0.14688  0.14688  0.14688  0.14688   42004381
               -8               1               1              HB  0.18123  0.18123  0.18123  0.18123   42004401
               -9               1               1              HB  0.13754  0.13754  0.13754  0.13754   42004481
              -10               1               1              HB  0.14949  0.14949  0.14949  0.14949   42004501
              -11               1               1              HB  0.14501  0.14501  0.14501  0.14501   42004581
              -12               1               1              HB  0.15533  0.15533  0.15533  0.15533   42004601
              -13               1               1              HB  0.12429  0.12429  0.12429  0.12429   42004681
              -14               1               1              HB  0.10947  0.10947  0.10947  0.10947   42004701
              -15               1               1              HB  0.11262  0.11262  0.11262  0.11262   42004781
              -15               1               2              HB  0.11153  0.11153  0.11153  0.11153   42008781
              -16               1               1              HB  0.12663  0.12663  0.12663  0.12663   42004801
              -16               1               2              HB  0.10436  0.10436  0.10436  0.10436   42008801
               -1               2               1              HB  0.21528  0.21528  0.21528  0.21528   42004082
               -2               2               1              HB  0.18830  0.18830  0.18830  0.18830   42004102
               -3               2               1              HB  0.18527  0.18527  0.18527  0.18527   42004182
               -4               2               1              HB  0.17521  0.17521  0.17521  0.17521   42004202
               -5               2               1              HB  0.16121  0.16121  0.16121  0.16121   42004282
               -6               2               1              HB  0.17707  0.17707  0.17707  0.17707   42004302
               -7               2               1              HB  0.19220  0.19220  0.19220  0.19220   42004382
               -8               2               1              HB  0.15390  0.15390  0.15390  0.15390   42004402
               -9               2               1              HB  0.14328  0.14328  0.14328  0.14328   42004482
              -10               2               1              HB  0.15243  0.15243  0.15243  0.15243   42004502
              -11               2               1              HB  0.19531  0.19531  0.19531  0.19531   42004582
              -12               2               1              HB  0.14858  0.14858  0.14858  0.14858   42004602
              -13               2               1              HB  0.17001  0.17001  0.17001  0.17001   42004682
              -14               2               1              HB  0.15430  0.15430  0.15430  0.15430   42004702
              -15               2               1              HB  0.14716  0.14716  0.14716  0.14716   42004782
              -15               2               2              HB  0.11538  0.11538  0.11538  0.11538   42008782
              -16               2               1              HB  0.13570  0.13570  0.13570  0.13570   42004802
              -16               2               2              HB  0.14502  0.14502  0.14502  0.14502   42008802
               -1               3               1              HB  0.27022  0.27022  0.27022  0.27022   42004083
               -2               3               1              HB  0.23957  0.23957  0.23957  0.23957   42004103
               -3               3               1              HB  0.23858  0.23858  0.23858  0.23858   42004183
               -4               3               1              HB  0.21705  0.21705  0.21705  0.21705   42004203
               -5               3               1              HB  0.22221  0.22221  0.22221  0.22221   42004283
               -6               3               1              HB  0.23123  0.23123  0.23123  0.23123   42004303
               -7               3               1              HB  0.19810  0.19810  0.19810  0.19810   42004383
               -8               3               1              HB  0.19084  0.19084  0.19084  0.19084   42004403
               -9               3               1              HB  0.19173  0.19173  0.19173  0.19173   42004483
              -10               3               1              HB  0.21781  0.21781  0.21781  0.21781   42004503
              -11               3               1              HB  0.20311  0.20311  0.20311  0.20311   42004583
              -12               3               1              HB  0.18718  0.18718  0.18718  0.18718   42004603
              -13               3               1              HB  0.18511  0.18511  0.18511  0.18511   42004683
              -14               3               1              HB  0.17321  0.17321  0.17321  0.17321   42004703
              -15               3               1              HB  0.15296  0.15296  0.15296  0.15296   42004783
              -15               3               2              HB  0.13789  0.13789  0.13789  0.13789   42008783
              -16               3               1              HB  0.18241  0.18241  0.18241  0.18241   42004803
              -16               3               2              HB  0.15505  0.15505  0.15505  0.15505   42008803
               -1               4               1              HB  0.25858  0.25858  0.25858  0.25858   42004084
               -2               4               1              HB  0.22686  0.22686  0.22686  0.22686   42004104
               -3               4               1              HB  0.22010  0.22010  0.22010  0.22010   42004184
               -4               4               1              HB  0.20838  0.20838  0.20838  0.20838   42004204
               -5               4               1              HB  0.19664  0.19664  0.19664  0.19664   42004284
               -6               4               1              HB  0.19127  0.19127  0.19127  0.19127   42004304
               -7               4               1              HB  0.20637  0.20637  0.20637  0.20637   42004384
               -8               4               1              HB  0.17619  0.17619  0.17619  0.17619   42004404
               -9               4               1              HB  0.18822  0.18822  0.18822  0.18822   42004484
              -10               4               1              HB  0.17720  0.17720  0.17720  0.17720   42004504
              -11               4               1              HB  0.17593  0.17593  0.17593  0.17593   42004584
              -12               4               1              HB  0.18854  0.18854  0.18854  0.18854   42004604
              -13               4               1              HB  0.18497  0.18497  0.18497  0.18497   42004684
              -14               4               1              HB  0.16423  0.16423  0.16423  0.16423   42004704
              -15               4               1              HB  0.14984  0.14984  0.14984  0.14984   42004784
              -15               4               2              HB  0.13724  0.13724  0.13724  0.13724   42008784
              -16               4               1              HB  0.14510  0.14510  0.14510  0.14510   42004804
              -16               4               2              HB  0.13776  0.13776  0.13776  0.13776   42008804
               -1               5               1              HB  0.24619  0.24619  0.24619  0.24619   42004085
               -2               5               1              HB  0.23897  0.23897  0.23897  0.23897   42004105
               -3               5               1              HB  0.21278  0.21278  0.21278  0.21278   42004185
               -4               5               1              HB  0.21942  0.21942  0.21942  0.21942   42004205
               -5               5               1              HB  0.24226  0.24226  0.24226  0.24226   42004285
               -6               5               1              HB  0.21208  0.21208  0.21208  0.21208   42004305
               -7               5               1              HB  0.20644  0.20644  0.20644  0.20644   42004385
               -8               5               1              HB  0.19163  0.19163  0.19163  0.19163   42004405
               -9               5               1              HB  0.20207  0.20207  0.20207  0.20207   42004485
              -10               5               1              HB  0.20212  0.20212  0.20212  0.20212   42004505
              -11               5               1              HB  0.18689  0.18689  0.18689  0.18689   42004585
              -12               5               1              HB  0.19916  0.19916  0.19916  0.19916   42004605
              -13               5               1              HB  0.17853  0.17853  0.17853  0.17853   42004685
              -14               5               1              HB  0.15710  0.15710  0.15710  0.15710   42004705
              -15               5               1              HB  0.13813  0.13813  0.13813  0.13813   42004785
              -15               5               2              HB  0.13435  0.13435  0.13435  0.13435   42008785
              -16               5               1              HB  0.16612  0.16612  0.16612  0.16612   42004805
              -16               5               2              HB  0.12966  0.12966  0.12966  0.12966   42008805
               -1               6               1              HB  0.22165  0.22165  0.22165  0.22165   42004086
               -2               6               1              HB  0.19527  0.19527  0.19527  0.19527   42004106
               -3               6               1              HB  0.17032  0.17032  0.17032  0.17032   42004186
