#  eta   phi   dep   det    value 
   -1   1    1    HB    1.23037011637
   -2   1    1    HB    1.17704511429
   -3   1    1    HB    1.14727996989
   -4   1    1    HB    1.13800230614
   -5   1    1    HB    1.1180819971
   -6   1    1    HB    1.09460536044
   -7   1    1    HB    1.04321246585
   -8   1    1    HB    1.12992807569
   -9   1    1    HB    1.06348118752
   -10   1    1    HB    1.07265402526
   -11   1    1    HB    1.13001415401
   -12   1    1    HB    1.14968592379
   -13   1    1    HB    1.03953046179
   -14   1    1    HB    0.998676034674
   -15   1    1    HB    1.11497355186
   -15   1    2    HB    1.13371446936
   -16   1    1    HB    1.07879713921
   -16   1    2    HB    1.09699963749
   -1   2    1    HB    1.1537973307
   -2   2    1    HB    1.0992326082
   -3   2    1    HB    1.03523316796
   -4   2    1    HB    1.09383556553
   -5   2    1    HB    0.983557738178
   -6   2    1    HB    1.07625890789
   -7   2    1    HB    1.08827365432
   -8   2    1    HB    1.08229322204
   -9   2    1    HB    0.949847872924
   -10   2    1    HB    1.03205712447
   -11   2    1    HB    1.10309945441
   -12   2    1    HB    1.01923687361
   -13   2    1    HB    1.10688607946
   -14   2    1    HB    1.12484749552
   -15   2    1    HB    1.12485232916
   -15   2    2    HB    1.04905785893
   -16   2    1    HB    1.10484387715
   -16   2    2    HB    1.1834294991
   -1   3    1    HB    1.13350497416
   -2   3    1    HB    1.10194648708
   -3   3    1    HB    1.09249391915
   -4   3    1    HB    1.04780519249
   -5   3    1    HB    1.096095809
   -6   3    1    HB    1.12694121627
   -7   3    1    HB    0.991386724985
   -8   3    1    HB    1.05440322832
   -9   3    1    HB    1.04235542131
   -10   3    1    HB    1.15783387332
   -11   3    1    HB    1.0512016875
   -12   3    1    HB    1.07283030161
   -13   3    1    HB    1.08112523543
   -14   3    1    HB    1.11298430028
   -15   3    1    HB    1.0914340017
   -15   3    2    HB    1.14040360132
   -16   3    1    HB    1.14501640977
   -16   3    2    HB    1.17318425832
   -1   4    1    HB    1.13610471944
   -2   4    1    HB    1.11418724466
   -3   4    1    HB    1.15133032044
   -4   4    1    HB    1.11451152369
   -5   4    1    HB    1.05967626691
   -6   4    1    HB    1.05181859228
   -7   4    1    HB    1.15739136908
   -8   4    1    HB    1.0018713096
   -9   4    1    HB    1.10068276811
   -10   4    1    HB    1.0588495827
   -11   4    1    HB    1.04802655767
   -12   4    1    HB    1.09551044182
   -13   4    1    HB    1.10576268206
   -14   4    1    HB    1.12578918298
   -15   4    1    HB    1.14102130629
   -15   4    2    HB    1.10400707651
   -16   4    1    HB    1.06172707114
   -16   4    2    HB    1.06103460571
   -1   5    1    HB    1.10909676885
   -2   5    1    HB    1.16280477462
   -3   5    1    HB    1.12325476499
   -4   5    1    HB    1.0789435348
   -5   5    1    HB    1.17841177752
   -6   5    1    HB    1.08783420123
   -7   5    1    HB    1.10931567764
   -8   5    1    HB    1.06320938858
   -9   5    1    HB    1.10491611142
   -10   5    1    HB    1.16236547236
   -11   5    1    HB    1.08336720774
   -12   5    1    HB    1.12832878965
   -13   5    1    HB    1.02467177911
   -14   5    1    HB    1.07581473875
   -15   5    1    HB    1.03928202484
