#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
                1              15               1              HB  4.28313  4.18548  4.40438  4.04960   4202608F
                2              15               1              HB  3.47390  3.70766  4.13147  4.27381   4202610F
                3              15               1              HB  3.83936  3.85282  4.43426  4.17460   4202618F
                4              15               1              HB  4.11044  4.78427  4.48207  4.34127   4202620F
                5              15               1              HB  4.01004  4.16532  4.47410  4.27183   4202628F
                6              15               1              HB  4.05020  3.39919  3.78287  3.75595   4202630F
                7              15               1              HB  4.25703  4.02016  4.30876  3.93056   4202638F
                8              15               1              HB  4.14257  4.42540  4.49203  4.44048   4202640F
                9              15               1              HB  3.42972  3.26613  3.62151  3.40476   4202648F
               10              15               1              HB  3.55422  3.16935  3.85060  3.73810   4202650F
               11              15               1              HB  4.49598  4.47782  4.69522  4.62302   4202658F
               12              15               1              HB  2.67470  2.92742  3.01992  2.72421   4202660F
               13              15               1              HB  2.55847  2.58167  2.59325  3.13253   4202668F
               14              15               1              HB  3.11290  3.70717  3.30952  3.28313   4202670F
               15              15               1              HB  3.51815  3.67729  3.61508  3.36345   4202678F
               15              15               2              HB  3.33468  3.50398  3.67460  3.57229   4202A78F
               16              15               1              HB  3.68145  4.00199  4.16270  3.65863   4202680F
               16              15               2              HB  4.19355  4.05578  4.18849  3.93373   4202A80F
                1              16               1              HB  2.80321  3.19556  3.50797  3.16865   42026090
                2              16               1              HB  3.82731  4.37500  4.61753  3.90278   42026110
                3              16               1              HB  3.77309  3.59677  4.16932  4.06746   42026190
                4              16               1              HB  3.59163  3.65079  3.84940  3.45363   42026210
                5              16               1              HB  2.36948  2.62903  2.43028  2.65873   42026290
                6              16               1              HB  2.98193  3.89919  3.29084  3.26984   42026310
                7              16               1              HB  3.17269  3.15927  3.15936  3.48214   42026390
                8              16               1              HB  3.30478  4.10714  4.26908  3.97984   42026410
                9              16               1              HB  4.18072  4.09476  4.21514  4.41270   42026490
               10              16               1              HB  3.21486  3.31452  3.42629  3.12897   42026510
               11              16               1              HB  3.90361  3.68548  4.04582  3.81151   42026590
               12              16               1              HB  3.79681  4.42262  4.25904  3.96371   42026610
               13              16               1              HB  4.28831  4.39442  4.76587  4.14458   42026690
               14              16               1              HB  3.31653  3.81076  3.72421  3.80522   42026710
               15              16               1              HB  4.17339  3.87251  4.36706  3.64458   42026790
               15              16               2              HB  4.31250  4.06972  4.34921  4.23092   4202A790
               16              16               1              HB  3.46371  3.37052  3.41071  3.54016   42026810
               16              16               2              HB  4.15524  4.29283  4.38690  4.61446   4202A810
                1              17               1              HB  3.97410  4.01190  4.30321  3.96976   42026091
                2              17               1              HB  3.98008  3.84921  4.30120  3.59677   42026111
                3              17               1              HB  3.84661  3.89683  4.17269  3.94758   42026191
                4              17               1              HB  3.48606  3.71032  4.10040  3.58669   42026211
                5              17               1              HB  3.69323  3.71429  3.96586  3.93952   42026291
                6              17               1              HB  3.16932  3.21429  3.55020  3.37500   42026311
                7              17               1              HB  3.17331  3.20238  3.47390  3.87903   42026391
                8              17               1              HB  4.06972  3.74802  3.94980  3.70363   42026411
                9              17               1              HB  4.20916  4.36111  4.34739  4.12500   42026491
               10              17               1              HB  3.53984  3.76984  3.50402  3.67742   42026511
               11              17               1              HB  4.50000  4.26190  4.14056  4.43347   42026591
               12              17               1              HB  3.77689  4.19643  3.81526  3.95968   42026611
               13              17               1              HB  3.74303  3.94246  3.60843  3.80040   42026691
               14              17               1              HB  4.44223  4.34325  4.66265  4.49597   42026711
               15              17               1              HB  3.45020  3.67857  4.10241  3.82460   42026791
               15              17               2              HB  3.78685  3.50794  3.91165  3.78024   4202A791
               16              17               1              HB  4.31474  4.24603  4.19679  4.19153   42026811
               16              17               2              HB  4.13745  4.25992  4.29719  4.58065   4202A811
                1              18               1              HB  3.77689  3.85913  4.09237  4.00403   42026092
                2              18               1              HB  4.13745  3.53373  4.07229  3.61895   42026112
                3              18               1              HB  4.15936  4.15675  3.99598  3.93145   42026192
                4              18               1              HB  3.25896  3.10119  3.51205  3.34274   42026212
                5              18               1              HB  3.08167  2.97421  3.04016  2.94758   42026292
                6              18               1              HB  4.04980  4.01190  3.99598  3.58266   42026312
                7              18               1              HB  3.99402  4.06944  4.41365  3.99395   42026392
                8              18               1              HB  3.26295  2.88690  3.25904  3.33266   42026412
                9              18               1              HB  3.51992  3.36111  3.49598  3.59677   42026492
               10              18               1              HB  3.76295  3.68849  4.09036  3.82863   42026512
               11              18               1              HB  5.02191  5.24603  5.09438  5.20968   42026592
               12              18               1              HB  3.56375  3.25000  3.44980  3.31855   42026612
               13              18               1              HB  2.70518  2.89881  3.09036  3.17137   42026692
               14              18               1              HB  3.79880  3.70833  4.03414  4.04234   42026712
               15              18               1              HB  4.34861  3.27381  3.92972  3.76411   42026792
               15              18               2              HB  2.92914  3.62698  3.60843  3.60303   4202A792
               16              18               1              HB  4.18526  4.22619  4.40964  4.34073   42026812
               16              18               2              HB  4.12151  3.91667  3.87751  4.05242   4202A812
                1              19               1              HB  4.11647  3.75806  4.07171  3.53770   42026093
                2              19               1              HB  3.53586  3.35516  3.88956  3.90121   42026113
                3              19               1              HB  4.76707  4.33065  4.69721  4.32143   42026193
