#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  2.87325  2.09186  2.78964  2.78692   42004081
               -2               1               1              HB  3.64909  3.33414  3.95552  3.23773   42004101
               -3               1               1              HB  3.28222  3.37791  3.50665  3.17122   42004181
               -4               1               1              HB  2.97100  1.80401  2.67803  2.10569   42004201
               -5               1               1              HB  3.94483  3.60900  3.74679  3.47553   42004281
               -6               1               1              HB  3.13525  3.03888  3.60895  2.71439   42004301
               -7               1               1              HB  3.51900  3.38159  3.67626  3.53028   42004381
               -8               1               1              HB  3.54397  3.50261  3.99697  3.00393   42004401
               -9               1               1              HB  1.81750  2.70641  2.94550  2.13657   42004481
              -10               1               1              HB  3.17067  3.35705  3.57554  3.17047   42004501
              -11               1               1              HB  2.56139  2.45022  2.65018  2.65856   42004581
              -12               1               1              HB  2.12458  2.95539  2.95903  2.69403   42004601
              -13               1               1              HB  3.11144  2.69693  3.79523  3.42020   42004681
              -14               1               1              HB  3.47245  3.74038  3.77708  3.68982   42004701
              -15               1               1              HB  3.68316  3.36197  4.12507  3.41905   42004781
              -15               1               2              HB  2.91218  3.14329  3.14562  3.11245   42008781
              -16               1               1              HB  3.09332  3.66947  2.81980  2.62847   42004801
              -16               1               2              HB  3.10143  3.34031  3.67752  2.89061   42008801
               -1               2               1              HB  3.07078  2.59109  3.12905  1.96218   42004082
               -2               2               1              HB  4.67283  2.15867  4.43166  1.87328   42004102
               -3               2               1              HB  3.67116  3.13827  4.07117  2.85917   42004182
               -4               2               1              HB  1.70891  2.34771  2.00104  2.68161   42004202
               -5               2               1              HB  3.99058  2.51389  4.36431  2.84127   42004282
               -6               2               1              HB  2.47836  2.22070  2.36738  2.10038   42004302
               -7               2               1              HB  2.08403  2.54166  2.44590  2.39609   42004382
               -8               2               1              HB  2.96128  3.84715  3.66090  4.31993   42004402
               -9               2               1              HB  2.76016  3.47938  3.06547  3.47603   42004482
              -10               2               1              HB  3.30884  4.49442  3.28134  4.65356   42004502
              -11               2               1              HB  2.04320  2.86783  2.33972  3.04716   42004582
              -12               2               1              HB  2.45324  2.94464  2.08079  1.81256   42004602
              -13               2               1              HB  3.15250  2.75627  3.14934  2.79258   42004682
              -14               2               1              HB  3.93069  2.68525  4.08818  2.47479   42004702
              -15               2               1              HB  3.79604  2.60398  4.07303  3.04645   42004782
              -15               2               2              HB  2.35575  3.55181  3.03157  3.50503   42008782
              -16               2               1              HB  1.93436  3.73653  2.42673  3.76549   42004802
              -16               2               2              HB  3.54374  2.41770  3.74435  2.88233   42008802
               -1               3               1              HB  1.99241  2.78034  2.61602  2.31897   42004083
               -2               3               1              HB  3.36076  3.35829  3.74686  3.20205   42004103
               -3               3               1              HB  3.70988  3.68140  3.94795  3.81218   42004183
               -4               3               1              HB  2.61883  3.02715  3.10522  3.22120   42004203
               -5               3               1              HB  3.48221  3.16546  3.49735  3.32267   42004283
               -6               3               1              HB  3.28894  3.13524  3.36197  2.81054   42004303
               -7               3               1              HB  3.86615  3.97356  4.21997  3.90736   42004383
               -8               3               1              HB  3.47801  3.61784  3.26308  3.18510   42004403
               -9               3               1              HB  3.45823  3.40527  3.72898  3.52867   42004483
              -10               3               1              HB  3.92470  4.01852  4.10424  4.06738   42004503
              -11               3               1              HB  3.63763  3.60233  3.91016  3.51707   42004583
              -12               3               1              HB  3.12134  3.26483  3.50132  3.04182   42004603
              -13               3               1              HB  1.15017  1.75810  2.02640  1.75282   42004683
              -14               3               1              HB  3.31970  3.45257  3.70756  3.41245   42004703
              -15               3               1              HB  4.58789  4.62381  4.51322  4.19462   42004783
              -15               3               2              HB  2.80658  2.89327  3.31568  2.76725   42008783
              -16               3               1              HB  3.19805  2.97313  3.73330  3.17777   42004803
              -16               3               2              HB  4.02349  4.40381  4.42277  4.18210   42008803
               -1               4               1              HB  2.85439  2.40400  3.19976  2.53647   42004084
               -2               4               1              HB  3.16698  3.55544  3.64565  3.42342   42004104
               -3               4               1              HB  3.73400  3.57322  4.02836  3.42618   42004184
               -4               4               1              HB  2.96597  3.62514  3.72841  3.17965   42004204
               -5               4               1              HB  3.54408  4.00076  4.08890  3.69601   42004284
               -6               4               1              HB  3.19849  3.57411  3.71952  3.50750   42004304
               -7               4               1              HB  2.67852  2.79765  3.01662  2.72578   42004384
               -8               4               1              HB  2.19809  3.22023  3.13378  3.54783   42004404
               -9               4               1              HB  3.28312  3.01505  2.79213  2.76077   42004484
              -10               4               1              HB  2.94577  3.50840  3.29203  3.33900   42004504
              -11               4               1              HB  3.39108  3.47927  3.59473  3.47453   42004584
              -12               4               1              HB  2.24543  2.65456  2.78146  2.94349   42004604
              -13               4               1              HB  3.42090  3.40427  3.35005  3.02356   42004684
              -14               4               1              HB  3.25524  3.65958  3.60621  3.50006   42004704
              -15               4               1              HB  3.35711  3.92424  3.74843  4.08534   42004784
              -15               4               2              HB  3.22642  3.36137  3.57913  3.16745   42008784
              -16               4               1              HB  2.90355  2.86920  3.00713  2.80882   42004804
              -16               4               2              HB  4.25651  4.47930  4.28825  4.57681   42008804
               -1               5               1              HB  2.23623  1.94535  2.81916  2.20607   42004085
               -2               5               1              HB  3.37453  3.49449  3.58998  3.20939   42004105
               -3               5               1              HB  3.70364  3.76051  4.09811  3.62605   42004185
               -4               5               1              HB  3.59533  3.29119  4.07795  3.09386   42004205
               -5               5               1              HB  3.91169  3.50440  3.42173  3.43696   42004285
               -6               5               1              HB  2.52495  2.67893  2.77682  2.57916   42004305
               -7               5               1              HB  2.54877  2.59156  2.89906  2.61157   42004385
               -8               5               1              HB  3.56325  4.05375  3.76932  3.99381   42004405
               -9               5               1              HB  2.35688  3.05865  3.16903  2.72663   42004485
              -10               5               1              HB  3.26569  3.15870  3.36860  3.30668   42004505
              -11               5               1              HB  3.77070  3.82758  4.17741  3.74979   42004585
              -12               5               1              HB  2.14955  2.04512  2.24891  1.69938   42004605
              -13               5               1              HB  2.73988  2.56816  3.29531  2.25156   42004685
              -14               5               1              HB  3.11041  3.34761  3.54806  3.21072   42004705
              -15               5               1              HB  2.31637  2.49034  2.86648  2.66753   42004785
              -15               5               2              HB  1.67331  1.81681  2.06229  1.76173   42008785
              -16               5               1              HB  2.76434  2.91871  2.62711  2.64545   42004805
              -16               5               2              HB  2.73641  2.78531  2.98110  2.80906   42008805
               -1               6               1              HB  3.04510  3.49116  2.99347  3.12382   42004086
               -2               6               1              HB  2.57094  2.74434  3.29799  2.90230   42004106
               -3               6               1              HB  2.75823  2.71983  3.53811  3.31945   42004186
               -4               6               1              HB  3.22783  2.98735  3.99968  2.98749   42004206
               -5               6               1              HB  3.13281  2.68915  3.63772  2.49482   42004286
               -6               6               1              HB  2.84137  3.18941  3.53811  2.42368   42004306
               -7               6               1              HB  2.49145  3.19030  3.40649  2.77584   42004386
               -8               6               1              HB  3.04328  3.21166  3.72220  3.35633   42004406
               -9               6               1              HB  2.77741  3.32738  4.13396  3.25095   42004486
              -10               6               1              HB  3.18946  3.30157  3.57991  2.72754   42004506
              -11               6               1              HB  3.13738  3.71459  3.66084  3.09375   42004586
              -12               6               1              HB  3.24884  2.90278  4.30560  3.07180   42004606
              -13               6               1              HB  3.20133  3.27575  4.31361  2.28669   42004686
              -14               6               1              HB  3.00399  3.43776  3.60659  2.49570   42004706
              -15               6               1              HB  2.67874  3.40215  3.61548  2.93392   42004786
              -15               6               2              HB  3.61429  2.74790  3.92141  3.19474   42008786
              -16               6               1              HB  3.30549  3.39770  3.76667  3.07970   42004806
              -16               6               2              HB  3.22783  3.37100  3.59859  3.39761   42008806
               -1               7               1              HB -0.22675 -0.07117 -0.26903  0.34501   42004087
               -2               7               1              HB  0.64093  0.82944  1.03220  0.81558   42004107
               -3               7               1              HB  0.84228  0.94849  1.11214  0.85678   42004187
               -4               7               1              HB  0.74120  0.84460  1.15837  0.52822   42004207
               -5               7               1              HB  1.21660  1.29767  1.32356  0.79880   42004287
               -6               7               1              HB  0.69284  0.77440  0.78297  0.54949   42004307
               -7               7               1              HB  0.07018  0.11685  0.31298  0.00637   42004387
               -8               7               1              HB  0.24298  0.78531  0.37997  0.62229   42004407
               -9               7               1              HB  1.42942  1.32887  1.79440  1.93812   42004487
              -10               7               1              HB  0.70634  0.59153  0.97153  0.58541   42004507
              -11               7               1              HB  0.66397  0.85192  1.03866  0.68510   42004587
              -12               7               1              HB  0.63198  0.40403 -0.17332  0.46048   42004607
              -13               7               1              HB  0.82805  0.76424  0.77570  0.88931   42004687
              -14               7               1              HB  0.97209  1.10504  1.30326  1.07547   42004707
              -15               7               1              HB  0.91047  0.43024  0.78710  0.69871   42004787
              -15               7               2              HB  0.25134  0.11085  0.46579  0.70601   42008787
              -16               7               1              HB -0.03008  0.13563  0.07041  0.45548   42004807
              -16               7               2              HB  0.70699  0.74483  1.00435  0.87478   42008807
               -1               8               1              HB  0.60723  0.22302 -0.04791  0.15002   42004088
               -2               8               1              HB  0.96307  1.02431  1.22128  1.04091   42004108
               -3               8               1              HB  1.08950  1.22683  1.28182  1.19914   42004188
               -4               8               1              HB  0.78099  0.64211  1.19569  0.76395   42004208
               -5               8               1              HB  0.95952  1.57076  1.87061  1.11769   42004288
               -6               8               1              HB  0.28967  0.19441  0.71241  0.18488   42004308
               -7               8               1              HB  0.77414  0.41499  0.74847  0.40632   42004388
               -8               8               1              HB  0.37356  0.22012  0.20124  0.09414   42004408
               -9               8               1              HB  0.39297  0.25786  0.20008  0.60953   42004488
              -10               8               1              HB  1.29058  1.22341  1.67551  1.08395   42004508
              -11               8               1              HB  1.21656  0.94069  1.52478  0.81782   42004588
              -12               8               1              HB  0.45936  0.22251  0.67761  0.36985   42004608
              -13               8               1              HB  0.48065  0.55589  0.47247  0.53018   42004688
              -14               8               1              HB  0.74180  1.07837  1.00440  1.11405   42004708
              -15               8               1              HB  2.05701  2.19600  2.40302  1.88849   42004788
              -15               8               2              HB  0.49504  0.47278  0.81327  0.25794   42008788
              -16               8               1              HB  0.51261  0.29826  0.76144  0.08569   42004808
              -16               8               2              HB  1.16435  1.01183  1.43042  1.07042   42008808
               -1               9               1              HB -0.05968  0.21743  0.47523  0.14529   42004089
               -2               9               1              HB  0.70808  0.93239  0.88456  1.03595   42004109
               -3               9               1              HB  0.79411  0.89532  0.97675  0.94973   42004189
               -4               9               1              HB  1.90217  1.99334  2.34514  1.80063   42004209
               -5               9               1              HB  0.74352  0.61748  0.71213  0.22931   42004289
               -6               9               1              HB  0.25125  0.37839  0.55648  0.19969   42004309
               -7               9               1              HB  0.23965  0.34956  0.56599  0.34497   42004389
               -8               9               1              HB -0.29629  0.71601  0.20949  0.63579   42004409
               -9               9               1              HB  0.58824  0.66629  0.73071  0.85659   42004489
              -10               9               1              HB  1.13842  1.06510  1.24886  1.03917   42004509
              -11               9               1              HB  0.77188  0.95274  1.14852  1.01407   42004589
              -12               9               1              HB -0.05786  0.37092 -0.35546  0.53915   42004609
              -13               9               1              HB  0.34039  0.64543  0.71297  0.42807   42004689
              -14               9               1              HB  0.71163  0.99188  1.32094  0.95210   42004709
              -15               9               1              HB  1.07559  0.87704  0.82155  1.07936   42004789
              -15               9               2              HB  0.36577  0.44979  0.57262  0.27092   42008789
              -16               9               1              HB  0.22413  0.57221  0.50923  0.80947   42004809
              -16               9               2              HB  0.93792  1.06659  0.95984  0.96463   42008809
               -1              10               1              HB  0.63676  0.38506  0.99520  0.57738   4200408A
               -2              10               1              HB  0.81731  0.51976  1.29380  0.44849   4200410A
               -3              10               1              HB  0.84892  0.73488  1.08817  0.77774   4200418A
               -4              10               1              HB  0.52078  0.36900  0.53540  0.05544   4200420A
               -5              10               1              HB  0.64980  0.46548  0.48377  0.60342   4200428A
               -6              10               1              HB  0.46515  0.58651  1.19680  0.53972   4200430A
               -7              10               1              HB  0.43637  0.63363  0.54190  0.13642   4200438A
               -8              10               1              HB  0.79898  1.20185  1.32824  0.67125   4200440A
               -9              10               1              HB  0.68857  0.70506  0.63934  0.73198   4200448A
              -10              10               1              HB  1.03571  1.17782  1.77523  0.62565   4200450A
              -11              10               1              HB  1.01122  0.94543  1.32049  0.58567   4200458A
              -12              10               1              HB  0.25610  0.67631  0.92463  0.40915   4200460A
              -13              10               1              HB  0.39661  0.13241  0.06731 -0.15946   4200468A
              -14              10               1              HB  0.92285  1.11024  1.28785  0.94521   4200470A
              -15              10               1              HB  2.04239  1.68398  2.25062  2.44117   4200478A
              -15              10               2              HB  0.44876  0.55411  0.79587  0.42824   4200878A
              -16              10               1              HB  0.28676  0.42886  0.29932 -0.12139   4200480A
              -16              10               2              HB  1.06580  0.88753  1.25064  0.96040   4200880A
               -1              11               1              HB  2.29989  2.42013  2.77997  2.66141   4200408B
               -2              11               1              HB  3.81787  3.96683  4.05757  3.56467   4200410B
               -3              11               1              HB  3.44992  3.57883  3.63898  3.64493   4200418B
               -4              11               1              HB  2.66482  3.29795  2.98625  2.56691   4200420B
               -5              11               1              HB  3.98491  3.67397  3.81932  3.41417   4200428B
               -6              11               1              HB  3.26907  2.78293  3.60442  2.31054   4200430B
               -7              11               1              HB  2.59083  2.33190  2.80084  2.43917   4200438B
               -8              11               1              HB  3.32086  3.51013  3.30640  3.75316   4200440B
               -9              11               1              HB  2.05787  2.39546  2.41777  2.10309   4200448B
              -10              11               1              HB  3.86398  3.78923  4.05297  3.46593   4200450B
              -11              11               1              HB  2.63557  2.44530  2.95825  2.44165   4200458B
              -12              11               1              HB  2.37117  2.77496  2.68079  2.09611   4200460B
              -13              11               1              HB  1.74390  2.24219  1.89501  2.27884   4200468B
              -14              11               1              HB  3.40014  3.70730  3.62992  3.73043   4200470B
              -15              11               1              HB  3.61703  3.63915  3.83942  3.55301   4200478B
              -15              11               2              HB  2.66420  2.59104  2.97863  2.62292   4200878B
              -16              11               1              HB  2.37166  2.52697  2.57996  2.63223   4200480B
