#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.63278 -0.23242  0.68943 -0.04106 -0.19447  0.66208 -0.24293 -0.02033 -0.26934  0.70297   42004081
               -2               1               1              HB  0.62233 -0.26424  0.60057  0.01898 -0.08137  0.64642 -0.27134  0.04795 -0.20075  0.58417   42004101
               -3               1               1              HB  0.61723 -0.26064  0.64536  0.17954 -0.12345  0.63267 -0.17197 -0.11085 -0.18278  0.60643   42004181
               -4               1               1              HB  0.78257 -0.30044  0.74214  0.16858 -0.23134  0.81780 -0.31281 -0.02305 -0.26434  0.78009   42004201
               -5               1               1              HB  0.62985 -0.21960  0.63248  0.12430 -0.19392  0.59998 -0.20100 -0.05799 -0.24267  0.63066   42004281
               -6               1               1              HB  0.64237 -0.08034  0.63972  0.12061 -0.31032  0.66243 -0.18657  0.04829 -0.19401  0.69449   42004301
               -7               1               1              HB  0.61111 -0.23516  0.61303 -0.01168 -0.19691  0.63061 -0.19289 -0.01331 -0.20453  0.62669   42004381
               -8               1               1              HB  0.71106 -0.33892  0.75326  0.01572 -0.22998  0.69457 -0.31267  0.12895 -0.18262  0.75170   42004401
               -9               1               1              HB  0.65777 -0.02306  0.60680  0.18400 -0.23971  0.63306 -0.12513  0.02298 -0.24439  0.64343   42004481
              -10               1               1              HB  0.65793 -0.27101  0.67275 -0.02737 -0.17066  0.69959 -0.28393  0.07812 -0.29751  0.70106   42004501
              -11               1               1              HB  0.78782 -0.24153  0.75211  0.27484 -0.14213  0.72719 -0.29425  0.12375 -0.22238  0.76161   42004581
              -12               1               1              HB  0.72102 -0.20666  0.67875  0.09148 -0.26510  0.72459 -0.19429  0.00611 -0.27051  0.66486   42004601
              -13               1               1              HB  0.77014 -0.15879  0.78845 -0.05582 -0.23918  0.75674 -0.23535  0.00810 -0.15124  0.75580   42004681
              -14               1               1              HB  0.63150 -0.22776  0.59668  0.01546 -0.19029  0.60938 -0.20601  0.04185 -0.18310  0.57812   42004701
              -15               1               1              HB  0.68291 -0.17229  0.67591  0.16988 -0.13857  0.61599 -0.18784  0.02060 -0.21333  0.71399   42004781
              -15               1               2              HB  0.81294 -0.24247  0.73388 -0.16250 -0.27861  0.74991 -0.31182 -0.04503 -0.24484  0.70652   42008781
              -16               1               1              HB  0.59193 -0.20300  0.57534 -0.05915 -0.19624  0.58258 -0.18229 -0.09494 -0.21185  0.62006   42004801
              -16               1               2              HB  0.78721 -0.26740  0.78932 -0.10474 -0.29394  0.70321 -0.26979 -0.06743 -0.19759  0.75037   42008801
               -1               2               1              HB  0.72274 -0.27181  0.68129 -0.04874 -0.26955  0.68050 -0.25736 -0.02026 -0.24127  0.66615   42004082
               -2               2               1              HB  1.22604  0.07460  1.31136  0.10940  0.22976  1.07342 -0.24321  0.12446 -0.34258  1.10307   42004102
               -3               2               1              HB  0.62217 -0.19832  0.62313 -0.08273 -0.21295  0.63866 -0.13938 -0.02613 -0.24292  0.61748   42004182
               -4               2               1              HB  0.71044 -0.29402  0.72692 -0.05340 -0.34137  0.77780 -0.31819 -0.04498 -0.30738  0.76204   42004202
               -5               2               1              HB  0.79954 -0.24898  0.81355 -0.02307 -0.28303  0.76305 -0.21903 -0.00286 -0.34438  0.85153   42004282
               -6               2               1              HB  0.60713 -0.23805  0.58494 -0.03662 -0.18163  0.56959 -0.09603 -0.02636 -0.17302  0.56811   42004302
               -7               2               1              HB  0.68012 -0.25932  0.70802 -0.08852 -0.25883  0.69230 -0.24698 -0.06222 -0.28581  0.68908   42004382
               -8               2               1              HB  0.68469 -0.29371  0.64397  0.01215 -0.20318  0.68313 -0.22526 -0.01546 -0.23396  0.63972   42004402
               -9               2               1              HB  0.71187 -0.26406  0.70040 -0.04326 -0.24283  0.74948 -0.20089 -0.06533 -0.26404  0.72959   42004482
              -10               2               1              HB  0.78356 -0.34844  0.73098 -0.01912 -0.18663  0.75775 -0.23065 -0.04931 -0.24017  0.75207   42004502
              -11               2               1              HB  0.73537 -0.20445  0.74326  0.04016 -0.22055  0.73034 -0.24605 -0.08604 -0.25939  0.82627   42004582
              -12               2               1              HB  0.58660 -0.21321  0.59938 -0.00408 -0.18984  0.58864 -0.11630 -0.00218 -0.11157  0.60445   42004602
              -13               2               1              HB  0.82839 -0.31342  0.83958 -0.03154 -0.33452  0.82694 -0.26281  0.02237 -0.33014  0.80491   42004682
              -14               2               1              HB  0.65502 -0.21783  0.62842 -0.02340 -0.16425  0.62029 -0.16156 -0.01210 -0.25543  0.65112   42004702
              -15               2               1              HB  0.80470 -0.19313  0.88414  0.01269 -0.20998  0.76435 -0.34210  0.02321 -0.27348  0.81497   42004782
              -15               2               2              HB  1.02856 -0.14136  1.09652  0.12129 -0.29761  1.08389 -0.12414 -0.18880 -0.42322  1.05410   42008782
              -16               2               1              HB  1.05564 -0.18067  1.20379  0.15340 -0.17337  1.02534 -0.15374 -0.12159 -0.15628  1.09690   42004802
              -16               2               2              HB  1.49017 -0.64021  1.45739  0.10810 -0.61480  1.51150 -0.48336  0.15181 -0.63202  1.51792   42008802
               -1               3               1              HB  0.61864 -0.19789  0.61180 -0.01361 -0.18352  0.57607 -0.20372  0.00908 -0.18273  0.63605   42004083
               -2               3               1              HB  0.55509 -0.21862  0.58915  0.06840 -0.11615  0.52772 -0.11130 -0.00889 -0.17857  0.53222   42004103
               -3               3               1              HB  0.45821 -0.12278  0.50062  0.03099 -0.16553  0.49422 -0.13753  0.03839 -0.17242  0.47082   42004183
               -4               3               1              HB  0.54145 -0.15478  0.52637 -0.13335 -0.26091  0.54994 -0.09358 -0.06373 -0.16095  0.53111   42004203
