#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.63278 -0.22970  0.67340 -0.04039 -0.18909  0.64083 -0.23768 -0.01966 -0.25925  0.67288   42004081
               -2               1               1              HB  0.62233 -0.26121  0.58689  0.01843 -0.07814  0.61003 -0.27354  0.04779 -0.19660  0.59368   42004101
               -3               1               1              HB  0.61723 -0.26149  0.64957  0.17568 -0.12119  0.60576 -0.17123 -0.11073 -0.17809  0.60124   42004181
               -4               1               1              HB  0.78257 -0.29634  0.72204  0.16205 -0.21935  0.75570 -0.30334 -0.02205 -0.24642  0.73357   42004201
               -5               1               1              HB  0.62985 -0.21804  0.62349  0.12238 -0.18957  0.58162 -0.19766 -0.05662 -0.23496  0.60990   42004281
               -6               1               1              HB  0.64237 -0.07919  0.62152  0.11652 -0.29549  0.61824 -0.18284  0.04664 -0.18368  0.66702   42004301
               -7               1               1              HB  0.61111 -0.22988  0.58581 -0.01129 -0.18598  0.58867 -0.19081 -0.01287 -0.19548  0.61326   42004381
               -8               1               1              HB  0.71106 -0.33789  0.74871  0.01531 -0.22336  0.65913 -0.30637  0.12597 -0.17432  0.72174   42004401
               -9               1               1              HB  0.65777 -0.02277  0.59141  0.18062 -0.23230  0.60999 -0.12897  0.02338 -0.24726  0.68355   42004481
              -10               1               1              HB  0.65793 -0.27122  0.67379 -0.02675 -0.16695  0.66845 -0.27909  0.07685 -0.28585  0.67735   42004501
              -11               1               1              HB  0.78782 -0.23585  0.71716  0.26084 -0.13172  0.65501 -0.28764  0.30210 -0.20631  0.72775   42004581
              -12               1               1              HB  0.72102 -0.20430  0.66329  0.08828 -0.25289  0.67474 -0.18714  0.00581 -0.25143  0.61683   42004601
              -13               1               1              HB  0.77014 -0.15669  0.76774 -0.05406 -0.22859  0.70985 -0.22933  0.00778 -0.14273  0.71759   42004681
              -14               1               1              HB  0.63150 -0.22319  0.57299  0.01497 -0.10709  0.57143 -0.20205  0.04022 -0.17390  0.55610   42004701
              -15               1               1              HB  0.68291 -0.16995  0.65768  0.16433 -0.13223  0.57641 -0.18579  0.02010 -0.20411  0.69850   42004781
              -15               1               2              HB  0.81294 -0.24660  0.75910 -0.15564 -0.27139  0.68792 -0.30408 -0.04466 -0.22868  0.67186   42008781
              -16               1               1              HB  0.59193 -0.19968  0.55666 -0.05819 -0.18988  0.56374 -0.17893 -0.09166 -0.20455  0.59739   42004801
              -16               1               2              HB  0.78721 -0.26478  0.77393 -0.10266 -0.28530  0.67563 -0.26445 -0.06545 -0.18984  0.72095   42008801
               -1               2               1              HB  0.72274 -0.26649  0.65487 -0.04772 -0.25873  0.65224 -0.25403 -0.01961 -0.23315  0.64903   42004082
               -2               2               1              HB  1.22604  0.07332  1.26673  0.10506  0.21684  0.98984 -0.24008  0.12075 -0.32474  1.07487   42004102
               -3               2               1              HB  0.62217 -0.19692  0.61435 -0.08128 -0.20774  0.61645 -0.13754 -0.02560 -0.23551  0.60131   42004182
               -4               2               1              HB  0.71044 -0.29045  0.70937 -0.05232 -0.33043  0.74676 -0.31347 -0.04377 -0.29672  0.73959   42004202
               -5               2               1              HB  0.79954 -0.24510  0.78840 -0.02237 -0.27018  0.71752 -0.21653 -0.00279 -0.33014  0.83223   42004282
               -6               2               1              HB  0.60713 -0.24311  0.61005 -0.03641 -0.18442  0.56310 -0.09597 -0.02690 -0.17192  0.56737   42004302
               -7               2               1              HB  0.68012 -0.26171  0.72116 -0.08815 -0.26013  0.68651 -0.24544 -0.06241 -0.28283  0.68050   42004382
               -8               2               1              HB  0.68469 -0.28945  0.62544  0.01163 -0.19161  0.62558 -0.22160 -0.01499 -0.22024  0.61905   42004402
               -9               2               1              HB  0.71187 -0.26024  0.68028 -0.04197 -0.23221  0.70563 -0.19759 -0.06333 -0.25200  0.70584   42004482
              -10               2               1              HB  0.78356 -0.35269  0.74889 -0.01889 -0.18662  0.73951 -0.23405 -0.05064 -0.24076  0.77436   42004502
              -11               2               1              HB  0.73537 -0.20414  0.74096  0.03995 -0.21911  0.72308 -0.24472 -0.08544 -0.25670  0.81737   42004582
              -12               2               1              HB  0.58660 -0.21493  0.60909 -0.00393 -0.18430  0.54591 -0.11391 -0.00215 -0.10523  0.57981   42004602
              -13               2               1              HB  0.82839 -0.30892  0.81567 -0.03079 -0.32184  0.78790 -0.25986  0.02180 -0.31864  0.78694   42004682
              -14               2               1              HB  0.65502 -0.21417  0.60749 -0.02297 -0.15856  0.59796 -0.15917 -0.01172 -0.24708  0.63201   42004702
              -15               2               1              HB  0.80470 -0.18879  0.84489  0.01239 -0.20034  0.72815 -0.33461  0.02220 -0.26108  0.77964   42004782
              -15               2               2              HB  1.02856 -0.13767  1.03998  0.11845 -0.28305  1.03373 -0.12023 -0.17807 -0.40028  0.98869   42008782
              -16               2               1              HB  1.05564 -0.17890  1.18031  0.15133 -0.16936  0.99784 -0.14978 -0.11730 -0.15020  1.04109   42004802
              -16               2               2              HB  1.49017 -0.63295  1.42452  0.10561 -0.59385  1.44278 -0.47641  0.14792 -0.60860  1.47454   42008802
               -1               3               1              HB  0.61864 -0.19307  0.58234 -0.01308 -0.17207  0.53206 -0.19475  0.00847 -0.16788  0.58130   42004083
               -2               3               1              HB  0.55509 -0.21862  0.58915  0.06715 -0.11402  0.50852 -0.10946 -0.00875 -0.17239  0.51476   42004103
               -3               3               1              HB  0.45821 -0.12179  0.49257  0.03020 -0.16000  0.46932 -0.13962  0.03865 -0.17057  0.48518   42004183
               -4               3               1              HB  0.54145 -0.15260  0.51165 -0.12907 -0.24898  0.51522 -0.09224 -0.06194 -0.15355  0.51602   42004203
               -5               3               1              HB  0.54981 -0.15832  0.54549  0.01987 -0.17681  0.52849 -0.18595  0.01179 -0.17667  0.51266   42004283
               -6               3               1              HB  0.59026 -0.14004  0.58105 -0.01626 -0.18746  0.52659 -0.16686 -0.03204 -0.11119  0.55751   42004303
               -7               3               1              HB  0.54171 -0.13689  0.49087 -0.02865 -0.13004  0.51793 -0.18826 -0.03945 -0.16305  0.51219   42004383
               -8               3               1              HB  0.54008 -0.22212  0.51378 -0.12068 -0.14830  0.52180 -0.18713  0.05555 -0.11655  0.48185   42004403
               -9               3               1              HB  0.54916 -0.16171  0.51769  0.05551 -0.17012  0.50641 -0.12822 -0.00582 -0.20799  0.52821   42004483
              -10               3               1              HB  0.58957 -0.18022  0.53380 -0.01556 -0.19545  0.60588 -0.29527  0.10829 -0.14842  0.57650   42004503
              -11               3               1              HB  0.54999 -0.23891  0.54213  0.03287 -0.18480  0.53451 -0.19547 -0.03656 -0.21232  0.51662   42004583
              -12               3               1              HB  0.58411 -0.18748  0.57520  0.06061 -0.11789  0.57477 -0.19653  0.10134 -0.16375  0.54784   42004603
              -13               3               1              HB  0.61108  0.22932  0.60829  0.36116 -0.02600  0.61294  0.25251  0.23008 -0.03452  0.60510   42004683
              -14               3               1              HB  0.59291 -0.13831  0.60629 -0.07116 -0.19283  0.56824 -0.22097 -0.07561 -0.10767  0.53269   42004703
              -15               3               1              HB  0.72300 -0.36652  0.75675 -0.10963 -0.28957  0.68734 -0.32734  0.04692 -0.20976  0.70667   42004783
              -15               3               2              HB  0.67684 -0.19554  0.71313 -0.03058 -0.20536  0.60210 -0.21389 -0.07013 -0.13690  0.63476   42008783
              -16               3               1              HB  0.61690 -0.24829  0.58427 -0.04629 -0.19099  0.61557 -0.21325 -0.07242 -0.15464  0.60027   42004803
              -16               3               2              HB  0.71481 -0.35262  0.70503 -0.16423 -0.31159  0.63869 -0.25272 -0.06264 -0.17616  0.61668   42008803
               -1               4               1              HB  0.69872 -0.23821  0.72283 -0.08385 -0.23614  0.65849 -0.24586 -0.00643 -0.17427  0.65835   42004084
               -2               4               1              HB  0.59556 -0.21682  0.56021  0.01859 -0.18353  0.51276 -0.17648  0.12014 -0.18968  0.56039   42004104
               -3               4               1              HB  0.53990 -0.19639  0.52642 -0.02009 -0.17159  0.50116 -0.17988  0.03486 -0.20753  0.50183   42004184
               -4               4               1              HB  0.83124 -0.30697  0.76910  0.07330 -0.24970  0.78598 -0.20612 -0.07462 -0.32938  0.79402   42004204
               -5               4               1              HB  0.64413 -0.22984  0.61206 -0.08254 -0.25309  0.62081 -0.16552  0.02094 -0.29840  0.62782   42004284
               -6               4               1              HB  0.67084 -0.30987  0.62554  0.04431 -0.14942  0.59471 -0.24364 -0.06638 -0.17764  0.57807   42004304
               -7               4               1              HB  0.58374 -0.15444  0.53243  0.00159 -0.14482  0.50734 -0.19725 -0.10381 -0.14067  0.55115   42004384
               -8               4               1              HB  0.98657 -0.38688  1.03245 -0.17239 -0.22385  1.01786 -0.23351  0.01715 -0.32707  1.02514   42004404
               -9               4               1              HB  0.58780 -0.18613  0.54193 -0.06259 -0.17567  0.51833 -0.19405  0.08116 -0.16019  0.52138   42004484
              -10               4               1              HB  0.85523 -0.30633  0.81905 -0.06632 -0.29490  0.75426 -0.35919 -0.12826 -0.25671  0.74908   42004504
              -11               4               1              HB  0.60284 -0.20240  0.63544  0.02747 -0.21899  0.56993 -0.27327 -0.03945 -0.24470  0.68754   42004584
              -12               4               1              HB  0.66226 -0.18334  0.68979  0.05471 -0.22038  0.69188 -0.13898 -0.15088 -0.15760  0.72672   42004604
              -13               4               1              HB  0.81018 -0.35741  0.75223  0.08738 -0.23967  0.66966 -0.40420 -0.02884 -0.23798  0.75769   42004684
              -14               4               1              HB  0.81165 -0.27871  0.74230 -0.05053 -0.26098  0.71104 -0.25499 -0.00958 -0.32995  0.77772   42004704
              -15               4               1              HB  0.78517 -0.28102  0.71189  0.02548 -0.23334  0.74536 -0.26633 -0.14011 -0.30270  0.73711   42004784
              -15               4               2              HB  0.57574 -0.16740  0.61208 -0.01967 -0.25584  0.51173 -0.18567 -0.08681 -0.19731  0.57555   42008784
              -16               4               1              HB  0.57948 -0.21883  0.54904  0.01769 -0.11248  0.49422 -0.19238 -0.02246 -0.17421  0.53450   42004804
              -16               4               2              HB  0.66592 -0.12670  0.65919 -0.03804 -0.18949  0.59111 -0.29363 -0.08142 -0.26106  0.64523   42008804
               -1               5               1              HB  0.70667 -0.27054  0.72867 -0.01106 -0.28968  0.72391 -0.25291  0.00549 -0.30025  0.70961   42004085
               -2               5               1              HB  0.65983 -0.21834  0.64672  0.06634 -0.25567  0.67446 -0.22549  0.01681 -0.22466  0.66186   42004105
               -3               5               1              HB  0.44312 -0.12624  0.47219 -0.07424 -0.20588  0.50263 -0.12209 -0.09398 -0.15165  0.45273   42004185
               -4               5               1              HB  0.70957 -0.26747  0.66369 -0.10136 -0.29012  0.71386 -0.16440 -0.02589 -0.24292  0.68346   42004205
               -5               5               1              HB  0.69730 -0.20517  0.68045 -0.03588 -0.25600  0.61753 -0.20999 -0.01214 -0.20872  0.61186   42004285
               -6               5               1              HB  0.61374 -0.18681  0.61125 -0.04808 -0.21599  0.58122 -0.21047  0.02885 -0.12254  0.59636   42004305
               -7               5               1              HB  0.49550 -0.18020  0.50819 -0.01398 -0.14455  0.47636 -0.14846 -0.03246 -0.15234  0.49050   42004385
               -8               5               1              HB  0.64227 -0.28874  0.65648 -0.11139 -0.20923  0.62661 -0.19783 -0.18211 -0.23972  0.61179   42004405
               -9               5               1              HB  0.60283 -0.12964  0.58158  0.00913 -0.20260  0.59816 -0.17773  0.02386 -0.20344  0.57145   42004485
              -10               5               1              HB  0.70738 -0.26233  0.66059  0.00764 -0.23000  0.70314 -0.24728  0.07040 -0.26412  0.69049   42004505
              -11               5               1              HB  0.54892 -0.23272  0.58961 -0.10843 -0.24603  0.55058 -0.20593 -0.02061 -0.13550  0.58662   42004585
              -12               5               1              HB  0.63699 -0.14330  0.63127  0.06935 -0.17423  0.59442 -0.10692  0.14269 -0.10771  0.60321   42004605
              -13               5               1              HB  0.63665 -0.22863  0.63019  0.06466 -0.16364  0.61751 -0.23786  0.00179 -0.23749  0.63276   42004685
              -14               5               1              HB  0.75566 -0.24098  0.69809 -0.05293 -0.25261  0.66391 -0.34236 -0.01909 -0.20089  0.65773   42004705
              -15               5               1              HB  0.62464 -0.23129  0.60158 -0.10460 -0.18080  0.56666 -0.18753 -0.06201 -0.20043  0.64476   42004785
              -15               5               2              HB  0.71054 -0.20193  0.65559  0.02628 -0.25117  0.74077 -0.02700  0.12783 -0.18107  0.72609   42008785
              -16               5               1              HB  0.54950 -0.22354  0.54568 -0.10140 -0.18571  0.54023 -0.18985 -0.01609 -0.18303  0.53925   42004805
              -16               5               2              HB  0.65040 -0.30165  0.65409  0.09160 -0.24463  0.65511 -0.21531 -0.06765 -0.23203  0.63937   42008805
               -1               6               1              HB  0.70789 -0.27287  0.64199 -0.03886 -0.17729  0.69442 -0.21167  0.02984 -0.23835  0.65851   42004086
               -2               6               1              HB  0.71255 -0.27443  0.66241 -0.04725 -0.17269  0.71710 -0.18161 -0.00536 -0.28873  0.68704   42004106
               -3               6               1              HB  0.68067 -0.21198  0.63978  0.05419 -0.19339  0.65717 -0.27137 -0.02085 -0.14683  0.58870   42004186
               -4               6               1              HB  0.69694 -0.25675  0.76327  0.01408 -0.28383  0.70001 -0.22919  0.09566 -0.24220  0.68976   42004206
               -5               6               1              HB  0.59819 -0.22239  0.59097 -0.05285 -0.17002  0.59044 -0.19756  0.00126 -0.09258  0.55177   42004286
               -6               6               1              HB  0.64700 -0.27736  0.66097 -0.07389 -0.22683  0.64912 -0.22187  0.11787 -0.21370  0.66888   42004306
               -7               6               1              HB  0.67471 -0.21697  0.61687 -0.02529 -0.25944  0.65703 -0.12600  0.05184 -0.16571  0.63232   42004386
               -8               6               1              HB  0.62220 -0.19580  0.60776  0.01558 -0.20610  0.64376 -0.18989 -0.00676 -0.16537  0.59820   42004406
               -9               6               1              HB  0.63929 -0.27376  0.67042 -0.05834 -0.27799  0.70253 -0.20722 -0.00555 -0.18833  0.59226   42004486
              -10               6               1              HB  0.80741 -0.27020  0.75237 -0.00586 -0.26548  0.79129 -0.26644 -0.12355 -0.24552  0.68225   42004506
              -11               6               1              HB  0.68815 -0.17573  0.64626 -0.06115 -0.32612  0.72087 -0.22409 -0.04401 -0.26191  0.70545   42004586
              -12               6               1              HB  0.59804 -0.20043  0.66110 -0.05972 -0.22286  0.63983 -0.18245 -0.00915 -0.21103  0.59240   42004606
              -13               6               1              HB  0.69266 -0.17048  0.63404  0.04322 -0.20994  0.67766 -0.22853  0.02023 -0.26024  0.66836   42004686
              -14               6               1              HB  0.60521 -0.20195  0.55995 -0.02185 -0.15668  0.60323 -0.23261 -0.02489 -0.20865  0.60166   42004706
              -15               6               1              HB  0.63180 -0.29518  0.61699 -0.07655 -0.19348  0.58251 -0.24346 -0.04178 -0.20769  0.62958   42004786
              -15               6               2              HB  0.69910 -0.25102  0.68219 -0.17460 -0.22167  0.70505 -0.23772 -0.00723 -0.24691  0.63640   42008786
              -16               6               1              HB  0.63091 -0.19388  0.58726 -0.09906 -0.30917  0.61489 -0.15556 -0.00304 -0.23085  0.55720   42004806
              -16               6               2              HB  0.90094 -0.24371  0.75667 -0.12642 -0.25448  0.74538 -0.26207 -0.03588 -0.19338  0.74998   42008806
               -1               7               1              HB  0.01766  1.42058  0.07605  1.46789  1.32520  0.05623  1.99981  1.75187  1.90825  0.00000   42004087
               -2               7               1              HB  0.38032 -0.08983  0.36118 -0.01215 -0.07412  0.35479 -0.15158  0.02724 -0.12685  0.53525   42004107
               -3               7               1              HB  0.42896 -0.12419  0.48105 -0.01405 -0.15363  0.45981  0.11464  0.28952  0.21354  0.50132   42004187
