#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -1    1    1   HB  3.93780  3.42940  3.85480  3.74560   42004081
    -1    2    1   HB  4.30040  4.18000  4.35600  4.00000   42004082
    -1    3    1   HB  3.40340  3.91900  3.79060  3.92520   42004083
    -1    4    1   HB  3.54180  3.06540  3.61300  3.19300   42004084
    -1    5    1   HB  3.29160  3.38340  3.85140  3.73020   42004085
    -1    6    1   HB  3.63140  3.69340  3.12940  3.90940   42004086
    -1    7    1   HB  3.03311  3.15220  3.46080  3.54980   42004087
    -1    8    1   HB  3.39980  3.24400  3.46400  3.36817   42004088
    -1    9    1   HB  3.59800  3.67800  3.84660  4.06340   42004089
    -1   10    1   HB  4.28600  4.16540  4.68720  4.74800   4200408A
    -1   11    1   HB  3.82100  3.98680  4.29380  4.09800   4200408B
    -1   12    1   HB  2.77660  3.29500  3.20240  3.59700   4200408C
    -1   13    1   HB  2.93680  3.20520  4.04780  4.17180   4200408D
    -1   14    1   HB  3.10720  3.22200  3.60680  3.60740   4200408E
    -1   15    1   HB  3.66800  4.51280  4.03980  3.94400   4200408F
    -1   16    1   HB  3.12300  3.09700  2.95240  3.04560   42004090
    -1   17    1   HB  2.52781  2.64260  2.73440  2.77420   42004091
    -1   18    1   HB  3.60420  3.40560  3.69260  3.15840   42004092
    -1   19    1   HB  3.82540  3.27260  3.95400  3.32800   42004093
    -1   20    1   HB  2.98620  3.49020  3.28360  3.66680   42004094
    -1   21    1   HB  4.02640  3.54860  3.77920  3.69160   42004095
    -1   22    1   HB  3.25020  3.04600  3.21620  3.38000   42004096
    -1   23    1   HB  4.08940  4.19780  4.35600  4.39460   42004097
    -1   24    1   HB  3.85120  4.37180  4.27900  4.17820   42004098
    -1   25    1   HB  3.78540  3.97720  4.01880  3.80880   42004099
    -1   26    1   HB  3.53081  2.88560  4.00200  3.44600   4200409A
    -1   27    1   HB  3.71640  4.13340  3.96600  4.34820   4200409B
    -1   28    1   HB  3.87680  3.55640  4.05960  4.11080   4200409C
    -1   29    1   HB  3.31440  3.50340  3.86020  3.65680   4200409D
    -1   30    1   HB  3.47180  3.48320  3.65160  3.20440   4200409E
    -1   31    1   HB  2.98840  2.79820  3.10380  2.53680   4200409F
    -1   32    1   HB  3.76780  3.62380  3.76580  3.24100   420040A0
    -1   33    1   HB  3.70660  3.37400  4.27160  3.69400   420040A1
    -1   34    1   HB  2.78780  2.40778  3.21920  2.94660   420040A2
    -1   35    1   HB  2.72960  3.06760  2.99640  3.06700   420040A3
    -1   36    1   HB  3.96660  3.30700  4.05520  3.51100   420040A4
    -1   37    1   HB  2.56180  3.04760  3.38780  3.31840   420040A5
    -1   38    1   HB  3.61980  3.47380  3.67180  3.45340   420040A6
    -1   39    1   HB  3.42420  3.46540  3.26200  3.83760   420040A7
    -1   40    1   HB  4.08560  4.04640  4.28000  4.12140   420040A8
    -1   41    1   HB  4.13440  3.71720  3.88340  3.79740   420040A9
    -1   42    1   HB  4.41460  3.98960  4.80920  4.93160   420040AA
    -1   43    1   HB  3.38200  3.82000  3.42520  3.70760   420040AB
    -1   44    1   HB  4.35520  4.00440  4.42420  3.78200   420040AC
    -1   45    1   HB  4.22080  4.29280  4.38400  4.38600   420040AD
    -1   46    1   HB  4.16140  4.09860  4.60500  4.35100   420040AE
    -1   47    1   HB  4.69060  4.50540  4.94880  4.92400   420040AF
    -1   48    1   HB  4.73900  4.09640  4.88720  4.06940   420040B0
    -1   49    1   HB  3.75820  3.52160  3.96140  3.76280   420040B1
    -1   50    1   HB  2.96420  2.50660  2.98710  2.58840   420040B2
    -1   51    1   HB  3.40960  3.66040  3.91100  4.06560   420040B3
    -1   52    1   HB  4.56420  4.51400  4.40000  4.36600   420040B4
    -1   53    1   HB  3.72840  3.56500  3.48780  3.84760   420040B5
    -1   54    1   HB  4.24880  4.39920  4.41780  4.27340   420040B6
    -1   55    1   HB  4.39660  4.54060  4.56980  4.38640   420040B7
    -1   56    1   HB  3.54660  3.36740  3.65820  3.38620   420040B8
    -1   57    1   HB  3.18940  3.10620  3.08740  3.23780   420040B9
    -1   58    1   HB  3.31500  3.36960  3.68020  3.66580   420040BA
    -1   59    1   HB  4.29940  4.48820  4.53640  4.42860   420040BB
    -1   60    1   HB  4.27260  3.65880  4.56040  4.90720   420040BC
    -1   61    1   HB  3.19160  3.23440  3.57600  3.16880   420040BD
    -1   62    1   HB  4.01940  4.06580  4.05920  3.74640   420040BE
    -1   63    1   HB  4.37350  4.17050  4.47950  4.36687   420040BF
    -1   64    1   HB  3.43350  3.07500  3.84300  3.12750   420040C0
    -1   65    1   HB  4.28250  3.71850  4.45300  4.34700   420040C1
    -1   66    1   HB  3.52200  4.08550  3.99350  4.62900   420040C2
    -1   67    1   HB  3.48420  3.80360  4.28300  3.78600   420040C3
    -1   68    1   HB  2.51800  3.41640  2.94040  3.27960   420040C4
    -1   69    1   HB  2.60320  2.44839  3.05460  2.07071   420040C5
    -1   70    1   HB  3.64620  3.59080  3.96540  3.79320   420040C6
    -1   71    1   HB  4.70980  5.01380  5.02840  5.13680   420040C7
