#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  1.25167  0.74397  0.97377  1.36372   42004081
               -2               1               1              HB  3.81917  4.31515  4.21624  4.24302   42004101
               -3               1               1              HB  4.27699  4.78463  4.47712  4.42314   42004181
               -4               1               1              HB  2.63749  2.22266  2.31073  2.44089   42004201
               -5               1               1              HB  5.07296  4.95438  4.67728  4.76859   42004281
               -6               1               1              HB  1.80616  2.66560  2.67081  2.65815   42004301
               -7               1               1              HB  1.10528  1.13361  1.29671  1.02055   42004381
               -8               1               1              HB  3.04631  3.91141  3.80147  3.29230   42004401
               -9               1               1              HB  0.57163  1.67834  1.73014  1.11259   42004481
              -10               1               1              HB  3.71682  4.01531  4.01830  3.98271   42004501
              -11               1               1              HB  5.02882  4.82448  4.94283  4.67602   42004581
              -12               1               1              HB  2.08070  2.76907  2.85472  2.89183   42004601
              -13               1               1              HB  2.57922  2.28264  3.23748  2.51168   42004681
              -14               1               1              HB  3.88806  3.39474  4.04488  3.28058   42004701
              -15               1               1              HB  3.76589  3.43978  3.93106  3.43882   42004781
              -15               1               2              HB  2.60551  2.29565  2.83445  2.16845   42008781
              -16               1               1              HB  1.40366  2.60934  1.33986  2.08820   42004801
              -16               1               2              HB  3.32060  3.89803  4.15776  4.07268   42008801
               -1               2               1              HB  1.47508  1.70239  1.48076  1.39668   42004082
               -2               2               1              HB  1.37919  4.31518  1.40084  3.74524   42004102
               -3               2               1              HB  2.29141  3.13864  2.68057  3.14771   42004182
               -4               2               1              HB  3.68506  2.61813  3.99574  3.01386   42004202
               -5               2               1              HB  0.84977  2.04358  1.15387  2.64826   42004282
               -6               2               1              HB  3.85838  4.43984  4.09646  4.09804   42004302
               -7               2               1              HB  1.82964  1.31484  2.11656  1.71048   42004382
               -8               2               1              HB  2.01690  2.30420  2.79035  2.79336   42004402
               -9               2               1              HB  1.29160  1.47391  1.63945  1.30447   42004482
              -10               2               1              HB  2.99024  1.55941  2.86512  1.21755   42004502
              -11               2               1              HB  3.48349  2.60938  3.75349  2.70863   42004582
              -12               2               1              HB  4.47161  3.27801  3.91901  2.22419   42004602
              -13               2               1              HB  3.00417  3.41732  2.49612  2.78911   42004682
              -14               2               1              HB  3.20056  4.61397  3.15343  4.55585   42004702
              -15               2               1              HB  2.89262  3.86591  2.89961  3.87101   42004782
              -15               2               2              HB  3.10329  1.92519  3.11462  2.03344   42008782
              -16               2               1              HB  3.59295  1.21374  3.56038  1.32669   42004802
              -16               2               2              HB  3.78186  4.45644  3.18510  3.63980   42008802
               -1               3               1              HB  2.14784  2.67100  2.50628  2.31849   42004083
               -2               3               1              HB  3.71803  4.21543  3.96865  4.14665   42004103
               -3               3               1              HB  4.87086  5.05816  5.00433  4.88085   42004183
               -4               3               1              HB  3.26024  3.68539  3.70111  3.65131   42004203
               -5               3               1              HB  4.08002  3.69313  4.14507  3.89404   42004283
               -6               3               1              HB  3.54237  3.97965  3.72991  3.82729   42004303
               -7               3               1              HB  2.78423  2.76759  2.94576  2.74039   42004383
               -8               3               1              HB  2.91613  3.06461  2.76552  2.40049   42004403
               -9               3               1              HB  4.08125  3.92859  4.37604  4.15096   42004483
              -10               3               1              HB  3.44687  3.35927  3.59862  3.32359   42004503
              -11               3               1              HB  4.75744  4.75233  4.98001  4.81633   42004583
              -12               3               1              HB  3.67094  3.68617  4.26323  3.67221   42004603
              -13               3               1              HB  1.28721  1.54810  2.03869  1.82582   42004683
              -14               3               1              HB  3.42529  3.56576  3.46471  3.36472   42004703
              -15               3               1              HB  4.00355  4.28537  3.49603  3.80968   42004783
              -15               3               2              HB  4.12433  4.26136  4.10564  4.07854   42008783
              -16               3               1              HB  4.99897  4.68302  5.10668  4.93505   42004803
              -16               3               2              HB  3.04231  2.88539  3.26679  2.94941   42008803
               -1               4               1              HB  1.90462  1.93132  2.40690  2.15444   42004084
               -2               4               1              HB  4.03548  3.82296  4.20230  3.99306   42004104
               -3               4               1              HB  3.37741  3.73656  3.86053  3.67566   42004184
               -4               4               1              HB  3.44126  3.24890  3.89398  2.92024   42004204
               -5               4               1              HB  3.45726  4.01364  4.00230  3.94361   42004284
               -6               4               1              HB  2.28401  2.24218  2.61839  2.24475   42004304
               -7               4               1              HB  2.11844  2.29446  2.45924  2.11102   42004384
               -8               4               1              HB  4.25021  3.89501  4.47135  4.40578   42004404
               -9               4               1              HB  2.54726  2.53038  2.11831  2.26985   42004484
              -10               4               1              HB  4.52692  4.30277  4.85426  4.20193   42004504
              -11               4               1              HB  3.87557  3.98781  4.21721  4.04948   42004584
              -12               4               1              HB  2.40329  1.49419  2.34889  2.01295   42004604
              -13               4               1              HB  2.59514  2.87956  2.80056  2.58561   42004684
              -14               4               1              HB  3.43241  3.52184  3.53988  3.46678   42004704
              -15               4               1              HB  3.70113  3.43552  4.14180  3.69399   42004784
              -15               4               2              HB  2.46193  2.73412  2.83317  2.81899   42008784
              -16               4               1              HB  2.23201  2.26108  2.30239  2.42346   42004804
              -16               4               2              HB  5.23131  4.80998  5.17208  4.93398   42008804
               -1               5               1              HB  2.45815  2.00604  2.64960  2.09892   42004085
               -2               5               1              HB  2.59538  2.85897  2.94471  2.98321   42004105
               -3               5               1              HB  3.12330  2.99567  3.45348  3.01712   42004185
               -4               5               1              HB  2.65420  2.80674  3.28608  2.97875   42004205
               -5               5               1              HB  3.53166  3.11801  2.63585  2.68688   42004285
               -6               5               1              HB  2.41032  2.70273  2.79428  2.77352   42004305
               -7               5               1              HB  3.10365  3.23396  3.45128  3.30195   42004385
               -8               5               1              HB  4.08477  4.70856  4.28983  4.74468   42004405
               -9               5               1              HB  3.47536  4.32127  4.25731  4.01856   42004485
              -10               5               1              HB  3.37768  3.26051  3.46979  3.10605   42004505
              -11               5               1              HB  3.04237  3.45948  3.37928  3.11289   42004585
              -12               5               1              HB  0.73667  1.05304  0.96325  0.61967   42004605
              -13               5               1              HB  3.32737  3.37915  3.49470  3.11812   42004685
              -14               5               1              HB  1.99031  2.14030  2.32687  1.98535   42004705
              -15               5               1              HB  1.04226  1.56511  1.38935  1.71409   42004785
              -15               5               2              HB  2.14442  2.59114  2.53130  2.35173   42008785
              -16               5               1              HB  1.48774  1.94306  1.43854  1.34106   42004805
              -16               5               2              HB  2.36551  2.43107  2.40500  2.04142   42008805
               -1               6               1              HB  3.77185  4.73426  2.97048  3.49447   42004086
               -2               6               1              HB  1.41257  2.03249  1.71469  1.38708   42004106
               -3               6               1              HB  3.44534  3.79078  3.66497  3.84951   42004186
               -4               6               1              HB  2.42369  2.82158  2.83729  2.68129   42004206
               -5               6               1              HB  2.83445  2.89019  3.33200  2.81873   42004286
               -6               6               1              HB  3.69812  4.74283  4.33092  4.13584   42004306
               -7               6               1              HB  3.05564  3.95375  3.99795  3.36848   42004386
               -8               6               1              HB  2.48688  2.69292  2.98951  2.71565   42004406
               -9               6               1              HB  3.28735  4.14244  4.50217  4.09003   42004486
              -10               6               1              HB  1.78120  2.10968  2.19037  1.83375   42004506
              -11               6               1              HB  2.76073  3.06173  2.97048  2.24607   42004586
              -12               6               1              HB  3.21362  3.10462  4.03600  3.17378   42004606
              -13               6               1              HB  1.46523  2.36699  2.74215  1.51307   42004686
              -14               6               1              HB  2.16037  2.83873  2.97999  2.05137   42004706
              -15               6               1              HB  1.69694  3.25900  2.44723  2.65838   42004786
              -15               6               2              HB  3.10830  3.16466  3.27492  3.79225   42008786
              -16               6               1              HB  2.10771  2.22976  2.42821  1.97119   42004806
              -16               6               2              HB  3.48747  3.92801  2.91340  3.26540   42008806
               -1               7               1              HB  1.26819  1.37121  1.58299  1.31768   42004087
               -2               7               1              HB  2.55911  2.65820  2.64819  2.10170   42004107
               -3               7               1              HB  3.65871  4.07854  3.93897  3.91097   42004187
               -4               7               1              HB  3.57638  3.82254  4.21520  3.51512   42004207
               -5               7               1              HB  4.13435  4.34261  4.16370  3.80899   42004287
               -6               7               1              HB  3.38165  3.32984  3.57854  3.22610   42004307
               -7               7               1              HB  2.71577  3.10886  3.05705  3.09164   42004387
               -8               7               1              HB  2.09376  2.47236  2.11619  2.48426   42004407
