#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.50881 -0.22085  0.39422  0.06887 -0.01573  0.39086 -0.15135 -0.07625 -0.17943  0.51596   42004081
               -2               1               1              HB  0.60272 -0.16313  0.58587  0.07657 -0.13600  0.42234 -0.09339  0.11164 -0.20320  0.55646   42004101
               -3               1               1              HB  0.59023 -0.30766  0.68057  0.12986 -0.10097  0.55631 -0.03614  0.14989 -0.20461  0.56881   42004181
               -4               1               1              HB  0.91556 -0.30680  0.60735  0.04540 -0.28500  0.53061 -0.15064 -0.09075 -0.18593  0.77329   42004201
               -5               1               1              HB  0.75582 -0.17347  0.78012 -0.10426 -0.05314  0.49313 -0.30948 -0.08407 -0.11992  0.53444   42004281
               -6               1               1              HB  0.48739  0.04503  0.59582  0.00757 -0.09269  0.53656 -0.09014  0.19246 -0.22747  0.43255   42004301
               -7               1               1              HB  0.50371  0.03009  0.53399  0.19166 -0.14699  0.48767  0.00471 -0.02642 -0.15339  0.51967   42004381
               -8               1               1              HB  0.57680 -0.10544  0.61675 -0.07059 -0.39414  0.79292 -0.22132  0.13756 -0.22006  0.63821   42004401
               -9               1               1              HB  0.57390  0.62714  0.54277  1.06577 -0.23215  0.65519  0.19247 -0.00380 -0.17892  0.61614   42004481
              -10               1               1              HB  0.70600 -0.26005  0.56287 -0.05287 -0.28134  0.61947 -0.07473 -0.26222 -0.23912  0.54922   42004501
              -11               1               1              HB  0.62359 -0.15374  0.59585 -0.39480 -0.14134  0.57486  0.08436 -0.03661 -0.26665  0.70948   42004581
              -12               1               1              HB  0.62601 -0.05643  0.42891  0.11780 -0.05582  0.66417 -0.09485 -0.08871 -0.19500  0.66189   42004601
              -13               1               1              HB  0.80575 -0.05542  0.75956 -0.03553 -0.14653  0.74208 -0.19307  0.04426 -0.25890  0.69097   42004681
              -14               1               1              HB  0.59729 -0.12772  0.70615  0.00243 -0.30464  0.60227 -0.14217  0.07426 -0.11651  0.56825   42004701
              -15               1               1              HB  0.48919 -0.07328  0.57156 -0.20793 -0.30380  0.45306 -0.18915 -0.05899 -0.12908  0.69186   42004781
              -15               1               2              HB  0.76188 -0.40808  0.81464 -0.10834 -0.10790  0.58645 -0.36022  0.05039 -0.30729  0.67984   42008781
              -16               1               1              HB  0.47783 -0.02216  0.56764  0.08581 -0.04184  0.38656 -0.04154 -0.09377 -0.00647  0.40288   42004801
              -16               1               2              HB  0.65834 -0.33438  0.58945 -0.14037 -0.01272  0.56652 -0.21651  0.03411 -0.25413  0.70790   42008801
               -1               2               1              HB  0.64746 -0.09690  0.60629  0.29849  0.12556  0.69960 -0.10755 -0.03569 -0.05529  0.70415   42004082
               -2               2               1              HB  1.11580  1.78700  1.13544  0.52081 -0.43937  0.78481  0.91341 -0.15286 -0.29693  1.02965   42004102
               -3               2               1              HB  0.63596 -0.21144  0.62479  0.15770 -0.11421  0.65564 -0.36244 -0.00712 -0.09524  0.64124   42004182
               -4               2               1              HB  0.67712 -0.26002  0.71514 -0.14672 -0.42874  0.83847 -0.42349  0.21430 -0.58704  0.64770   42004202
               -5               2               1              HB  0.63600 -0.25618  0.84956 -0.06180 -0.21603  0.71813 -0.35362  0.13802 -0.32448  0.63833   42004282
               -6               2               1              HB  0.70014 -0.01910  0.53000 -0.27748 -0.02826  0.67895 -0.03841  0.29681 -0.13535  0.51164   42004302
               -7               2               1              HB  0.73853 -0.46232  0.74095  0.17862 -0.37790  0.83389 -0.14756 -0.17715 -0.14162  0.59829   42004382
               -8               2               1              HB  0.70191 -0.27556  0.69268 -0.01061 -0.16214  0.54823 -0.01588  0.00549 -0.03891  0.58561   42004402
               -9               2               1              HB  0.70369  0.13648  0.79106  0.40135 -0.54043  0.72912  0.41177  0.13263  0.06872  0.66720   42004482
              -10               2               1              HB  0.87837 -0.34575  0.67337 -0.07655 -0.17349  0.66624 -0.14152 -0.08373 -0.12451  0.48909   42004502
              -11               2               1              HB  0.78735 -0.20384  0.78584  0.07328 -0.20483  0.63569 -0.39987 -0.01507 -0.26839  1.01909   42004582
              -12               2               1              HB  0.53092 -0.29795  0.53779 -0.32643 -0.09308  0.65050 -0.21870  0.16664 -0.16893  0.64488   42004602
              -13               2               1              HB  0.81415 -0.33997  0.92861  0.34115 -0.24431  0.86483 -0.11308  0.10061  0.03500  0.76955   42004682
              -14               2               1              HB  0.60731 -0.06821  0.67023 -0.08229 -0.30615  0.82100 -0.24216  0.17491 -0.31510  0.52662   42004702
