#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  3.93780  3.42940  3.85480  3.74560   42004081
               -2               1               1              HB  4.26215  4.05780  4.65680  4.00640   42004101
               -3               1               1              HB  3.87320  4.67140  4.42040  4.19980   42004181
               -4               1               1              HB  4.02751  3.51040  4.08880  3.98560   42004201
               -5               1               1              HB  4.60720  4.04771  4.14440  4.23600   42004281
               -6               1               1              HB  3.64763  3.44880  3.98720  3.69404   42004301
               -7               1               1              HB  3.31460  3.11680  3.25480  3.02660   42004381
               -8               1               1              HB  3.52701  3.18540  3.86220  3.28116   42004401
               -9               1               1              HB  3.97980  4.31760  4.40520  3.87380   42004481
              -10               1               1              HB  3.64440  4.48080  4.07732  4.34500   42004501
              -11               1               1              HB  5.51401  5.29724  5.43119  5.40450   42004581
              -12               1               1              HB  3.41260  3.94840  4.15920  4.01060   42004601
              -13               1               1              HB  3.66740  3.57840  3.67920  4.03300   42004681
              -14               1               1              HB  3.52080  4.03320  3.81000  4.02740   42004701
              -15               1               1              HB  3.75960  3.23400  4.06280  3.43940   42004781
              -15               1               2              HB  3.44780  3.72080  3.26920  3.61442   42008781
              -16               1               1              HB  3.28400  3.61120  3.01000  2.80500   42004801
              -16               1               2              HB  3.78340  4.04111  4.14733  3.56420   42008801
               -1               2               1              HB  4.30040  4.18000  4.35600  4.00000   42004082
               -2               2               1              HB  4.65060  3.94220  4.08900  4.11600   42004102
               -3               2               1              HB  4.60220  3.73900  4.40700  4.14300   42004182
               -4               2               1              HB  3.80300  3.77460  3.92720  4.06360   42004202
               -5               2               1              HB  3.39380  2.76000  3.55340  3.07300   42004282
               -6               2               1              HB  4.64180  4.53800  4.72540  4.84720   42004302
               -7               2               1              HB  4.64320  4.56340  4.66900  4.32660   42004382
               -8               2               1              HB  3.28980  3.68540  3.91680  4.48440   42004402
               -9               2               1              HB  3.30900  3.72860  3.54980  3.90840   42004482
              -10               2               1              HB  2.96000  3.14980  3.02280  3.17700   42004502
              -11               2               1              HB  4.87700  5.19060  5.38040  5.33260   42004582
              -12               2               1              HB  3.77880  4.05480  3.80220  3.93960   42004602
              -13               2               1              HB  4.60500  4.17580  4.17900  4.26440   42004682
              -14               2               1              HB  4.44140  4.40060  3.92280  4.14000   42004702
              -15               2               1              HB  3.87600  3.28700  3.64620  3.73480   42004782
              -15               2               2              HB  3.46160  4.01080  3.88160  3.52660   42008782
              -16               2               1              HB  3.50080  3.86980  3.62300  3.67200   42004802
              -16               2               2              HB  4.30320  3.11712  4.32440  4.22800   42008802
               -1               3               1              HB  3.40340  3.91900  3.79060  3.92520   42004083
               -2               3               1              HB  3.81160  3.80780  4.18680  3.73240   42004103
               -3               3               1              HB  3.63700  3.97020  3.80520  3.97100   42004183
               -4               3               1              HB  3.53940  3.69860  3.79700  3.86040   42004203
               -5               3               1              HB  2.72420  2.87640  2.89100  3.04740   42004283
               -6               3               1              HB  4.12440  3.75500  4.02260  3.65880   42004303
               -7               3               1              HB  2.00450  2.76220  2.69440  2.58140   42004383
               -8               3               1              HB  2.79720  2.94380  2.67720  2.76320   42004403
               -9               3               1              HB  3.91580  3.94080  4.04240  4.28180   42004483
              -10               3               1              HB  2.88320  2.90240  2.47100  3.25980   42004503
              -11               3               1              HB  3.28000  3.27260  3.47820  3.32520   42004583
              -12               3               1              HB  3.49220  3.48400  3.45080  3.21940   42004603
              -13               3               1              HB  2.50740  2.79240  3.31920  2.84860   42004683
              -14               3               1              HB  3.84040  4.08160  4.31540  4.40900   42004703
              -15               3               1              HB  3.42080  3.71980  3.80540  3.42300   42004783
              -15               3               2              HB  3.99640  3.97560  4.31680  4.19100   42008783
              -16               3               1              HB  4.70720  4.74300  5.17180  4.74920   42004803
              -16               3               2              HB  2.58982  3.29300  3.11380  3.20700   42008803
               -1               4               1              HB  3.54180  3.06540  3.61300  3.19300   42004084
               -2               4               1              HB  3.01080  3.50740  3.37220  3.68840   42004104
               -3               4               1              HB  3.82720  3.67500  3.89720  3.61100   42004184
               -4               4               1              HB  4.05820  4.34580  4.52940  4.31080   42004204
               -5               4               1              HB  3.32300  3.55740  3.93400  3.42680   42004284
               -6               4               1              HB  2.57000  3.11760  3.18200  3.04440   42004304
               -7               4               1              HB  3.25840  3.49980  3.52120  3.44800   42004384
